,A,ABEV,ABV-OLD,ACN,ADI,ADSK,AGN,ALTR,AMT,AMZN,AON,AVGO,AVP,AXP,AZO,BAP,BAX,BBD,BCO,BDX,BIDU,BITA,BKNG,BTI,CACC,CAG,CBRE,CL,CLB,CME,CMPR,COV,ECL,EFX,FIS,GOOG,GOOGL,GWW,HOG,HRB,ICE,KMB,KO,LKQ,MSM,NXPI,OPEN,ORCL,PFE,PM,SERV,SIRO-OLD,SLH,SNN,SPGI,SSNC,ST,TMO,TNET,TRV,UL,V,VRSN,WAT,WLTW,ZTS
2020 Q1,3.26,,,,4.9,2.22,,,5.01,,2.55,3.05,,,,,,,,3.06,,,,,,,2.81,,,3.51,,,3.8,3.03,5.45,,4.32,,,,3.96,,,,,,,,,,,,,,7.08,,,3.04,,,,4.61,2.95,,4.41,3.8
2019 Q4,3.27,,,,5.47,,,,4.45,,2.71,3.42,,,,,,,,3.05,,,,,,,3.85,,,3.43,,,3.97,2.99,5.26,,4.19,,,,3.82,,,,,,,,,,,,,,6.65,2.36,,2.94,,,,4.53,2.66,,4.42,4.11
2019 Q3,3.14,,,,5.5,,,,4.57,,2.69,3.19,,,,,,,,3.03,,,,,,,3.56,,,3.86,,,4.35,3.21,5.36,,4.08,,,,4.08,,,,,,,,,,,,,,6.69,,,2.81,2.5,,,4.43,2.78,,4.51,4.46
2019 Q2,2.98,,,,5.81,,,,4.42,,2.8,3.48,,,,,,,,3.15,,,,,,,3.6,,,3.7,,,4.54,3.23,5.18,,3.79,,,,3.97,,,,,,,,,,,,,,6.51,,,2.97,2.86,,,4.67,3.22,,4.67,4.25
2019 Q1,3.02,,,,5.81,,,,4.57,,2.67,3.22,,,,,,,,2.77,,,,,,,3.72,,,3.37,,,4.36,3.04,5.12,,4.41,,,,3.78,,,,,,,,,,,,,,6.46,,,2.97,2.69,,,4.52,3.0,,4.61,4.05
2018 Q4,2.9,,,,5.41,,,,4.18,,,2.81,,,,,,,,2.86,,,,,,,3.44,,,4.4,,,4.15,2.72,5.3,2.58,4.47,,,,4.26,,,,,,,,,,,,,,5.95,,2.47,2.77,,,,4.35,2.8,,4.53,3.93
2018 Q3,2.8,,,,5.39,,,,3.55,,,2.52,,,,,,,,3.06,3.95,,,,,,3.5,,,3.68,,,4.08,3.53,5.22,2.75,4.78,,,,3.92,,,,,,,,,,,,,,6.33,,2.53,,2.68,,,4.58,,,3.89,3.89
2018 Q2,2.51,,,,5.72,,,,3.6,,,3.64,,,,,,,,2.87,4.31,,,,,,3.88,,,3.62,,,3.73,2.5,5.18,2.61,4.57,,,,3.93,,,,,,,,,,3.76,,,,6.72,,,,2.72,,,4.13,,,4.27,3.69
2018 Q1,2.95,,,,5.89,,,,3.94,,,3.83,,,,,,,,2.81,4.28,,,,,,3.72,,,3.88,,,3.96,2.56,5.11,2.62,4.56,,,,4.21,,,,,,,,,,3.5,,,,6.84,,2.93,,,,,4.05,,,4.66,3.92
2017 Q4,3.61,,,,6.13,,,,4.11,,,3.63,,,,,,,,2.96,4.77,,,,,,3.63,,,3.72,,,4.12,2.73,5.31,2.84,4.92,,,,4.36,,,,,,,,,,3.75,,,,6.48,,3.08,,,,,4.1,,,4.91,4.27
2017 Q3,3.64,,,,6.23,,2.63,,4.13,,,3.61,,,,,,,,2.85,5.31,,,,,,3.33,,,3.63,,,4.15,,5.54,2.74,4.78,,,,4.46,,,,,,,,,,3.59,,,,6.27,,3.04,,,,,3.98,,,5.28,3.97
2017 Q2,3.71,,,,6.24,,3.04,,4.42,,,,,,,,,,,3.14,4.25,,,,,,3.55,,,3.7,,,4.74,,5.75,2.87,5.05,,,,4.74,,,,,3.82,,,,,3.33,,,,6.49,,2.97,,,,,3.91,,,5.51,4.29
2017 Q1,3.53,,,,7.02,,3.19,,4.34,,,,,,,,,,,3.15,4.38,,,,,,3.63,,,3.75,,,4.78,,5.72,2.8,4.91,,,,4.59,,,,,3.87,,,,,3.78,,,,6.21,,3.25,,,,,3.96,,,5.29,3.92
2016 Q4,3.36,,,,6.87,,2.81,,4.17,,,,,,,,,,,,4.61,,,,,,3.62,,,4.02,,,4.93,,6.7,3.32,5.07,,4.46,,4.78,,,,,4.03,,,,,3.77,,,,5.64,,3.19,,,,,3.31,,,5.45,4.35
2016 Q3,3.03,,,,6.47,,3.26,,,,,,,,,,,,,,5.41,,,,,,3.41,,,3.85,2.31,,5.42,,8.3,4.14,5.43,,4.26,,4.0,,,,,3.98,,,,,3.17,,,,7.02,,3.0,,,,,3.72,,,6.27,4.46
2016 Q2,3.37,,,,6.7,,2.86,,2.18,,,,,,,,,,,,5.79,,,,,,3.29,,,4.23,2.49,,6.2,,9.36,4.36,5.6,,4.33,,4.48,,,,,,,,,,3.84,,,,7.02,,3.58,,,,,2.84,,,6.18,4.8
2016 Q1,3.23,,,,7.47,,,,,,,,,,,,,,,,7.13,,,,,,1.92,,,4.14,2.39,,6.22,,8.59,5.0,6.49,1.94,5.23,,4.19,,,,2.91,,,,,,3.02,,,,6.9,,4.24,,,,,3.12,,,6.31,4.77
2015 Q4,3.78,,,,7.83,,,,,,,,,2.78,,,,,,,7.92,,,,1.78,,,,,4.37,2.39,,7.12,,9.21,5.69,7.39,1.89,5.19,,5.12,,,,2.4,,,,,,,,,,6.23,,5.2,,,,,1.97,,,7.64,2.03
2015 Q3,,1.28,,,9.02,,,,,,,,,3.34,,,,,,,6.49,1.26,,,1.85,,,,,3.16,2.53,,7.61,,11.52,11.84,,3.78,7.09,,5.3,,,,2.94,,,,,,,4.54,,,3.54,,5.64,,,,,,,,7.27,
2015 Q2,,3.47,,,9.64,,,,,,,,,3.29,,,,,,,8.83,1.47,,,2.18,,,,,2.71,1.91,,7.36,,9.97,4.08,5.36,6.29,6.84,,4.74,,,,3.15,,,,,,,4.82,,,1.63,,4.98,,,,,,,,7.3,
2015 Q1,,3.29,,,9.53,,,,,,,,,3.33,,,,,,,9.32,1.47,,,1.73,,,,,2.78,1.63,,7.51,,11.07,4.31,5.57,6.32,7.44,,3.85,,,,3.29,,,,,,,4.35,,,1.67,,3.98,,,,,,,,7.56,
2014 Q4,,3.77,,,8.87,,,4.26,,,,,,,,,,,,,10.78,1.32,,,1.28,,,,,2.75,1.52,,6.56,,10.71,4.39,5.62,7.22,8.54,1.65,2.57,,,,3.91,,,,,,,4.46,,,,,2.96,,,,,,,,6.86,
2014 Q3,,4.33,,,7.33,,,4.51,,,,,,,,,,,1.68,,11.27,1.63,,,1.29,,,,,,,,6.52,,10.57,5.25,6.81,5.73,8.22,1.65,,,3.11,,1.85,,,,,,,4.28,4.17,,,,2.74,,,,,,,,6.91,
2014 Q2,,4.82,,,8.3,,,4.53,,,,,,,,,,,2.04,,10.03,,0.02,,1.31,,,0.15,,,,,6.56,,10.62,5.42,7.0,6.0,10.21,1.86,,,3.2,,2.15,,,,,,,4.76,4.27,,,,,,,,,,,,6.72,
2014 Q1,,5.06,,,8.12,,,4.71,,,,,,,,,,,2.06,,8.16,,8.26,,1.5,,,2.7,,,,,6.35,,9.58,,10.47,5.94,8.41,,,,3.03,2.63,1.94,,,,,,,3.09,2.53,,,,,,,,,,,0.35,5.11,
2013 Q4,,3.87,,,8.01,,,4.35,,,,,,,,,,,2.53,,9.84,,8.33,,1.42,,,2.8,,,,,6.31,,6.83,,10.84,4.08,9.03,,,,7.0,4.32,1.01,,,,,,,,2.89,,,,,,,,,,,2.52,4.01,
2013 Q3,,,,,8.55,,,5.74,,,,,,,,,,1.89,2.43,,9.92,,8.37,,1.4,,,2.94,,,,,6.91,,6.82,,9.78,2.46,9.67,,,,7.41,4.82,,,0.01,,,2.75,,,2.5,,,,,,,,,,,3.09,2.52,
2013 Q2,,,,,9.77,,,4.82,,,,,,,,,,,2.16,,7.2,,8.14,,1.57,,,3.39,,,,,7.1,,6.45,,11.74,,6.25,,,,9.37,6.04,,,0.86,5.24,,3.28,,,3.14,,,,,,,,,,,3.47,,
