日期,新屋開工
2020-04-01,121.6
2020-03-01,159.9
2020-02-01,156.7
2020-01-01,160.8
2019-12-01,136.5
2019-11-01,131.4
2019-10-01,125.6
2019-09-01,136.4
2019-08-01,119.1
2019-07-01,125.3
2019-06-01,126.9
2019-05-01,123.5
2019-04-01,113.9
2019-03-01,116.2
2019-02-01,107.8
2019-01-01,143.22408637873800
2018-12-01,125.6
2018-11-01,122.8
2018-10-01,120.1
2018-09-01,128.2
2018-08-01,116.8
2018-07-01,117.3
2018-06-01,135.0
2018-05-01,128.7
2018-04-01,131.9
2018-03-01,123.6
2018-02-01,132.6
2018-01-01,119.2
2017-12-01,129.7
2017-11-01,129.0
2017-10-01,112.7
2017-09-01,118.0
2017-08-01,115.5
2017-07-01,121.5
2017-06-01,109.2
2017-05-01,117.2
2017-04-01,121.5
2017-03-01,128.8
2017-02-01,124.6
2017-01-01,122.6
2016-12-01,109.0
2016-11-01,132.3
2016-10-01,104.7
2016-09-01,114.2
2016-08-01,121.1
2016-07-01,118.9
2016-06-01,116.4
2016-05-01,117.2
2016-04-01,108.9
2016-03-01,117.8
2016-02-01,109.9
2016-01-01,114.9
2015-12-01,117.3
2015-11-01,106.0
2015-10-01,120.6
2015-09-01,112.6
2015-08-01,120.6
2015-07-01,117.4
2015-06-01,103.6
2015-05-01,113.5
2015-04-01,92.6
2015-03-01,89.7
2015-02-01,106.5
2015-01-01,108.9
2014-12-01,102.8
2014-11-01,100.9
2014-10-01,101.7
2014-09-01,95.6
2014-08-01,109.3
2014-07-01,89.3
2014-06-01,100.1
2014-05-01,107.2
2014-04-01,94.6
2014-03-01,90.7
2014-02-01,88.0
2014-01-01,99.9
2013-12-01,109.1
2013-11-01,143.22408637873800
2013-10-01,143.22408637873800
2013-09-01,89.1
2013-08-01,89.6
2013-07-01,83.6
2013-06-01,91.4
2013-05-01,85.3
2013-04-01,103.6
2013-03-01,91.7
2013-02-01,89.0
2013-01-01,95.4
2012-12-01,86.1
2012-11-01,89.4
2012-10-01,87.2
2012-09-01,75.0
2012-08-01,74.6
2012-07-01,76.0
2012-06-01,70.8
2012-05-01,71.7
2012-04-01,65.4
2012-03-01,69.8
2012-02-01,69.9
2012-01-01,65.7
2011-12-01,68.5
2011-11-01,62.8
2011-10-01,65.8
2011-09-01,57.0
2011-08-01,60.0
2011-07-01,63.0
2011-06-01,56.0
2011-05-01,52.0
2011-04-01,55.0
2011-03-01,48.0
2011-02-01,60.0
2011-01-01,53.0
2010-12-01,56.0
2010-11-01,52.0
2010-10-01,61.0
2010-09-01,60.0
2010-08-01,55.0
2010-07-01,55.0
2010-06-01,59.0
2010-05-01,67.0
2010-04-01,63.0
2010-03-01,58.0
2010-02-01,59.0
2010-01-01,56.0
2009-12-01,57.0
2009-11-01,53.0
2009-10-01,59.0
2009-09-01,60.0
2009-08-01,58.0
2009-07-01,58.0
2009-06-01,53.0
2009-05-01,46.0
2009-04-01,51.0
2009-03-01,58.0
2009-02-01,47.0
2009-01-01,55.0
2008-12-01,63.0
2008-11-01,79.0
2008-10-01,82.0
2008-09-01,90.0
2008-08-01,97.0
2008-07-01,107.0
2008-06-01,98.0
2008-05-01,103.0
2008-04-01,95.0
2008-03-01,107.0
2008-02-01,101.0
2008-01-01,104.0
2007-12-01,120.0
2007-11-01,126.0
2007-10-01,118.0
2007-09-01,133.0
2007-08-01,135.0
2007-07-01,145.0
2007-06-01,142.0
2007-05-01,149.0
2007-04-01,150.0
2007-03-01,148.0
2007-02-01,141.0
2007-01-01,165.0
2006-12-01,157.0
2006-11-01,149.0
2006-10-01,172.0
2006-09-01,165.0
2006-08-01,174.0
2006-07-01,180.0
2006-06-01,194.0
2006-05-01,182.0
2006-04-01,197.0
2006-03-01,212.0
2006-02-01,227.0
2006-01-01,199.0
2005-12-01,215.0
2005-11-01,207.0
2005-10-01,215.0
2005-09-01,210.0
2005-08-01,205.0
2005-07-01,207.0
2005-06-01,203.0
2005-05-01,206.0
2005-04-01,186.0
2005-03-01,221.0
2005-02-01,214.0
2005-01-01,204.0
2004-12-01,178.0
2004-11-01,207.0
2004-10-01,191.0
2004-09-01,202.0
2004-08-01,200.0
2004-07-01,183.0
2004-06-01,198.0
2004-05-01,200.0
2004-04-01,200.0
2004-03-01,185.0
2004-02-01,191.0
2004-01-01,206.0
2003-12-01,208.0
2003-11-01,197.0
2003-10-01,194.0
2003-09-01,183.0
2003-08-01,190.0
2003-07-01,187.0
2003-06-01,175.0
2003-05-01,164.0
2003-04-01,173.0
2003-03-01,163.0
2003-02-01,185.0
2003-01-01,179.0
2002-12-01,175.0
2002-11-01,165.0
2002-10-01,180.0
2002-09-01,163.0
2002-08-01,166.0
2002-07-01,172.0
2002-06-01,176.0
2002-05-01,159.0
2002-04-01,164.0
2002-03-01,183.0
2002-02-01,170.0
2002-01-01,157.0
2001-12-01,160.0
2001-11-01,154.0
2001-10-01,156.0
2001-09-01,157.0
2001-08-01,167.0
2001-07-01,164.0
2001-06-01,161.0
2001-05-01,165.0
2001-04-01,159.0
2001-03-01,163.0
2001-02-01,160.0
2001-01-01,153.0
2000-12-01,155.0
2000-11-01,155.0
2000-10-01,151.0
2000-09-01,154.0
2000-08-01,146.0
2000-07-01,156.0
2000-06-01,158.0
2000-05-01,163.0
2000-04-01,160.0
2000-03-01,174.0
2000-02-01,164.0
2000-01-01,171.0
1999-12-01,165.0
1999-11-01,161.0
1999-10-01,164.0
1999-09-01,165.0
1999-08-01,167.0
1999-07-01,156.0
1999-06-01,161.0
1999-05-01,155.0
1999-04-01,171.0
1999-03-01,167.0
1999-02-01,175.0
1999-01-01,179.0
1998-12-01,166.0
1998-11-01,172.0
1998-10-01,158.0
1998-09-01,161.0
1998-08-01,170.0
1998-07-01,164.0
1998-06-01,154.0
1998-05-01,154.0
1998-04-01,157.0
1998-03-01,158.0
1998-02-01,153.0
1998-01-01,157.0
1997-12-01,151.0
1997-11-01,152.0
1997-10-01,155.0
1997-09-01,139.0
1997-08-01,144.0
1997-07-01,149.0
1997-06-01,144.0
1997-05-01,149.0
1997-04-01,146.0
1997-03-01,149.0
1997-02-01,136.0
1997-01-01,137.0
1996-12-01,149.0
1996-11-01,139.0
1996-10-01,148.0
1996-09-01,156.0
1996-08-01,147.0
1996-07-01,147.0
1996-06-01,150.0
1996-05-01,152.0
1996-04-01,142.0
1996-03-01,149.0
1996-02-01,147.0
1996-01-01,143.0
1995-12-01,145.0
1995-11-01,137.0
1995-10-01,137.0
1995-09-01,142.0
1995-08-01,146.0
1995-07-01,128.0
1995-06-01,131.0
1995-05-01,127.0
1995-04-01,125.0
1995-03-01,132.0
1995-02-01,141.0
1995-01-01,146.0
1994-12-01,151.0
1994-11-01,145.0
1994-10-01,147.0
1994-09-01,145.0
1994-08-01,144.0
1994-07-01,141.0
1994-06-01,153.0
1994-05-01,147.0
1994-04-01,156.0
1994-03-01,134.0
1994-02-01,127.0
1994-01-01,153.0
1993-12-01,138.0
1993-11-01,139.0
1993-10-01,134.0
1993-09-01,130.0
1993-08-01,125.0
1993-07-01,128.0
1993-06-01,126.0
1993-05-01,126.0
1993-04-01,108.0
1993-03-01,121.0
1993-02-01,121.0
1993-01-01,123.0
1992-12-01,121.0
1992-11-01,124.0
1992-10-01,119.0
1992-09-01,123.0
1992-08-01,114.0
1992-07-01,115.0
1992-06-01,121.0
