,ANSS,AVLR,AYX,BAM,CHGG,CMPR,DESP,DG,DSGX,EBAY,FB,GOOG,PYPL,ROKU,ROP,SITE,TTD,WIX,WK,YELP
2019 Q4,,17.75,9.41,,,,13.26,,,6.64,18.1,2.72,9.26,9.58,,,,13.28,,
2019 Q3,,14.98,5.41,,,5.86,10.99,,,7.91,20.6,10.46,9.8,,,,,13.99,,
2019 Q2,4.15,17.64,,,,5.73,9.65,,,7.61,21.2,8.81,8.04,,,,3.82,13.36,,
2019 Q1,4.13,,,,,8.13,8.7,,,7.99,20.43,10.67,13.14,,,,7.73,19.09,,
2018 Q4,6.16,,,,,6.25,,7.28,,3.23,23.38,9.89,11.17,,4.39,,10.89,15.0,2.37,
2018 Q3,6.06,,,,,6.22,,10.13,,2.86,18.58,9.0,9.36,,6.98,6.84,8.77,8.24,6.95,
2018 Q2,6.93,,,,,7.08,,12.12,,3.37,21.68,11.02,9.5,,7.49,9.21,7.1,,4.5,
2018 Q1,7.99,,,,,9.68,,9.88,,12.33,23.9,10.31,,,7.05,10.82,,,8.05,
2017 Q4,7.5,,,,10.6,11.66,,9.79,,,23.55,9.12,,,7.67,4.29,,,9.21,6.61
2017 Q3,8.28,,,,7.73,10.9,,9.78,7.77,,19.57,9.59,,,8.26,,,,10.3,7.83
2017 Q2,8.89,,,9.58,,11.41,,9.42,7.5,,18.72,9.83,,,8.51,,,,5.77,10.37
2017 Q1,9.41,,,10.73,,12.54,,10.98,10.89,,18.36,10.82,,,10.54,,,,5.72,
2016 Q4,13.35,,,16.2,,19.53,,,15.01,,20.12,,,,15.79,,,,,
