,AA,ABBV,ADI,ADM,AIG,AXP,BAC,BBT,BK,BMY,C,CB,CBS,CCL,CMCSA,CMCSK-OLD,COF,COP,COV,CSCO,CVS,CVX,DD-OLD,DELL-OL,DG,DIS,DVN,EBAY,EMR,ETN,FDC,FDX,GE,GENZ,GILD,GLW,GOOG,GPS,GS,HOLX,HPQ,HRS,INTC,JCI,JNJ,JPM,MCD,MEDI,MER,MET,MMM,MS,MSFT,MWW,NVLS-OLD,OXY,PEP,PFE,PG,QCOM,RTX,SBL,SCHW,SLB,SPGI,SPLS,STJ,STT,TDW,TEL,TEVA,TMO,TWX,TYC,VIAB,VIAC,VLO,VOD,VSH,WBA,WFC,WMT,WU,WYE,ZBH
2019 Q4,,3.61,,,,,,,,,,,,,3.4,,,,,3.55,3.43,,,,,,,3.39,,3.54,,2.9,,,3.31,,4.42,,3.46,,,,,,,4.93,,,,3.24,,3.26,5.02,,,,,,,,,,,,,,,3.52,,3.52,,2.91,,,,4.52,,,,,4.04,,,,3.34
2019 Q3,,3.31,,,,,,2.89,,,,,,,3.57,,,,,3.29,2.9,,,,,,,3.19,,3.56,,,,,3.28,,4.43,,3.35,,,,,,,5.11,,,,3.21,,2.92,4.86,,,,,,,3.28,,,,,,,,,,3.81,,3.49,,,4.13,,,,,,4.06,,,,3.42
2019 Q2,,2.73,,,,,,,,,,,3.08,,3.35,,,,,3.59,,,,,,,,3.33,,3.51,,,,,3.45,,3.87,,3.26,,,,,,,4.84,,,,3.33,,2.96,5.0,,,,,,,3.61,2.86,,,,,,,,,3.86,,3.47,,,2.72,,,,,,3.75,,,,3.2
2019 Q1,,3.09,,,,,,,,,,,3.04,,3.45,,,,,3.67,,,,,,,,3.34,,3.51,,,,,3.43,,4.44,,3.13,,,,,,,4.48,,,,,,,4.5,,,3.18,3.07,,,3.48,2.99,,,,,,,3.16,,3.37,,3.3,,,,,,,,,3.92,,,,3.42
2018 Q4,,3.88,,,,,,,,,,,,,3.23,,,,,4.29,3.03,,,,,,,2.92,,3.48,,,,,3.63,,4.52,,,,,,,,,4.75,,,,3.09,,,4.71,,,3.24,3.05,,,3.82,2.85,,,,,,,3.33,,3.47,,3.16,,,,,,,,,4.1,,,,3.28
2018 Q3,,3.27,,,,,,,,,,,,,2.88,,,,,3.95,2.98,,,,,,,,,3.67,,,,,3.96,,4.28,,,,,,,,,4.56,,,,2.89,,,4.45,,,3.56,2.7,,3.02,3.97,3.07,,,3.23,,,,,,3.31,,3.54,,,,,,,,,3.84,,,,3.41
2018 Q2,,3.35,,,,,,,,,,2.8,,,,,2.82,,,4.08,2.78,,,,,,,,,3.64,,,,,3.52,,4.18,,,,,,,,,4.4,,,,2.82,,,4.67,,,3.79,,,3.1,3.84,3.02,,,3.58,,,,,,3.54,,3.33,,,,,,,,,4.38,,,,3.56
2018 Q1,,3.29,,,,,,,,,,3.04,,,,,2.9,,,4.01,,,,,,,,,,3.84,,,,,3.6,,3.95,,,,,,,2.85,,4.58,,,,2.93,,,4.4,,,3.17,,,3.11,3.59,3.07,,,3.58,,,,,,3.88,,3.42,,,,,,,,,4.09,,,,3.5
2017 Q4,,3.42,,,,,,,,,,3.0,,,,,3.13,,,3.82,3.0,,,,,,,,,3.77,,,,,3.16,,3.87,,,,,,,,,4.66,,,,3.12,,,4.35,,,3.44,,,3.32,3.94,3.17,,,3.7,,,,,,3.68,,3.03,,,,,,,,,4.55,,,,3.84
2017 Q3,,3.53,,,,,,,,,,3.08,,,,,,,,3.75,3.75,,,,,,,,,3.76,,,,,3.56,,3.64,,,,,,,3.1,,4.71,,,,3.42,,,4.13,,,2.93,,,3.04,3.1,3.1,,,2.87,,,,,,3.65,,3.16,,,,,,,,,4.28,,,,3.46
2017 Q2,,3.11,,,,,,,,,,3.36,,,,,,,,3.54,3.93,,,,,,,,,3.96,,,,,3.03,,3.5,,,,,,,3.38,,4.85,,,,3.92,,,4.14,,,2.77,,,3.02,3.12,3.31,,,2.75,,,,,,3.56,,3.08,,,,,,,,,4.37,,,,3.94
2017 Q1,,,,,,,,,,,,3.16,,,,,2.87,,,3.89,3.84,,,,,,3.28,,,3.97,,,,,3.67,,3.2,,,,,,,3.43,,4.67,,,,3.77,,,3.96,,,2.83,,,3.12,3.25,3.12,,,2.8,,,,,,3.38,,,,,,,,,,,4.39,,,,3.88
2016 Q4,,,,,,,,,,,,,,,,,2.86,,,3.43,3.18,2.97,,,,,3.21,,,3.55,,,,,3.22,,2.81,,,,,,,2.86,,4.61,,,,3.8,,,3.8,,,2.74,,,2.88,3.65,3.09,,,3.09,,,,,,3.83,,,,,,,,,,,4.3,,,,3.32
2016 Q3,,,,,,,,,,,,,,,,,3.05,,,3.49,,,,,,,3.15,,,3.52,,,,,3.37,,,,,,,,,2.86,,4.01,,,,3.51,,3.25,3.71,,,,,,2.93,4.12,2.97,,3.36,2.93,,,,3.11,,3.61,2.89,,,,,,,,,,3.42,,,,3.26
2016 Q2,,,,,,,,,,,,,,,,,2.91,,,3.62,,3.12,,,,,3.0,,,3.47,,,,,3.36,,,,,,,,,3.44,,4.04,,,,3.32,,,3.61,,,3.12,,,2.92,3.5,3.24,,2.82,3.12,,,,,,3.38,3.06,,,,,,,,,,3.86,,,,3.41
2016 Q1,,,,,,,,,,,,,,,,,3.15,,,3.68,,3.38,,,,,,,,3.54,,,,,3.17,,,,,,,,,3.14,,3.82,,,,3.57,,,3.79,,,2.86,,,,3.39,3.08,,2.78,3.11,,,,2.8,,3.68,3.17,,,,2.92,,,,,,3.84,,,,3.51
2015 Q4,,,,,,,,3.29,,,,,,,,,3.08,,,3.29,,,,,,,,,,3.19,,,,,3.1,,,,,,,,,2.89,2.94,4.15,2.87,,,3.48,,,3.36,,,,,,3.48,2.95,,,,3.04,,,,3.03,,3.68,3.74,2.94,,,,,,,,,4.05,,,,3.09
2015 Q3,,,,,,,,3.22,,,,,,,,,3.22,,,3.31,,,,,,,,,,3.28,,,,,2.99,,,,,,,,,3.14,2.78,3.99,3.01,,,3.54,,,4.06,,,2.81,,,3.28,3.3,,,,3.12,,,,3.2,,3.64,3.35,,,,,,,,,,3.98,,,,2.94
2015 Q2,,,,,,,,3.36,,,,,,,,,3.44,,,3.02,,,,,,,3.43,,,3.48,,,,,3.02,,,,,,,,,3.23,,4.12,,,,3.78,,3.05,3.62,,,2.95,,,2.97,3.2,,,,3.49,,,,3.63,,3.38,3.13,,,,,,,,,,3.89,,,,2.98
2015 Q1,,,,,,,,3.32,,,,,,,,,3.3,,,2.99,,2.82,,,,,3.44,,,3.6,,,,,,,,,,,2.76,,,3.25,,3.74,,,,3.41,,2.78,3.38,,,,,,3.08,3.44,,,,3.41,,,,3.58,,3.72,3.4,,,,,,,,,,3.72,,,,3.17
2014 Q4,,,,,,,,3.3,,,,,,,,,3.39,,,3.42,,,2.99,,,,3.27,,,3.45,,,,,,,,,,3.59,3.27,,,,,3.85,,,,3.64,,3.01,3.29,,,,,,3.25,3.33,,,,3.25,,,,3.57,,3.47,3.07,,,,,,,,,,3.81,,,,3.37
2014 Q3,,,,,,,,3.3,,,,,,,,,3.42,,,3.38,,,3.34,,,,3.43,,,3.15,,,,,,,,,,3.6,3.1,,,,,3.91,,,,3.63,,3.11,3.52,,,3.54,,,3.41,3.37,,,,3.51,,,,3.46,,3.05,,,,,,,,,,,3.9,,,,3.26
2014 Q2,,,,,,,,3.26,,,,,,,,,3.33,,,3.23,,2.98,,,,,3.72,,,3.38,,,,,,,,,,3.44,,,,,3.05,3.85,,,,3.7,,2.97,3.31,,,3.47,,,3.07,3.24,,,,3.86,,,,3.4,,3.28,,,,,,,,,,,3.8,,,,3.18
2014 Q1,,,,,,,,3.3,,,,,,,,,3.05,3.16,,3.17,,3.14,,,,,3.72,,,,,,,,,,,,,3.16,,,,,3.48,4.06,2.92,,,3.69,,,3.56,,,3.53,,,3.43,3.48,,,,3.85,,,,3.28,,3.4,,,,,,,,,,,4.14,,,,3.25
2013 Q4,,,,,,,,3.16,,,,,,,,,,,,3.3,,2.85,,,,,3.34,,,,,,,,,3.35,,,,,,,,,3.18,4.11,,,,4.04,,3.14,3.3,,,3.34,,,3.13,3.29,,,,3.64,,,,3.47,,3.37,2.82,2.84,,,,,,,,,3.93,,,,3.34
