,AAPL,AFSI,AGN,AIG,ARII,CHK,CI,CLDR,CNDT,CVI,CVRR,CZR,DELL,DELL-OL,DVMT,EBAY,EGN,ENZN,FANG,FCX,FDML,FRX,GCI,HAIN,HLF,HOLX,HPQ,HRI,HTZ,IEP,LNG,MENT,MTW,NAV,NFLX,NUAN,NWL,OXY,PYPL,RIG,SD,SSE,TEN,TGNA,TLM,TTWO,VLTC,VMW,WBMD,WBT,XRX
2019 Q4,,,,,,,,2.43,0.9,11.0,,5.94,,,,,,,,1.34,,,,,6.42,,4.94,0.84,2.64,46.29,4.57,,,1.85,,,3.02,3.55,,,0.08,,0.28,,,,,,,0.6,3.3
2019 Q3,,,,,,,,1.89,0.92,12.2,,5.18,,,,,,,,1.27,,,,,5.19,,4.63,0.81,2.26,47.69,4.81,,,1.83,,,3.0,4.56,,,0.09,,0.28,,,,,,,0.66,2.73
2019 Q2,,,,,,,,,1.14,13.42,,4.42,,,,,,,,1.93,,,,,5.68,,,0.78,1.46,50.6,5.57,,,2.17,,,2.39,6.3,,,0.13,,0.24,,,,,,,0.63,3.13
2019 Q1,,,,,,,,,1.14,12.17,,3.58,,,,,,,2.19,2.37,,,,,7.74,,,0.73,1.75,52.77,6.23,,,2.24,,,2.62,,,,0.16,,0.52,,,,,,,0.69,3.11
2018 Q4,,,,,,,,,1.03,12.02,0.29,,3.06,,,,,,2.83,2.53,,,,,10.17,,,0.57,1.96,49.03,6.78,,0.12,2.13,,,3.74,,,,0.18,,0.76,,,,,,,0.55,2.27
2018 Q3,,1.06,,,2.17,,,,1.77,11.36,0.45,,,,3.39,,2.62,,,2.77,,,,,7.62,,,0.91,1.9,47.9,6.44,,0.16,2.55,,,3.12,,,,0.21,,,,,,,0.26,,0.83,2.51
2018 Q2,,1.11,,,1.94,,0.35,,1.49,10.91,0.53,,,,0.84,,1.57,,,3.59,,,,,7.84,,,1.05,1.86,48.97,6.39,,,2.82,,,3.56,,,,0.35,,,,,,,1.38,,0.93,2.33
2018 Q1,,,,,2.21,,,,1.83,10.69,0.37,,,,,,,,,4.38,,,,,11.08,,,1.45,2.89,44.76,8.68,,0.24,2.91,,,3.83,,,,0.35,,,,,,,,,0.97,3.35
2017 Q4,,,,11.3,2.18,,,,1.41,11.7,0.42,,,,,,,,,6.46,,,,,6.84,,,1.24,2.85,36.93,7.76,,0.46,3.17,,,,,2.6,,0.45,,,,,,,,,1.05,3.18
2017 Q3,,,,12.42,2.16,,,,1.46,8.68,0.27,,,,,,,,,5.1,,,,,7.3,,,1.04,3.08,39.62,6.93,,0.45,3.47,,,,,3.01,,,,,,,,,,,1.15,3.88
