,ACA,ADBE,ADS,ADSK,AES,AFI,AGU,ALB,ALSN,ARMK,AWI,AXP,BCR,BHC,BHI,BIVV,BKNG,BKR,C,CBRE,CF,COL,CPWR,DAR,DRC,EIX,ES-OLD,ESRX,EVA,EXPD,FDX,FNF,FOX,FOXA,GDI,HAL,HE,ICE,INT,KAR,KKR,LIND,LKQ,MCO,MCRS,MOS,MOT,MS,MSCI,MSFT,MSI,NLOK,NTCT,NYT,PCG,PCP,PPO,PSN,SLE,SLM,SPGI,STRA,STX,TECH,TIBX,TRN,TSG,TW-OLD,UFI,VLO,VRRM,VRSN,WCC,WLTW,XPO,XRAY
2019 Q4,,,0.37,,0.88,,,,,,,,,5.43,,,,,21.85,6.34,,,,0.58,,,,,0.79,,0.9,,,,,,0.96,,,,13.52,0.59,5.97,,,,,7.76,,,,,,,,,,,,3.53,,1.08,19.0,,,5.58,3.6,,0.36,,0.73,,,,,
2019 Q3,0.58,,5.13,,0.77,,,,,,,,,4.23,,,,,20.89,5.85,,,,0.46,,,,,0.73,,,,,,,,0.8,,,,13.93,0.52,5.44,,,,,10.24,,,,,,,0.16,,,,,3.73,,0.73,18.31,,,4.79,2.2,,0.34,,,,,,,
2019 Q2,1.67,,5.42,,0.73,,,,,,,,,4.72,,,0.69,,23.05,7.08,,,,,,0.49,,,0.54,,,,,,,,0.53,,,,13.38,0.56,,,,,,12.0,,,,,,,,,,0.69,,3.98,,0.43,15.52,,,4.74,2.43,,,,,,,,0.6,
2019 Q1,1.93,,10.02,,0.31,0.69,,,,,0.06,,,4.9,,,,,21.56,7.19,,,,0.27,,,,,0.59,,,,,,,,0.64,,,,13.09,0.48,,,,,,12.17,,,,,,,0.2,,,,,4.27,,0.63,15.54,,,5.23,,,0.24,,,,,,,
2018 Q4,2.46,,9.73,,0.28,0.68,,,,0.12,1.63,,,4.15,,,,,20.44,9.93,,,,0.16,,,,,0.25,,,,,,,,0.69,,,,12.4,0.39,,,,,,12.95,,,,,,,,,,,,4.06,,0.57,13.12,,,5.62,,,0.32,,,,,,,
2018 Q3,,,14.13,,0.21,0.82,,,,,3.58,,,4.55,,,,,18.51,8.64,,,,,,,,,0.22,,,,,,,,0.42,,,,13.33,0.25,,,,,,9.53,,,,0.1,,,,,,,,4.3,,0.33,12.29,,,7.72,,,0.26,,,,,,,0.82
2018 Q2,,,12.84,,0.19,0.59,,,,,3.92,,,3.79,,,,,15.25,8.61,,,,,,,,,0.18,,,,12.77,,,,,,,,11.18,0.2,,,,,,8.03,,,,,,,,,,,,3.9,,0.2,11.45,,,6.64,,,0.27,,,,,,,
2018 Q1,,,12.54,,,0.63,,,,,3.87,,,2.87,,,,,10.96,9.43,,,,,,,,,,,,,19.44,,,,,,,,10.11,,,,,,,9.72,,,,,,,,,,,,0.83,,,12.59,,,7.0,,,,,,,,,,
2017 Q4,,,15.07,,,0.79,,,,,5.64,,,3.79,,,,,0.83,10.92,,,,,,,,0.91,,,,,18.41,,,,,,,,10.18,,,,,,,9.53,,7.8,,,,,,,,,,,,,9.08,,,7.05,,,,,,,,,,
2017 Q3,,,13.05,,,0.73,,,,,4.73,,,2.59,,0.73,,11.53,,10.96,,,,,,,,,,,,,13.78,,,,,,,,9.28,,,,,,,8.63,,6.73,,,,,,,,,,,,,7.13,,,5.52,,,,,,,,4.61,,
