,AXP,BAC,BAC.WS.A,BRK.A,BRK.B,C,DTV,ENLC,FCAU,GM.WS.B,GS,MA,MCO,MU,PKX,RACE,SRG,TERP,TOO,WFC,WFC.WS,ZINC
2020 Q1,12.26,11.12,,5.56,17.53,,,,8.9,,,10.83,3.61,3.44,,21.3,2.48,,,2.97,,
2019 Q4,12.74,12.45,,4.69,14.66,,,,13.62,,,9.04,2.73,2.97,,15.27,7.38,,0.71,3.76,,
2019 Q3,13.29,11.31,,4.73,14.77,,,,13.07,,,9.02,2.59,2.6,,15.59,8.59,,0.59,3.87,,
2019 Q2,14.21,11.53,,4.94,15.51,,,,14.43,,,9.0,2.53,,,16.8,6.67,,0.65,3.72,,
2019 Q1,13.41,11.69,,4.99,15.58,,,,16.43,,,8.54,2.5,,,14.79,7.36,,0.66,4.05,,
2018 Q4,11.93,8.18,2.31,5.17,16.16,,,,16.37,8.83,,6.98,1.97,,,11.2,4.8,1.46,0.68,3.94,,
2018 Q3,11.4,8.36,2.74,4.62,14.49,,,,16.91,7.94,,7.04,2.01,,,13.25,4.89,1.28,1.13,2.91,1.02,
2018 Q2,12.56,7.83,2.46,3.98,12.35,3.34,,,17.96,10.61,,6.08,2.01,,0.04,12.81,1.33,1.27,1.24,3.0,1.14,
2018 Q1,12.21,8.5,2.79,4.31,13.48,3.44,,,19.55,8.99,,5.53,1.94,,0.76,11.55,0.75,1.19,1.09,2.9,1.01,
2017 Q4,12.96,8.34,2.69,4.28,13.35,3.78,,,17.14,11.11,,4.77,1.77,,1.68,10.06,0.85,1.32,1.13,3.34,1.45,
2017 Q3,12.51,7.59,2.15,4.18,13.08,3.91,,0.01,18.18,11.39,,4.71,1.77,,2.47,11.21,1.03,1.41,,3.22,1.2,
2017 Q2,14.01,8.74,2.35,4.66,14.54,4.33,,0.01,12.87,10.57,,4.87,1.86,,2.67,10.48,1.12,1.53,,3.89,1.49,
2017 Q1,13.28,8.58,2.23,4.62,14.44,3.91,,0.01,13.46,11.0,,4.56,1.73,,2.78,9.16,4.79,,,3.95,1.5,
2016 Q4,13.53,8.74,2.13,4.91,15.36,4.22,,0.01,12.22,11.5,,4.55,1.58,,2.47,7.8,5.15,,,4.25,1.57,
2016 Q3,13.9,7.36,1.17,5.17,16.19,3.99,,0.01,10.12,11.04,,5.33,2.16,,2.85,8.28,7.27,,,4.06,1.1,
2016 Q2,14.93,7.06,1.0,5.87,18.37,4.05,,0.01,11.01,9.45,,5.22,2.11,,2.81,7.34,4.5,,,4.91,1.35,
2016 Q1,14.2,6.77,1.03,5.44,16.93,3.76,,0.01,13.72,11.6,,5.27,2.05,,2.81,7.05,3.18,,,4.72,1.46,
2015 Q4,15.14,7.93,1.49,4.74,14.83,4.38,,,22.41,13.02,,5.11,,,1.98,,,,,4.99,1.8,2.16
2015 Q3,16.83,7.66,1.53,4.88,15.28,4.38,,,21.62,10.92,,4.94,,,2.04,,,,,4.92,1.66,3.34
2015 Q2,14.75,7.0,1.38,4.28,13.33,4.08,,,20.4,11.11,,4.28,,,2.39,,,,,4.51,1.72,10.78
2015 Q1,16.67,7.1,,5.11,15.9,4.28,,,25.5,,,4.45,,,3.0,,,,,4.9,,13.09
2014 Q4,18.27,7.61,,4.89,15.21,4.13,3.12,,16.74,,4.26,4.08,,,3.22,,,,,4.54,,13.92
