,AA,ABH,ABT,AGX,ALR,ALTR,AZN,BB,BCE,BNI,BNS,BRK.A,BRK.B,BRO,BWINB-OLD,BYI,C,CBI,CBST,CRAY,CRESY,CRR,CSX,CTB,CTL,CTRX,DELL-OL,DRC,DSSI,DXM,EROS,FIT,FLR,FTR,GCI,GE,GM,GSK,HP,IBM,IBN,ICO,IDIX,INTC,IPI,JEC,JEF,JNJ,KG,KLIC,KW,LMNS,LRN,LVLT,LXK,MCFT,MDLZ,MDR,MGA,MHK,MMI,MON,MU,MYRG,NEU,NTES,NVDQ,NWPX,NXY,NYCB,NYT,ONCE,ORH,ORI,OSTK,PFE,PGH,PGR,PKX,PPO,RAIL,RE,RFP,RPXC,RYAAY,RYAM,SBNY,SD,SLCA,SLH,SPMD,SSW,STEI,TRQ,TSM,UPL,USB,USG,VRUS,WFC,WMT,XCO,ZNT
2019 Q4,,,,0.17,,,,14.76,,,0.69,,,,,,,,,,,,,,1.53,,,,0.85,,,0.69,,,,0.76,0.68,,0.51,,,,,,,0.14,,1.05,,0.17,14.6,,,,,0.41,,,,,,,0.86,,,,,0.14,,,,,,,,,,,,,,,6.31,,,,0.17,,,,,53.9,,,0.15,,,,,,,,
2019 Q3,,,,0.2,,,,14.69,,,0.84,,,,,,,,,,,,,,1.77,,,,0.68,,,,,,,0.75,0.85,,0.54,,,,,,,0.18,,1.14,,0.18,17.51,,,,,0.36,,,,,,,0.84,,,,,0.23,,,,0.39,,,,,,,,,,,8.61,,,,0.18,,,,,49.16,,,0.15,,,,,,,,
2019 Q2,,,,0.2,,,,19.71,,,0.75,,,,,,,,,0.33,,,,,1.57,,,,0.75,,,,,,,0.83,0.82,,0.41,,,,,,,0.22,,1.16,,0.17,15.48,,,,,,,0.36,,,,,0.65,,,0.12,,0.2,,,,,,,,,,,,,,,12.43,,,,0.17,,,,,42.8,,,,,,,,,,,
2019 Q1,,,,0.24,,,,25.83,,,0.72,,,,,,,,,0.24,,,,,1.55,,,,,,,,,,,0.76,0.76,,0.43,,,,,,,0.19,,1.12,,0.16,15.61,,,,,,,0.27,,,,,0.67,,,0.11,,0.18,,,,,,,,,,,,,,,13.21,,,,0.18,,0.13,,,36.75,,,,,,,,,,,
2018 Q4,,,,0.3,,,,26.13,,,0.97,,,,,,,,,0.29,,,,,2.34,,,,,,,,,,,0.83,0.99,,1.3,,,,,,,0.26,,1.49,,0.21,19.06,,,,,,,0.34,,,,,0.12,,,0.15,,0.29,,,,,,,,,,,0.82,,,,19.08,,,,0.23,,,,,23.83,,,,,,,,,,,
2018 Q3,,,,0.25,,,,31.01,,,,,,,,,,,,0.28,,0.14,,,2.43,,,,,,,,0.12,,,0.71,0.74,,1.38,,,,,,,0.18,,1.18,,0.17,16.73,,,,,,,0.7,,,,,,,,,,0.18,,,,,,,,,,,0.73,,0.17,,23.1,,,,0.16,,,,,18.78,,,,,,,,,,,
2018 Q2,,,,0.33,,,,36.15,,,,,,,,,,,,0.43,,0.24,,,2.93,,,,,,,,,,,0.87,0.25,,1.76,2.98,,,,,,0.2,,1.43,,0.23,22.61,,,,,,,1.03,,,,,,,,,,0.25,,,,,,,,,,,1.12,,0.24,,25.25,,,,0.21,,,,,0.19,,,,,,,,,,,
2018 Q1,,,,0.29,,,,40.15,,,,,,,,,,0.91,,0.37,,0.18,,,2.27,,,,,,,,,,,0.31,,,1.71,3.05,,,,,4.52,0.18,,1.42,,0.22,17.33,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,1.11,,0.18,,18.84,0.35,,,,,,,,,,,,,,4.62,,,,,
2017 Q4,,,,0.24,,,,36.82,,,,,,,,,,0.97,,0.43,,0.22,,,1.68,,,,,,,,,,,,,,1.6,2.87,,,,,5.58,,,1.49,,,15.07,,,,,,,,,,,,,0.2,,,,0.24,,,,,,,,0.54,,,1.06,,,,23.69,0.38,,,,,,,,,,0.28,,,,4.16,,0.2,,,
2017 Q3,,,,0.34,1.52,,,42.71,,,,,,,,,,1.17,,0.4,,,,,,,,,,,,,,,,,,,1.49,3.34,,,,,5.94,,,1.61,,,18.66,,,,,,,,,,,,,,,,,0.28,,,,,,,,0.61,0.26,,1.09,,,,12.5,0.33,,,,,,,,,,0.29,,,,4.09,,0.25,,0.38,
