,ABG,ACM,ADNT,ADT,AGCO,ALK,ARRS,ASH,ATI,AVT,AXE,AXL,AXLL,AYI,BDC,BGC,BHI,BW,BWXT,CAG,CAH,CAM,CBT,CCK,COMM,CPRI,CR,CSC,CSX,CTB,CW,CYT,DAN,DBD,DRC,DXC,EMN,ENR,FLEX,FLS,FMC,FTI,GDI,GEO,GPI,GPK,GRA,GT,HAR,HII,HPE,HPQ,HSC,HUN,IGT,IM,IP,IPGP,ITT,JOY,KEX,KFY,KLXI,KMT,KS,LEA,LEN,LSKD,MGA,MHK,MOS,MRC,MTW,MU,MWA,NAV,NCR,NOMD,NOV,NSC,NWSA,ODP,OI,OIS,OSK,PAY,RHI,RL,ROC,RRD,SCS,SEE,SJM,SPLS,SPR,SPXC,TAM,TECD,TEN,TEX,TGI,TIF,TKR,TSLA,TTM,TW-OLD,UNF,VC,VEC,WCC,WFT,WRK,XLS,ZTO
2019 Q4,,,,,,,,,0.31,,,,,,,,,,,,,,,,,15.13,,,,0.17,,,,,,16.28,9.69,,,,,0.18,,,,,,,,,,,,0.29,,,,,,,,,,,,9.63,,,,,0.18,,,,,,,0.76,,,,,27.91,,,,,,,,,,0.34,,,,,,,,,,8.35,,,,,,,,,10.8,,
2019 Q3,,,,,,,,,,,,,,,,,,,,,,,,,,11.28,,,,0.32,,,0.28,,,16.9,13.03,,,,,,,,,,0.42,,,,,,,5.03,,,,,,,,,,,,0.29,,,,0.39,,,,,,,,,,,,,26.12,,11.35,,,0.44,,,,,,,,,,,,,,,13.39,,,,,0.46,,,,0.3,,
2019 Q2,,,,,,,,,,11.15,0.49,,,0.44,,,,,,0.61,,,0.47,,,,,,,,,,,,,10.65,16.11,,,,,,,,,,,,,,,,,10.15,,,,,,,,0.45,,0.61,,0.42,,,,,0.44,,,,0.55,,,,,,,,23.48,,10.52,,,,,,,,,,,,,,,,,0.41,12.66,,,,,,,,,0.37,,
2019 Q1,,,,0.97,,,,,,12.14,0.43,,,0.86,,,,,,0.75,,,0.66,,,,0.51,,,,,,,1.41,,11.87,14.41,,,,,,,,,,,,,,,,,14.34,0.92,,,,,,,,,,,0.25,,,,,,,,,,0.5,,,,,,,20.61,,9.44,,,,,,,,,,,,,,,,,,9.27,,,,,,,,,0.66,,
2018 Q4,,,,0.55,,,,,,11.38,,0.55,,,,,,,,,,,0.76,0.63,12.66,,,,,,,,,2.16,,10.83,1.92,,,,,,0.29,,,0.28,,0.7,,,,,,13.56,0.74,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,32.74,,7.77,,,,,,,,,,,,,,,,0.54,0.29,0.68,,,,,,,,,,,
2018 Q3,,,0.17,0.68,,,11.67,,,12.59,,0.45,,,,,,,,,,,,0.58,12.8,,,,,,,,,5.24,,,8.34,,,,,,,,,,,,,,,,,12.82,,,,,,,,,,0.73,,0.61,,,,,,,,,,0.33,0.34,,,,,,29.76,,0.66,,,,,,,,,,,,,0.67,,,0.7,,0.71,0.12,,,,,,,,,,
2018 Q2,,,,0.74,,,15.01,,,5.79,,0.66,,,0.7,,,,,,,,,0.89,13.67,,,,,,,,,12.79,,,8.19,,,,,,,,,,,,,,,,,14.22,,,,,,,,,,,,,,,,,,,,,,0.51,0.48,,,,,,24.84,,0.68,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,0.29,,
2018 Q1,,,,,,,17.17,,,0.74,,0.76,,,0.63,,,,,,,,,0.79,11.75,,,,,,,,,13.23,,,13.16,,,,,,,,,,,,,,,,,13.85,,,0.37,,,,,,,,,,0.72,0.49,,,,,,,,0.55,0.3,,,,,,23.52,,,,,,,,0.67,,,,,,,,0.68,,0.62,,,,,,,,,,,,,
2017 Q4,,,,,,0.86,15.12,,,1.18,,0.79,,,,,,,,,,,,,18.94,,,,,,,,,11.61,,,13.68,,,,,,,,,,,,,,,,,14.58,0.83,,,,,,,,,,,,0.74,0.7,,,,,,,,,0.52,,,,,,18.83,,,,,,,,0.96,,,,,,,,,,0.64,,,,,,,,,,,,,
2017 Q3,,,,,,0.9,14.03,,,0.92,,0.88,,,,,,0.31,,,,,,,15.21,,,,,,,,,18.43,,,13.72,,,,,,,,,,,,,,,,,11.88,0.89,,,,,,,,,,0.51,,,0.89,,,,,,,,,,,,,,,19.84,,,,,,,,0.93,,,,,,,,,,0.67,,,,,,,,,,,,,
2017 Q2,,,0.34,,,,12.33,,,0.63,,0.24,,,,,,0.47,,,,,,,16.67,,,,,,,,,17.26,,0.48,14.68,,,,,,,,,,,,,,,,,11.5,0.78,,,,,,,,,,0.32,,,0.78,0.83,,,,,,,,,0.45,,,,,20.6,,,,,,,,0.7,,,,,,,,,,0.76,,,,,,,,,,,,,0.18
2017 Q1,,,,,,,7.56,,,,,,,,0.49,,,1.01,,,,,,,16.44,,,0.99,,,,,,16.38,,,13.19,,,,,,,,,,,1.24,12.0,,,,,,0.28,,,,,,,,,,,,,0.39,1.45,,,,,0.46,,,,0.3,,,,0.6,20.86,,,,,0.76,,,0.9,,,,,,,,,,4.62,,,,,,,,,,,,,0.07
2016 Q4,1.05,,,,,,1.15,,,,,,,,,,,0.47,,,,,,,14.33,,,0.48,,0.48,,,,12.93,,,11.26,,,,,,,,,,,11.38,15.45,,,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,0.94,18.0,,0.48,0.76,,,,,1.01,,,0.83,,,,,,,7.92,,,,,,,,,,,,,
2016 Q3,0.92,,,,,0.98,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,1.17,,,17.26,,,,,,,,,,,16.01,17.74,,,,,,,5.47,,,,,,,,,,,,,0.89,,,,,,,,,,,,,0.79,23.64,,,0.84,0.88,,,,,,,,0.88,,,,,,11.29,,,,,,,,,,,,,
2016 Q2,0.83,,,,,1.12,,,,,,,,,,,,,,,,,,,0.5,,,,,1.1,,,,,,,12.59,,,,,,,,0.36,,,14.47,19.67,,0.73,,,,,5.85,,0.38,0.64,,,,,,,,,,,,,,,,,,,,,,,,24.16,,,0.79,1.24,,,,,,,,1.32,,,,,,13.26,0.98,,,,,,,,,,,,
2016 Q1,,,,,,,,1.26,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,11.89,,,,11.88,,,,,,,14.22,6.82,,1.09,,,,,14.53,,,,,,,0.75,,,0.91,,,1.05,,,,,,,,,,,,,,21.18,,,,,,,,,,,,,,,,,,13.44,,,,,,,,,,,,,
2015 Q4,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,0.81,,0.81,,,,,,,,11.93,,,,13.96,,,,,,,16.93,,,,1.21,,,,14.18,,,,,0.57,,0.97,,,0.93,,,0.78,,,,,,,,,,,,,,20.96,,1.34,,,,,,,,,,,0.82,,,,,12.19,,,,,,0.45,,,,,,,
