,ABT,BF.A,BF.B,BRK.A,BRK.B,BTI,BUD,CFRHF,CMCSA,CMCSK-OLD,DEO,GHC,GOOG,HAS,HKHHF,HRL,JCDXF,MA,MKL,MLHR,MLM,MO,NSRGY,PDRDF,PG,PM,SBMRY,SNI,UHR-D,UN,V,WFC,XOM
2019 Q4,,1.8,0.89,10.03,3.83,,4.77,6.12,1.99,,2.07,,3.21,,6.7,,1.5,14.61,,,3.62,0.85,10.63,6.65,,5.79,,,2.24,5.47,,5.22,
2019 Q3,,1.81,0.88,9.53,3.66,,5.78,5.95,2.07,,2.08,,2.42,,7.1,,1.38,14.11,,,3.71,1.05,11.04,6.85,,5.37,,,2.25,5.93,,5.02,
2019 Q2,,1.65,0.8,9.69,3.78,,5.37,6.9,1.95,,2.19,,1.61,,7.5,,1.55,13.91,,,3.14,1.8,10.55,7.11,,5.56,,,2.44,5.96,,4.55,
2019 Q1,,1.61,0.82,9.59,3.77,,5.29,6.17,1.95,,2.42,,0.85,,7.54,,1.63,13.6,,,2.9,2.28,10.28,7.33,,6.61,,,2.59,6.04,,4.75,
2018 Q4,,1.66,0.96,11.22,4.21,,4.3,6.09,1.92,,2.67,,0.8,,7.23,,1.68,12.65,,,2.78,2.19,10.04,7.67,,5.56,,,2.88,6.41,,5.1,
2018 Q3,,1.58,0.92,10.54,3.95,,5.13,6.9,1.79,,2.43,,,,6.95,,2.02,13.44,,,2.61,2.38,9.29,6.94,,6.07,,,3.47,5.93,0.67,5.08,
2018 Q2,,1.54,0.95,9.51,3.44,,5.97,7.11,1.7,,2.52,,,,7.4,,1.88,12.42,,,3.25,2.3,8.89,7.02,,6.13,,,3.99,6.09,0.6,4.97,
2018 Q1,,1.61,1.07,9.74,3.55,2.14,5.88,7.27,1.7,,2.37,,,,7.7,,1.88,10.93,,,2.92,2.45,8.77,6.98,,7.2,,,3.55,6.02,,4.52,
2017 Q4,,2.0,0.7,9.59,3.41,2.44,5.55,7.23,1.96,,2.69,,,,7.36,,2.15,9.53,,,3.06,2.75,9.43,6.65,,7.38,,,3.23,5.75,,5.21,
2017 Q3,,1.75,0.59,9.36,3.27,2.35,6.03,7.68,1.95,,2.56,,,,7.31,,2.06,9.49,,,2.97,2.55,9.59,6.14,,8.0,,,3.17,6.29,,4.96,
2017 Q2,,1.64,,9.09,3.14,2.55,5.77,7.21,2.03,,2.41,,,,7.47,,1.74,8.57,,,2.9,2.94,10.38,6.19,,8.83,,0.58,2.85,6.17,,5.17,
2017 Q1,,1.66,,9.44,3.22,2.63,5.98,7.3,2.08,,2.49,,,,6.88,,1.96,8.29,,,3.01,2.97,9.54,5.79,,9.01,,0.7,2.9,5.88,,5.88,
2016 Q4,,1.82,,10.15,3.53,2.49,6.22,6.69,2.12,,2.47,,,,6.41,,1.73,8.39,,,3.4,3.15,9.7,5.72,,8.02,,0.7,2.68,5.31,,6.83,
2016 Q3,,1.96,,8.97,3.12,2.7,7.29,6.06,2.09,,2.7,,,,7.21,,1.69,8.28,,,3.08,3.1,10.42,6.2,,8.34,,0.62,2.31,5.51,,5.82,
2016 Q2,,2.18,,9.08,3.13,2.76,7.22,5.69,2.08,,2.63,,,,7.36,,1.71,7.18,,,3.35,3.42,10.26,5.87,,8.94,,0.62,2.35,5.64,,6.02,
2016 Q1,,2.2,,9.04,3.11,2.54,6.87,6.38,1.98,,2.56,,,,7.15,,2.06,7.77,,,2.84,3.15,10.06,5.58,,8.71,0.94,,2.54,5.42,,6.0,
2015 Q4,,2.35,,8.55,2.91,2.42,6.92,6.32,1.89,,2.62,,,,7.17,,1.63,8.07,,,2.45,3.01,10.14,5.63,,7.94,2.5,,2.22,5.32,,6.84,
2015 Q3,,2.51,,8.88,2.96,2.48,4.98,6.2,,2.1,2.71,,,,6.96,,1.26,8.08,,,2.84,3.16,10.71,5.14,,7.51,6.17,0.55,,5.15,,6.76,
2015 Q2,,2.66,,9.18,2.96,2.36,5.54,5.99,,2.19,2.83,,,,6.72,,1.05,8.24,,,2.61,2.79,10.08,5.65,,7.35,5.54,0.73,,5.28,,7.25,
2015 Q1,,2.29,,9.91,3.21,2.33,5.71,5.9,,2.25,2.72,,,,6.72,,0.71,7.79,,,2.61,2.95,10.65,5.82,,6.84,5.62,0.79,,5.34,,7.18,
2014 Q4,,2.25,,10.42,3.35,2.45,5.29,6.48,,2.44,2.72,0.47,,,6.15,,,7.84,,,2.06,3.12,10.33,5.39,,7.33,5.59,0.86,,5.0,,7.3,
