Date,DHI
1992-06-05,1.652146
1992-06-08,1.652146
1992-06-09,1.577049
1992-06-10,1.577049
1992-06-11,1.501951
1992-06-12,1.501951
1992-06-15,1.558274
1992-06-16,1.520726
1992-06-17,1.520726
1992-06-18,1.501951
1992-06-19,1.501951
1992-06-22,1.501951
1992-06-23,1.501951
1992-06-24,1.501951
1992-06-25,1.501951
1992-06-26,1.5395
1992-06-29,1.501951
1992-06-30,1.5395
1992-07-01,1.5395
1992-07-02,1.501951
1992-07-06,1.5395
1992-07-07,1.501951
1992-07-08,1.426854
1992-07-09,1.389305
1992-07-10,1.389305
1992-07-13,1.464402
1992-07-14,1.464402
1992-07-15,1.5395
1992-07-16,1.501951
1992-07-17,1.5395
1992-07-20,1.5395
1992-07-21,1.464402
1992-07-22,1.464402
1992-07-23,1.501951
1992-07-24,1.501951
1992-07-27,1.4456280000000001
1992-07-28,1.501951
1992-07-29,1.577049
1992-07-30,1.5395
1992-07-31,1.577049
1992-08-03,1.577049
1992-08-04,1.558274
1992-08-05,1.614598
1992-08-06,1.558274
1992-08-07,1.5395
1992-08-10,1.577049
1992-08-11,1.5395
1992-08-12,1.5395
1992-08-13,1.5395
1992-08-14,1.614598
1992-08-17,1.5395
1992-08-18,1.5395
1992-08-19,1.501951
1992-08-20,1.501951
1992-08-21,1.464402
1992-08-24,1.464402
1992-08-25,1.501951
1992-08-26,1.426854
1992-08-27,1.501951
1992-08-28,1.5395
1992-08-31,1.5395
1992-09-01,1.464402
1992-09-02,1.464402
1992-09-03,1.426854
1992-09-04,1.351756
1992-09-08,1.276659
1992-09-09,1.201561
1992-09-10,1.201561
1992-09-11,1.201561
1992-09-14,1.23911
1992-09-15,1.23911
1992-09-16,1.220335
1992-09-17,1.314207
1992-09-18,1.332982
1992-09-21,1.332982
1992-09-22,1.314207
1992-09-23,1.314207
1992-09-24,1.314207
1992-09-25,1.314207
1992-09-28,1.314207
1992-09-29,1.332982
1992-09-30,1.314207
1992-10-01,1.314207
1992-10-02,1.351756
1992-10-05,1.23911
1992-10-06,1.23911
1992-10-07,1.23911
1992-10-08,1.23911
1992-10-09,1.201561
1992-10-12,1.220335
1992-10-13,1.201561
1992-10-14,1.0889149999999999
1992-10-15,1.164012
1992-10-16,1.164012
1992-10-19,1.164012
1992-10-20,1.0889149999999999
1992-10-21,1.164012
1992-10-22,1.0889149999999999
1992-10-23,1.0889149999999999
1992-10-26,1.0889149999999999
1992-10-27,1.164012
1992-10-28,1.201561
1992-10-29,1.201561
1992-10-30,1.145238
1992-11-02,1.23911
1992-11-03,1.201561
1992-11-04,1.351756
1992-11-05,1.314207
1992-11-06,1.23911
1992-11-09,1.23911
1992-11-10,1.126463
1992-11-11,1.23911
1992-11-12,1.23911
1992-11-13,1.23911
1992-11-16,1.201561
1992-11-17,1.314207
1992-11-18,1.314207
1992-11-19,1.426854
1992-11-20,1.426854
1992-11-23,1.351756
1992-11-24,1.351756
1992-11-25,1.37053
1992-11-27,1.389305
1992-11-30,1.426854
1992-12-01,1.351756
1992-12-02,1.351756
1992-12-03,1.351756
1992-12-04,1.389305
1992-12-07,1.351756
1992-12-08,1.351756
1992-12-09,1.351756
1992-12-10,1.426854
1992-12-11,1.276659
1992-12-14,1.23911
1992-12-15,1.201561
1992-12-16,1.276659
1992-12-17,1.201561
1992-12-18,1.276659
1992-12-21,1.257884
1992-12-22,1.351756
1992-12-23,1.389305
1992-12-24,1.389305
1992-12-28,1.389305
1992-12-29,1.389305
1992-12-30,1.389305
1992-12-31,1.464402
1993-01-04,1.501951
1993-01-05,1.501951
1993-01-06,1.5395
