Date,EXR
2004-08-16,12.5
2004-08-17,12.51
2004-08-18,12.51
2004-08-19,12.53
2004-08-20,12.55
2004-08-23,12.55
2004-08-24,12.98
2004-08-25,13.0
2004-08-26,13.38
2004-08-27,13.45
2004-08-30,13.48
2004-08-31,13.8
2004-09-01,13.65
2004-09-02,13.79
2004-09-03,13.65
2004-09-07,13.8
2004-09-08,13.65
2004-09-09,13.49
2004-09-10,13.6
2004-09-13,13.71
2004-09-14,13.51
2004-09-15,13.35
2004-09-16,13.33
2004-09-17,13.64
2004-09-20,13.35
2004-09-21,13.47
2004-09-22,13.5
2004-09-23,13.29
2004-09-24,13.5
2004-09-27,13.05
2004-09-28,12.91
2004-09-29,12.88
2004-09-30,12.75
2004-10-01,13.0
2004-10-04,12.94
2004-10-05,12.86
2004-10-06,13.1
2004-10-07,13.02
2004-10-08,13.22
2004-10-11,13.1
2004-10-12,13.1
2004-10-13,12.96
2004-10-14,13.06
2004-10-15,12.98
2004-10-18,13.12
2004-10-19,13.05
2004-10-20,13.1
2004-10-21,13.38
2004-10-22,13.3
2004-10-25,13.3
2004-10-26,13.55
2004-10-27,13.9
2004-10-28,13.92
2004-10-29,13.86
2004-11-01,13.74
2004-11-02,13.86
2004-11-03,13.9
2004-11-04,14.0
2004-11-05,14.05
2004-11-08,14.05
2004-11-09,14.08
2004-11-10,14.13
2004-11-11,14.15
2004-11-12,14.1
2004-11-15,14.35
2004-11-16,14.1
2004-11-17,14.2
2004-11-18,14.05
2004-11-19,14.05
2004-11-22,14.18
2004-11-23,14.14
2004-11-24,13.98
2004-11-26,13.9
2004-11-29,14.0
2004-11-30,13.9
2004-12-01,14.0
2004-12-02,14.2
2004-12-03,14.35
2004-12-06,14.15
2004-12-07,14.0
2004-12-08,14.05
2004-12-09,13.75
2004-12-10,13.68
2004-12-13,13.69
2004-12-14,13.51
2004-12-15,13.36
2004-12-16,13.39
2004-12-17,13.29
2004-12-20,13.28
2004-12-21,13.36
2004-12-22,13.56
2004-12-23,13.55
2004-12-27,13.43
2004-12-28,13.6
2004-12-29,13.35
2004-12-30,13.4
2004-12-31,13.33
2005-01-03,13.29
2005-01-04,13.42
2005-01-05,13.0
2005-01-06,13.45
2005-01-07,13.76
2005-01-10,13.41
2005-01-11,13.46
2005-01-12,13.5
2005-01-13,13.05
2005-01-14,13.86
2005-01-18,13.25
2005-01-19,13.3
2005-01-20,13.15
2005-01-21,13.18
2005-01-24,13.23
2005-01-25,13.11
2005-01-26,12.95
2005-01-27,13.0
2005-01-28,12.94
2005-01-31,12.97
2005-02-01,13.05
2005-02-02,12.96
2005-02-03,13.0
2005-02-04,13.2
2005-02-07,13.27
2005-02-08,13.35
2005-02-09,13.29
2005-02-10,13.52
2005-02-11,13.84
2005-02-14,13.79
2005-02-15,13.65
2005-02-16,14.03
2005-02-17,14.03
2005-02-18,13.98
2005-02-22,13.71
2005-02-23,13.8
2005-02-24,13.8
2005-02-25,14.0
2005-02-28,13.9
2005-03-01,14.0
2005-03-02,14.04
2005-03-03,13.9
2005-03-04,14.08
2005-03-07,14.05
2005-03-08,14.1
2005-03-09,14.05
2005-03-10,13.98
2005-03-11,13.75
2005-03-14,13.7
2005-03-15,13.51
2005-03-16,13.38
2005-03-17,13.5
2005-03-18,13.61
2005-03-21,13.44
2005-03-22,13.28
2005-03-23,13.06
2005-03-24,12.97
2005-03-28,12.77
2005-03-29,12.8
2005-03-30,13.36
2005-03-31,13.5
2005-04-01,12.99
2005-04-04,12.99
2005-04-05,13.16
2005-04-06,13.19
2005-04-07,13.3
2005-04-08,13.06
2005-04-11,13.01
2005-04-12,13.1
2005-04-13,13.31
2005-04-14,13.28
2005-04-15,13.08
2005-04-18,13.13
2005-04-19,13.15
2005-04-20,13.12
2005-04-21,13.1
2005-04-22,12.82
2005-04-25,13.17
2005-04-26,12.94
2005-04-27,13.04
2005-04-28,12.92
2005-04-29,13.0
2005-05-02,13.0
2005-05-03,13.01
2005-05-04,12.9
2005-05-05,12.89
2005-05-06,12.83
2005-05-09,12.95
2005-05-10,12.9
2005-05-11,12.81
2005-05-12,12.62
2005-05-13,12.85
2005-05-16,12.87
2005-05-17,12.92
2005-05-18,13.06
2005-05-19,13.15
2005-05-20,13.21
2005-05-23,13.53
2005-05-24,13.65
2005-05-25,13.62
2005-05-26,13.85
2005-05-27,14.18
2005-05-31,14.4
2005-06-01,14.09
2005-06-02,14.08
2005-06-03,14.15
2005-06-06,14.37
2005-06-07,14.45
2005-06-08,14.4
2005-06-09,14.24
2005-06-10,14.26
2005-06-13,14.37
2005-06-14,14.41
2005-06-15,14.25
2005-06-16,14.13
2005-06-17,14.1
2005-06-20,13.8
2005-06-21,14.14
2005-06-22,14.23
2005-06-23,14.05
2005-06-24,14.46
2005-06-27,14.49
2005-06-28,14.68
2005-06-29,14.63
2005-06-30,14.33
2005-07-01,14.57
2005-07-05,14.9
2005-07-06,14.55
2005-07-07,14.85
2005-07-08,15.1
2005-07-11,15.83
2005-07-12,15.91
2005-07-13,15.96
2005-07-14,15.66
2005-07-15,15.71
2005-07-18,15.8
2005-07-19,16.1
2005-07-20,16.559998999999998
2005-07-21,16.02
2005-07-22,16.1
2005-07-25,15.96
2005-07-26,16.15
2005-07-27,16.15
2005-07-28,16.24
2005-07-29,16.139999
2005-08-01,16.200001
2005-08-02,16.200001
2005-08-03,16.190001000000002
2005-08-04,15.71
2005-08-05,14.98
2005-08-08,14.78
2005-08-09,14.7
2005-08-10,15.41
2005-08-11,15.25
2005-08-12,14.8
2005-08-15,14.98
2005-08-16,15.28
2005-08-17,14.9
2005-08-18,15.03
2005-08-19,14.9
2005-08-22,14.8
2005-08-23,14.8
2005-08-24,14.95
2005-08-25,15.11
2005-08-26,14.92
2005-08-29,15.07
2005-08-30,14.99
2005-08-31,14.92
2005-09-01,14.99
2005-09-02,14.94
2005-09-06,15.76
2005-09-07,15.58
2005-09-08,15.55
2005-09-09,15.94
2005-09-12,15.75
2005-09-13,15.37
2005-09-14,15.19
2005-09-15,15.25
2005-09-16,15.48
2005-09-19,14.99
2005-09-20,15.12
2005-09-21,14.95
2005-09-22,15.03
2005-09-23,15.22
2005-09-26,15.31
2005-09-27,15.05
2005-09-28,14.83
2005-09-29,15.15
2005-09-30,15.38
2005-10-03,15.2
2005-10-04,15.15
2005-10-05,14.96
2005-10-06,14.98
2005-10-07,14.95
2005-10-10,14.93
2005-10-11,14.33
2005-10-12,13.91
2005-10-13,13.82
2005-10-14,14.31
2005-10-17,14.6
2005-10-18,14.36
2005-10-19,14.27
2005-10-20,13.83
2005-10-21,13.9
2005-10-24,14.35
2005-10-25,14.03
2005-10-26,13.9
2005-10-27,13.94
2005-10-28,14.54
2005-10-31,14.6
2005-11-01,14.32
2005-11-02,14.25
2005-11-03,14.02
2005-11-04,13.9
2005-11-07,13.49
2005-11-08,13.14
2005-11-09,13.72
2005-11-10,14.05
2005-11-11,14.11
2005-11-14,14.05
2005-11-15,14.01
2005-11-16,13.81
2005-11-17,14.14
2005-11-18,14.42
