Date,MPC
2012-07-12,21.715
2012-07-13,22.475
2012-07-16,22.424999
2012-07-17,22.725
2012-07-18,23.415001
2012-07-19,22.754998999999998
2012-07-20,22.780001000000002
2012-07-23,22.93
2012-07-24,22.219998999999998
2012-07-25,22.254998999999998
2012-07-26,22.91
2012-07-27,23.52
2012-07-30,23.735001
2012-07-31,23.65
2012-08-01,23.4
2012-08-02,24.0
2012-08-03,24.695
2012-08-06,24.674999
2012-08-07,25.219998999999998
2012-08-08,24.735001
2012-08-09,24.395
2012-08-10,24.780001000000002
2012-08-13,24.780001000000002
2012-08-14,24.565001000000002
2012-08-15,24.860001
2012-08-16,24.855
2012-08-17,24.625
2012-08-20,24.775
2012-08-21,24.459999
2012-08-22,24.625
2012-08-23,24.52
2012-08-24,24.375
2012-08-27,24.799999
2012-08-28,24.915001
2012-08-29,24.860001
2012-08-30,25.405001000000002
2012-08-31,25.875
2012-09-04,25.395
2012-09-05,25.16
2012-09-06,25.459999
2012-09-07,25.945
2012-09-10,26.18
2012-09-11,26.674999
2012-09-12,26.74
2012-09-13,27.334999
2012-09-14,27.805
2012-09-17,26.82
2012-09-18,26.035
2012-09-19,26.605
2012-09-20,26.684998999999998
2012-09-21,26.860001
2012-09-24,26.725
2012-09-25,26.825001
2012-09-26,26.5
2012-09-27,27.264999
2012-09-28,27.295
2012-10-01,27.67
2012-10-02,27.695
2012-10-03,27.26
2012-10-04,27.795
2012-10-05,27.434998999999998
2012-10-08,28.959999
2012-10-09,28.565001000000002
2012-10-10,27.65
2012-10-11,27.33
2012-10-12,27.15
2012-10-15,27.190001000000002
2012-10-16,27.525
2012-10-17,27.875
2012-10-18,27.395
2012-10-19,27.469998999999998
2012-10-22,27.26
2012-10-23,26.625
2012-10-24,26.85
2012-10-25,26.98
2012-10-26,27.805
2012-10-31,27.465
2012-11-01,27.014999
2012-11-02,26.525
2012-11-05,27.379998999999998
2012-11-06,28.49
2012-11-07,27.73
2012-11-08,27.155001000000002
2012-11-09,26.559998999999998
2012-11-12,26.940001000000002
2012-11-13,26.950001
2012-11-14,26.565001000000002
2012-11-15,27.030001000000002
2012-11-16,27.17
2012-11-19,28.285
2012-11-20,28.5
2012-11-21,28.915001
2012-11-23,29.49
2012-11-26,29.530001000000002
2012-11-27,29.295
2012-11-28,29.625
2012-11-29,29.725
2012-11-30,29.77
2012-12-03,29.775
2012-12-04,29.58
2012-12-05,29.055
2012-12-06,29.700001
2012-12-07,30.35
2012-12-10,31.004998999999998
2012-12-11,30.709999
2012-12-12,30.76
2012-12-13,30.885
2012-12-14,31.415001
2012-12-17,31.48
2012-12-18,31.5
2012-12-19,31.110001
2012-12-20,31.129998999999998
2012-12-21,31.07
2012-12-24,31.184998999999998
2012-12-26,30.83
2012-12-27,31.01
2012-12-28,30.555
2012-12-31,31.5
2013-01-02,32.005001
2013-01-03,31.110001
2013-01-04,31.275
2013-01-07,30.125
2013-01-08,30.775
2013-01-09,31.209999
2013-01-10,31.395
2013-01-11,30.995001000000002
2013-01-14,31.309998999999998
2013-01-15,32.130001
2013-01-16,32.369999
2013-01-17,32.689999
2013-01-18,32.599998
2013-01-22,33.555
2013-01-23,33.790001000000004
2013-01-24,34.325001
2013-01-25,34.334998999999996
2013-01-28,34.325001
2013-01-29,35.985001000000004
2013-01-30,36.445
2013-01-31,37.105
2013-02-01,38.105
2013-02-04,38.400002
2013-02-05,38.34
2013-02-06,38.895
2013-02-07,39.509997999999996
2013-02-08,40.715
2013-02-11,40.845001
2013-02-12,40.445
2013-02-13,40.834998999999996
2013-02-14,41.580002
2013-02-15,41.279999
2013-02-19,42.105
2013-02-20,40.115002000000004
2013-02-21,40.294998
2013-02-22,40.764998999999996
2013-02-25,39.639998999999996
2013-02-26,40.275002
2013-02-27,41.369999
2013-02-28,41.439999
2013-03-01,42.505001
2013-03-04,44.895
2013-03-05,44.375
2013-03-06,44.27
2013-03-07,44.139998999999996
2013-03-08,44.509997999999996
2013-03-11,43.945
2013-03-12,44.494999
2013-03-13,43.415001000000004
2013-03-14,43.849998
2013-03-15,43.965
2013-03-18,44.369999
2013-03-19,44.154999
2013-03-20,45.564999
2013-03-21,44.529999
2013-03-22,45.455002
2013-03-25,45.095001
2013-03-26,45.465
2013-03-27,44.834998999999996
2013-03-28,44.799999
2013-04-01,44.915001000000004
2013-04-02,42.740002000000004
2013-04-03,40.695
2013-04-04,41.310001
2013-04-05,41.185001
2013-04-08,41.68
2013-04-09,42.400002
2013-04-10,42.169998
2013-04-11,41.035
2013-04-12,40.145
2013-04-15,38.759997999999996
2013-04-16,39.435001
2013-04-17,38.305
2013-04-18,38.494999
2013-04-19,39.375
2013-04-22,39.994999
