Date,OXY
1981-12-31,11.496737
1982-01-04,11.496737
1982-01-05,11.317101
1982-01-06,11.37698
1982-01-07,11.37698
1982-01-08,11.257221000000001
1982-01-11,11.017706
1982-01-12,11.077585000000001
1982-01-13,10.957828
1982-01-14,10.718312
1982-01-15,10.897948
1982-01-18,10.957828
1982-01-19,11.077585000000001
1982-01-20,11.077585000000001
1982-01-21,10.957828
1982-01-22,10.718312
1982-01-25,10.538675
1982-01-26,10.478797
1982-01-27,10.478797
1982-01-28,11.077585000000001
1982-01-29,10.778191
1982-02-01,10.478797
1982-02-02,10.478797
1982-02-03,10.538675
1982-02-04,10.538675
1982-02-05,10.538675
1982-02-08,10.418918
1982-02-09,10.29916
1982-02-10,10.478797
1982-02-11,10.538675
1982-02-12,10.359039
1982-02-16,10.359039
1982-02-17,10.29916
1982-02-18,10.359039
1982-02-19,10.359039
1982-02-22,10.179402
1982-02-23,10.239282000000001
1982-02-24,10.538675
1982-02-25,10.478797
1982-02-26,10.418918
1982-03-01,10.418918
1982-03-02,10.478797
1982-03-03,10.179402
1982-03-04,9.640493
1982-03-05,9.400978
1982-03-08,8.981826
1982-03-09,9.28122
1982-03-10,9.460856
1982-03-11,9.460856
1982-03-12,9.041704
1982-03-15,9.101583
1982-03-16,9.221341
1982-03-17,9.161463000000001
1982-03-18,9.520736
1982-03-19,9.700372
1982-03-22,9.880009
1982-03-23,9.880009
1982-03-24,9.820129
1982-03-25,9.760251
1982-03-26,9.760251
1982-03-29,9.820129
1982-03-30,9.820129
1982-03-31,9.700372
1982-04-01,9.700372
1982-04-02,9.820129
1982-04-05,9.820129
1982-04-06,9.760251
1982-04-07,9.760251
1982-04-08,9.760251
1982-04-12,9.760251
1982-04-13,9.700372
1982-04-14,9.700372
1982-04-15,9.820129
1982-04-16,9.820129
1982-04-19,9.700372
1982-04-20,9.460856
1982-04-21,9.580614
1982-04-22,9.760251
1982-04-23,9.700372
1982-04-26,9.400978
1982-04-27,9.341099
1982-04-28,9.28122
1982-04-29,9.161463000000001
1982-04-30,9.28122
1982-05-03,9.341099
1982-05-04,9.341099
1982-05-05,9.341099
1982-05-06,9.460856
1982-05-07,9.640493
1982-05-10,9.640493
1982-05-11,9.880009
1982-05-12,9.820129
1982-05-13,9.760251
1982-05-14,9.820129
1982-05-17,9.700372
1982-05-18,9.640493
1982-05-19,9.580614
1982-05-20,9.640493
1982-05-21,9.760251
1982-05-24,9.700372
1982-05-25,9.760251
1982-05-26,9.760251
1982-05-27,9.640493
1982-05-28,9.640493
1982-06-01,9.700372
1982-06-02,9.760251
1982-06-03,9.820129
1982-06-04,9.341099
1982-06-07,9.341099
1982-06-08,9.28122
1982-06-09,9.28122
1982-06-10,9.341099
1982-06-11,9.221341
1982-06-14,9.161463000000001
1982-06-15,9.221341
1982-06-16,9.161463000000001
1982-06-17,8.981826
1982-06-18,8.981826
1982-06-21,9.041704
1982-06-22,9.101583
1982-06-23,9.101583
1982-06-24,9.041704
1982-06-25,9.041704
1982-06-28,9.041704
1982-06-29,9.041704
1982-06-30,8.981826
1982-07-01,8.862067999999999
1982-07-02,8.622553
1982-07-06,8.682431
1982-07-07,8.562674000000001
1982-07-08,8.442916
1982-07-09,8.622553
1982-07-12,8.562674000000001
1982-07-13,8.383038
1982-07-14,8.562674000000001
1982-07-15,8.622553
