Date,LEN
1980-03-17,1.20862
1980-03-18,1.239348
1980-03-19,1.229105
1980-03-20,1.229105
1980-03-21,1.229105
1980-03-24,1.177892
1980-03-25,1.218863
1980-03-26,1.3008030000000002
1980-03-27,1.188135
1980-03-28,1.29056
1980-03-31,1.3008030000000002
1980-04-01,1.3008030000000002
1980-04-02,1.331531
1980-04-03,1.331531
1980-04-07,1.331531
1980-04-08,1.3417729999999999
1980-04-09,1.413471
1980-04-10,1.454441
1980-04-11,1.423714
1980-04-14,1.392986
1980-04-15,1.362258
1980-04-16,1.3520159999999999
1980-04-17,1.392986
1980-04-18,1.392986
1980-04-21,1.3520159999999999
1980-04-22,1.495411
1980-04-23,1.536381
1980-04-24,1.567109
1980-04-25,1.515896
1980-04-28,1.526139
1980-04-29,1.556867
1980-04-30,1.546624
1980-05-01,1.556867
1980-05-02,1.526139
1980-05-05,1.515896
1980-05-06,1.505654
1980-05-07,1.638807
1980-05-08,1.69002
1980-05-09,1.6592919999999998
1980-05-12,1.6592919999999998
1980-05-13,1.720747
1980-05-14,1.7617169999999998
1980-05-15,1.802688
1980-05-16,1.81293
1980-05-19,1.7719599999999998
1980-05-20,1.710505
1980-05-21,1.679777
1980-05-22,1.7617169999999998
1980-05-23,1.792445
1980-05-27,1.8743849999999997
1980-05-28,1.9460830000000002
1980-05-29,1.8743849999999997
1980-05-30,1.966568
1980-06-02,1.966568
1980-06-03,1.9563259999999998
1980-06-04,1.884628
1980-06-05,1.884628
1980-06-06,1.864143
1980-06-09,1.8436580000000002
1980-06-10,1.792445
1980-06-11,1.8539
1980-06-12,1.864143
1980-06-13,2.007539
1980-06-16,2.058751
1980-06-17,1.976811
1980-06-18,1.987053
1980-06-19,1.987053
1980-06-20,2.0177810000000003
1980-06-23,2.038266
1980-06-24,2.048509
1980-06-25,2.1099639999999997
1980-06-26,2.1714189999999998
1980-06-27,2.140692
1980-06-30,2.130449
1980-07-01,2.3353
1980-07-02,2.273845
1980-07-03,2.273845
1980-07-07,2.3353
1980-07-08,2.284087
1980-07-09,2.3148150000000003
1980-07-10,2.284087
1980-07-11,2.3045720000000003
1980-07-14,2.3353
1980-07-15,2.345542
1980-07-16,2.345542
1980-07-17,2.540151
1980-07-18,2.6016060000000003
1980-07-21,2.755244
1980-07-22,2.6835459999999998
1980-07-23,2.704031
1980-07-24,2.642576
1980-07-25,2.581121
1980-07-28,2.632334
1980-07-29,2.642576
1980-07-30,2.652819
1980-07-31,2.663061
1980-08-01,2.6835459999999998
1980-08-04,2.6016060000000003
1980-08-05,2.488938
1980-08-06,2.6016060000000003
1980-08-07,2.673304
1980-08-08,2.663061
1980-08-11,2.745002
1980-08-12,2.6937889999999998
1980-08-13,2.755244
1980-08-14,2.745002
1980-08-15,2.622091
1980-08-18,2.560636
1980-08-19,2.447968
1980-08-20,2.45821
1980-08-21,2.45821
