Date,QCOM
1992-11-05,0.828125
1992-11-06,0.78125
1992-11-09,0.7929689999999999
1992-11-10,0.828125
1992-11-11,0.84375
1992-11-12,0.828125
1992-11-13,0.835938
1992-11-16,0.835938
1992-11-17,0.835938
1992-11-18,0.882813
1992-11-19,0.882813
1992-11-20,0.882813
1992-11-23,0.890625
1992-11-24,0.875
1992-11-25,0.875
1992-11-27,0.890625
1992-11-30,0.890625
1992-12-01,0.871094
1992-12-02,0.867188
1992-12-03,0.828125
1992-12-04,0.796875
1992-12-07,0.820313
1992-12-08,0.796875
1992-12-09,0.78125
1992-12-10,0.773438
1992-12-11,0.78125
1992-12-14,0.78125
1992-12-15,0.796875
1992-12-16,0.78125
1992-12-17,0.7539060000000001
1992-12-18,0.75
1992-12-21,0.773438
1992-12-22,0.84375
1992-12-23,0.851563
1992-12-24,0.84375
1992-12-28,0.851563
1992-12-29,0.835938
1992-12-30,0.789063
1992-12-31,0.757813
1993-01-04,0.757813
1993-01-05,0.789063
1993-01-06,0.8125
1993-01-07,0.726563
1993-01-08,0.7851560000000001
1993-01-11,0.7929689999999999
1993-01-12,0.78125
1993-01-13,0.90625
1993-01-14,0.992188
1993-01-15,1.0546879999999998
1993-01-18,1.0546879999999998
1993-01-19,1.0390629999999998
1993-01-20,1.019531
1993-01-21,0.976563
1993-01-22,0.921875
1993-01-25,0.984375
1993-01-26,1.0
1993-01-27,0.984375
1993-01-28,0.976563
1993-01-29,0.921875
1993-02-01,0.945313
1993-02-02,0.972656
1993-02-03,1.015625
1993-02-04,1.09375
1993-02-05,1.046875
1993-02-08,1.1328129999999998
1993-02-09,1.09375
1993-02-10,1.0390629999999998
1993-02-11,1.03125
1993-02-12,1.0390629999999998
1993-02-16,0.9375
1993-02-17,0.945313
1993-02-18,0.96875
1993-02-19,0.992188
1993-02-22,1.015625
1993-02-23,1.0078129999999998
1993-02-24,0.992188
1993-02-25,0.984375
1993-02-26,0.984375
1993-03-01,0.984375
1993-03-02,1.015625
1993-03-03,1.1171879999999998
1993-03-04,1.1796879999999998
1993-03-05,1.152344
1993-03-08,1.1796879999999998
1993-03-09,1.265625
1993-03-10,1.2890629999999998
1993-03-11,1.21875
1993-03-12,1.21875
1993-03-15,1.2734379999999998
1993-03-16,1.234375
1993-03-17,1.2578129999999998
1993-03-18,1.3671879999999998
1993-03-19,1.3515629999999998
1993-03-22,1.441406
1993-03-23,1.390625
1993-03-24,1.375
1993-03-25,1.3671879999999998
1993-03-26,1.421875
1993-03-29,1.4765629999999998
1993-03-30,1.5078129999999998
1993-03-31,1.53125
1993-04-01,1.609375
1993-04-02,1.5078129999999998
1993-04-05,1.5625
1993-04-06,1.519531
1993-04-07,1.441406
1993-04-08,1.5234379999999998
1993-04-12,1.4765629999999998
