Date,OMC
1980-03-17,1.53125
1980-03-18,1.53125
1980-03-19,1.546875
1980-03-20,1.53125
1980-03-21,1.515625
1980-03-24,1.484375
1980-03-25,1.46875
1980-03-26,1.484375
1980-03-27,1.46875
1980-03-28,1.46875
1980-03-31,1.40625
1980-04-01,1.390625
1980-04-02,1.40625
1980-04-03,1.390625
1980-04-07,1.375
1980-04-08,1.375
1980-04-09,1.390625
1980-04-10,1.421875
1980-04-11,1.4375
1980-04-14,1.421875
1980-04-15,1.421875
1980-04-16,1.421875
1980-04-17,1.421875
1980-04-18,1.46875
1980-04-21,1.421875
1980-04-22,1.46875
1980-04-23,1.46875
1980-04-24,1.46875
1980-04-25,1.453125
1980-04-28,1.46875
1980-04-29,1.515625
1980-04-30,1.515625
1980-05-01,1.515625
1980-05-02,1.515625
1980-05-05,1.515625
1980-05-06,1.515625
1980-05-07,1.5
1980-05-08,1.484375
1980-05-09,1.46875
1980-05-12,1.453125
1980-05-13,1.453125
1980-05-14,1.453125
1980-05-15,1.5
1980-05-16,1.5
1980-05-19,1.515625
1980-05-20,1.5
1980-05-21,1.53125
1980-05-22,1.53125
1980-05-23,1.546875
1980-05-27,1.546875
1980-05-28,1.609375
1980-05-29,1.578125
1980-05-30,1.578125
1980-06-02,1.578125
1980-06-03,1.5625
1980-06-04,1.5625
1980-06-05,1.5625
1980-06-06,1.5625
1980-06-09,1.5625
1980-06-10,1.59375
1980-06-11,1.625
1980-06-12,1.640625
1980-06-13,1.640625
1980-06-16,1.65625
1980-06-17,1.671875
1980-06-18,1.671875
1980-06-19,1.671875
1980-06-20,1.65625
1980-06-23,1.6875
1980-06-24,1.6875
1980-06-25,1.6875
1980-06-26,1.6875
1980-06-27,1.6875
1980-06-30,1.6875
1980-07-01,1.6875
1980-07-02,1.6875
1980-07-03,1.6875
1980-07-07,1.71875
1980-07-08,1.765625
1980-07-09,1.84375
1980-07-10,1.84375
1980-07-11,1.84375
1980-07-14,1.875
1980-07-15,1.875
1980-07-16,1.90625
1980-07-17,1.9375
1980-07-18,1.9375
1980-07-21,1.9375
1980-07-22,1.953125
1980-07-23,1.953125
1980-07-24,1.953125
1980-07-25,1.96875
1980-07-28,2.03125
1980-07-29,2.140625
1980-07-30,2.203125
1980-07-31,2.203125
1980-08-01,2.234375
1980-08-04,2.234375
1980-08-05,2.234375
1980-08-06,2.234375
1980-08-07,2.234375
1980-08-08,2.25
1980-08-11,2.296875
1980-08-12,2.28125
1980-08-13,2.1875
1980-08-14,2.15625
1980-08-15,2.171875
1980-08-18,2.0625
1980-08-19,2.046875
1980-08-20,2.046875
1980-08-21,2.0625
1980-08-22,2.09375
1980-08-25,2.09375
1980-08-26,2.0625
1980-08-27,2.03125
1980-08-28,2.015625
1980-08-29,2.015625
1980-09-02,2.046875
1980-09-03,2.046875
1980-09-04,2.078125
1980-09-05,2.078125
1980-09-08,2.09375
1980-09-09,2.125
1980-09-10,2.125
1980-09-11,2.125
1980-09-12,2.15625
1980-09-15,2.15625
1980-09-16,2.1875
1980-09-17,2.1875
1980-09-18,2.1875
1980-09-19,2.203125
1980-09-22,2.21875
1980-09-23,2.28125
1980-09-24,2.25
1980-09-25,2.25
1980-09-26,2.21875
1980-09-29,2.203125
1980-09-30,2.1875
1980-10-01,2.1875
1980-10-02,2.1875
1980-10-03,2.1875
1980-10-06,2.265625
1980-10-07,2.234375
1980-10-08,2.234375
1980-10-09,2.25
1980-10-10,2.25
1980-10-13,2.28125
1980-10-14,2.296875
1980-10-15,2.3125
1980-10-16,2.34375
1980-10-17,2.34375
1980-10-20,2.40625
1980-10-21,2.46875
1980-10-22,2.46875
1980-10-23,2.46875
1980-10-24,2.484375
1980-10-27,2.453125
1980-10-28,2.4375
1980-10-29,2.4375
1980-10-30,2.4375
1980-10-31,2.4375
1980-11-03,2.46875
1980-11-05,2.515625
1980-11-06,2.46875
1980-11-07,2.4375
1980-11-10,2.4375
1980-11-11,2.421875
1980-11-12,2.46875
1980-11-13,2.46875
1980-11-14,2.515625
1980-11-17,2.515625
1980-11-18,2.59375
1980-11-19,2.59375
1980-11-20,2.59375
1980-11-21,2.59375
1980-11-24,2.59375
1980-11-25,2.578125
1980-11-26,2.578125
1980-11-28,2.546875
1980-12-01,2.515625
1980-12-02,2.453125
1980-12-03,2.421875
1980-12-04,2.445313
1980-12-05,2.421875
1980-12-08,2.421875
1980-12-09,2.40625
1980-12-10,2.40625
1980-12-11,2.375
1980-12-12,2.375
1980-12-15,2.375
1980-12-16,2.34375
1980-12-17,2.328125
1980-12-18,2.328125
1980-12-19,2.328125
1980-12-22,2.328125
1980-12-23,2.359375
1980-12-24,2.359375
1980-12-26,2.359375
1980-12-29,2.28125
1980-12-30,2.25
1980-12-31,2.25
1981-01-02,2.25
1981-01-05,2.265625
1981-01-06,2.234375
1981-01-07,2.15625
1981-01-08,2.171875
1981-01-09,2.1875
1981-01-12,2.1875
1981-01-13,2.1875
1981-01-14,2.1875
1981-01-15,2.1875
1981-01-16,2.25
1981-01-19,2.34375
1981-01-20,2.25
1981-01-21,2.1875
1981-01-22,2.21875
1981-01-23,2.15625
1981-01-26,2.1875
1981-01-27,2.21875
1981-01-28,2.1875
1981-01-29,2.1875
1981-01-30,2.21875
1981-02-02,2.21875
1981-02-03,2.21875
1981-02-04,2.25
1981-02-05,2.25
1981-02-06,2.25
1981-02-09,2.28125
1981-02-10,2.28125
1981-02-11,2.34375
1981-02-12,2.3125
1981-02-13,2.34375
1981-02-17,2.34375
1981-02-18,2.28125
1981-02-19,2.28125
1981-02-20,2.3125
1981-02-23,2.3125
1981-02-24,2.3125
1981-02-25,2.3125
1981-02-26,2.3125
1981-02-27,2.3125
1981-03-02,2.3125
1981-03-03,2.3125
1981-03-04,2.3125
1981-03-05,2.3125
1981-03-06,2.3125
1981-03-09,2.34375
1981-03-10,2.3125
1981-03-11,2.3125
1981-03-12,2.1875
1981-03-13,2.125
1981-03-16,2.125
1981-03-17,2.09375
1981-03-18,2.09375
1981-03-19,2.09375
1981-03-20,2.125
1981-03-23,2.15625
1981-03-24,2.15625
1981-03-25,2.15625
1981-03-26,2.15625
1981-03-27,2.09375
1981-03-30,2.09375
1981-03-31,2.0625
1981-04-01,2.0625
1981-04-02,2.0
1981-04-03,2.0
1981-04-06,2.0
1981-04-07,2.0
1981-04-08,2.0
1981-04-09,2.0
1981-04-10,1.96875
1981-04-13,1.96875
1981-04-14,1.96875
1981-04-15,1.96875
1981-04-16,2.0
1981-04-20,2.0
1981-04-21,2.0
1981-04-22,2.03125
1981-04-23,2.03125
1981-04-24,2.03125
1981-04-27,2.03125
1981-04-28,1.96875
1981-04-29,1.9375
1981-04-30,1.9375
1981-05-01,1.96875
1981-05-04,1.96875
1981-05-05,1.96875
1981-05-06,1.96875
1981-05-07,1.96875
1981-05-08,1.96875
1981-05-11,1.96875
1981-05-12,1.9375
1981-05-13,1.96875
1981-05-14,2.03125
1981-05-15,2.0
1981-05-18,2.0
1981-05-19,2.0
1981-05-20,2.0
1981-05-21,2.0
1981-05-22,2.0
1981-05-26,2.03125
1981-05-27,2.03125
1981-05-28,2.03125
1981-05-29,2.03125
1981-06-01,2.03125
1981-06-02,2.0
1981-06-03,1.96875
1981-06-04,1.96875
1981-06-05,1.96875
1981-06-08,1.96875
1981-06-09,1.9375
1981-06-10,1.90625
1981-06-11,1.8125
1981-06-12,1.8125
1981-06-15,1.78125
1981-06-16,1.78125
1981-06-17,1.75
1981-06-18,1.75
1981-06-19,1.75
1981-06-22,1.8125
1981-06-23,1.8125
1981-06-24,1.8125
1981-06-25,1.84375
1981-06-26,1.84375
1981-06-29,1.84375
1981-06-30,1.84375
1981-07-01,1.84375
1981-07-02,1.84375
1981-07-06,1.78125
1981-07-07,1.78125
1981-07-08,1.78125
1981-07-09,1.78125
1981-07-10,1.84375
1981-07-13,1.84375
1981-07-14,1.875
1981-07-15,1.875
1981-07-16,1.875
1981-07-17,1.875
1981-07-20,1.875
1981-07-21,1.875
1981-07-22,1.875
1981-07-23,1.875
1981-07-24,1.875
1981-07-27,1.875
1981-07-28,1.875
1981-07-29,1.875
1981-07-30,1.90625
1981-07-31,1.90625
1981-08-03,1.90625
1981-08-04,1.90625
1981-08-05,1.90625
1981-08-06,1.90625
1981-08-07,1.875
1981-08-10,1.875
1981-08-11,1.875
1981-08-12,1.875
1981-08-13,1.90625
1981-08-14,1.90625
1981-08-17,1.90625
1981-08-18,1.90625
1981-08-19,1.90625
1981-08-20,1.90625
1981-08-21,1.90625
1981-08-24,1.90625
1981-08-25,1.90625
1981-08-26,1.875
1981-08-27,1.90625
1981-08-28,1.90625
1981-08-31,1.90625
1981-09-01,1.875
1981-09-02,1.875
1981-09-03,1.875
1981-09-04,1.84375
1981-09-08,1.84375
1981-09-09,1.84375
1981-09-10,1.84375
1981-09-11,1.84375
1981-09-14,1.875
1981-09-15,1.875
1981-09-16,1.875
1981-09-17,1.90625
1981-09-18,1.9375
1981-09-21,1.9375
1981-09-22,1.9375
1981-09-23,1.90625
1981-09-24,1.90625
1981-09-25,1.90625
1981-09-28,1.90625
1981-09-29,1.90625
1981-09-30,1.875
1981-10-01,1.84375
1981-10-02,1.84375
1981-10-05,1.84375
1981-10-06,1.84375
1981-10-07,1.84375
1981-10-08,1.875
1981-10-09,1.90625
1981-10-12,1.90625
1981-10-13,1.9375
1981-10-14,1.9375
1981-10-15,1.90625
