Date,CARR
2020-03-19,12.0
2020-03-20,12.75
2020-03-23,11.54
2020-03-24,11.7
2020-03-25,13.45
2020-03-26,15.45
2020-03-27,14.55
2020-03-30,15.9
2020-03-31,17.25
2020-04-01,15.05
2020-04-02,13.28
2020-04-03,16.92
2020-04-06,15.44
2020-04-07,15.25
2020-04-08,14.26
2020-04-09,14.78
2020-04-13,13.99
2020-04-14,13.87
2020-04-15,13.36
2020-04-16,12.89
2020-04-17,13.74
2020-04-20,14.45
2020-04-21,14.69
2020-04-22,14.79
2020-04-23,15.72
2020-04-24,16.25
2020-04-27,16.799999
2020-04-28,17.0
2020-04-29,17.639999
2020-04-30,17.709999
2020-05-01,16.77
2020-05-04,16.4
2020-05-05,15.97
2020-05-06,16.290001
2020-05-07,16.41
2020-05-08,18.360001
2020-05-11,18.35
2020-05-12,17.799999
2020-05-13,16.440001000000002
2020-05-14,16.549999
2020-05-15,16.709999
2020-05-18,17.549999
2020-05-19,17.77
2020-05-20,18.73
2020-05-21,19.450001
2020-05-22,19.049999
2020-05-26,19.51
2020-05-27,19.99
