Date,AIV
1994-07-22,18.5
1994-07-25,18.625
1994-07-26,18.5
1994-07-27,18.5
1994-07-28,18.5
1994-07-29,18.5
1994-08-01,18.5
1994-08-02,18.5
1994-08-03,18.625
1994-08-04,18.25
1994-08-05,18.25
1994-08-08,18.25
1994-08-09,18.375
1994-08-10,18.0
1994-08-11,17.875
1994-08-12,18.0
1994-08-15,18.0
1994-08-16,18.125
1994-08-17,18.0
1994-08-18,18.125
1994-08-19,18.0
1994-08-22,18.0
1994-08-23,17.875
1994-08-24,18.0
1994-08-25,18.125
1994-08-26,18.25
1994-08-29,18.25
1994-08-30,18.5
1994-08-31,18.375
1994-09-01,18.25
1994-09-02,18.25
1994-09-06,18.0
1994-09-07,18.0
1994-09-08,18.125
1994-09-09,18.25
1994-09-12,18.0
1994-09-13,18.125
1994-09-14,17.75
1994-09-15,18.0
1994-09-16,17.75
1994-09-19,17.75
1994-09-20,17.375
1994-09-21,17.125
1994-09-22,17.625
1994-09-23,17.5
1994-09-26,17.75
1994-09-27,17.625
1994-09-28,17.5
1994-09-29,17.625
1994-09-30,17.375
1994-10-03,17.125
1994-10-04,16.75
1994-10-05,17.125
1994-10-06,17.25
1994-10-07,17.375
1994-10-10,17.625
1994-10-11,17.875
1994-10-12,17.875
1994-10-13,17.875
1994-10-14,17.75
1994-10-17,17.875
1994-10-18,17.75
1994-10-19,18.0
1994-10-20,18.0
1994-10-21,18.0
1994-10-24,17.75
1994-10-25,17.875
1994-10-26,17.75
1994-10-27,18.0
1994-10-28,18.0
1994-10-31,18.25
1994-11-01,18.0
1994-11-02,18.125
1994-11-03,18.125
1994-11-04,18.0
1994-11-07,17.875
1994-11-08,17.625
1994-11-09,17.5
1994-11-10,17.625
1994-11-11,17.5
1994-11-14,17.5
1994-11-15,17.75
1994-11-16,17.625
1994-11-17,17.75
1994-11-18,17.75
1994-11-21,17.875
1994-11-22,17.25
1994-11-23,17.375
1994-11-25,17.25
1994-11-28,17.125
1994-11-29,16.625
1994-11-30,16.875
1994-12-01,17.0
1994-12-02,17.0
1994-12-05,16.875
1994-12-06,16.5
1994-12-07,16.5
1994-12-08,16.5
1994-12-09,16.5
1994-12-12,16.5
1994-12-13,16.625
1994-12-14,17.0
1994-12-15,17.25
1994-12-16,17.25
1994-12-19,17.25
1994-12-20,17.375
1994-12-21,17.25
1994-12-22,17.25
1994-12-23,17.375
1994-12-27,17.5
1994-12-28,17.25
1994-12-29,17.125
1994-12-30,17.25
1995-01-03,17.375
1995-01-04,17.25
1995-01-05,17.375
1995-01-06,17.25
1995-01-09,17.375
1995-01-10,17.625
1995-01-11,17.5
1995-01-12,17.375
1995-01-13,17.25
1995-01-16,17.5
1995-01-17,17.375
1995-01-18,17.375
1995-01-19,17.5
1995-01-20,17.375
1995-01-23,17.125
1995-01-24,17.25
1995-01-25,17.25
1995-01-26,17.25
1995-01-27,17.5
1995-01-30,17.875
1995-01-31,17.875
1995-02-01,17.625
1995-02-02,17.625
1995-02-03,17.75
1995-02-06,17.75
1995-02-07,18.125
1995-02-08,18.375
1995-02-09,18.25
1995-02-10,18.0
1995-02-13,17.875
1995-02-14,18.125
1995-02-15,18.0
1995-02-16,17.75
1995-02-17,17.875
1995-02-21,17.75
1995-02-22,17.875
1995-02-23,17.875
1995-02-24,18.125
1995-02-27,18.0
1995-02-28,18.0
1995-03-01,18.125
1995-03-02,18.0
1995-03-03,18.0
1995-03-06,18.125
1995-03-07,18.0
1995-03-08,17.875
1995-03-09,18.0
1995-03-10,18.0
1995-03-13,18.125
1995-03-14,18.25
1995-03-15,18.25
1995-03-16,18.25
1995-03-17,18.375
1995-03-20,18.375
1995-03-21,18.25
1995-03-22,18.125
1995-03-23,18.25
