Date,MTD
1997-11-14,14.875
1997-11-17,15.25
1997-11-18,15.0
1997-11-19,15.625
1997-11-20,16.375
1997-11-21,17.125
1997-11-24,17.0
1997-11-25,17.75
1997-11-26,17.9375
1997-11-28,17.875
1997-12-01,17.8125
1997-12-02,17.8125
1997-12-03,17.875
1997-12-04,17.6875
1997-12-05,18.125
1997-12-08,18.125
1997-12-09,18.5
1997-12-10,18.0625
1997-12-11,18.0625
1997-12-12,17.75
1997-12-15,18.125
1997-12-16,18.0625
1997-12-17,18.25
1997-12-18,18.4375
1997-12-19,18.25
1997-12-22,18.125
1997-12-23,17.625
1997-12-24,17.5625
1997-12-26,17.5625
1997-12-29,17.5
1997-12-30,17.25
1997-12-31,17.25
1998-01-02,17.0
1998-01-05,16.75
1998-01-06,16.6875
1998-01-07,16.5625
1998-01-08,17.25
1998-01-09,16.875
1998-01-12,17.0
1998-01-13,18.75
1998-01-14,18.25
1998-01-15,18.0
1998-01-16,17.75
1998-01-20,18.0
1998-01-21,18.125
1998-01-22,17.75
1998-01-23,18.125
1998-01-26,17.875
1998-01-27,17.625
1998-01-28,17.75
1998-01-29,17.625
1998-01-30,17.875
1998-02-02,19.0
1998-02-03,18.8125
1998-02-04,19.0
1998-02-05,19.0
1998-02-06,19.375
1998-02-09,19.25
1998-02-10,20.125
1998-02-11,20.0
1998-02-12,19.9375
1998-02-13,20.0625
1998-02-17,20.5625
1998-02-18,20.1875
1998-02-19,20.125
1998-02-20,19.875
1998-02-23,20.0
1998-02-24,19.5
1998-02-25,19.5
1998-02-26,19.375
1998-02-27,19.5
1998-03-02,20.125
1998-03-03,20.125
1998-03-04,20.25
1998-03-05,20.4375
1998-03-06,20.375
1998-03-09,21.375
1998-03-10,21.75
1998-03-11,22.375
1998-03-12,22.25
1998-03-13,22.125
1998-03-16,21.75
1998-03-17,21.5
1998-03-18,21.875
1998-03-19,21.875
1998-03-20,21.5
1998-03-23,21.375
1998-03-24,21.0
1998-03-25,20.8125
1998-03-26,20.875
1998-03-27,21.125
1998-03-30,21.6875
1998-03-31,22.1875
1998-04-01,22.125
1998-04-02,22.0
1998-04-03,21.5
1998-04-06,21.5
1998-04-07,21.75
1998-04-08,21.5
1998-04-09,21.375
1998-04-13,21.5
1998-04-14,21.625
1998-04-15,21.625
1998-04-16,21.4375
1998-04-17,21.875
1998-04-20,21.625
1998-04-21,21.9375
