Date,TFX
1980-03-17,1.527778
1980-03-18,1.527778
1980-03-19,1.534722
1980-03-20,1.527778
1980-03-21,1.284722
1980-03-24,1.222222
1980-03-25,1.173611
1980-03-26,1.152778
1980-03-27,1.111111
1980-03-28,1.229167
1980-03-31,1.368056
1980-04-01,1.395833
1980-04-02,1.423611
1980-04-03,1.402778
1980-04-07,1.319444
1980-04-08,1.361111
1980-04-09,1.381944
1980-04-10,1.375
1980-04-11,1.354167
1980-04-14,1.326389
1980-04-15,1.319444
1980-04-16,1.298611
1980-04-17,1.256944
1980-04-18,1.243056
1980-04-21,1.166667
1980-04-22,1.277778
1980-04-23,1.25
1980-04-24,1.3125
1980-04-25,1.277778
1980-04-28,1.3125
1980-04-29,1.347222
1980-04-30,1.361111
1980-05-01,1.340278
1980-05-02,1.326389
1980-05-05,1.298611
1980-05-06,1.284722
1980-05-07,1.284722
1980-05-08,1.236111
1980-05-09,1.236111
1980-05-12,1.222222
1980-05-13,1.243056
1980-05-14,1.256944
1980-05-15,1.236111
1980-05-16,1.243056
1980-05-19,1.201389
1980-05-20,1.215278
1980-05-21,1.229167
1980-05-22,1.277778
1980-05-23,1.277778
1980-05-27,1.361111
1980-05-28,1.458333
1980-05-29,1.430556
1980-05-30,1.416667
1980-06-02,1.381944
1980-06-03,1.368056
1980-06-04,1.388889
1980-06-05,1.402778
1980-06-06,1.416667
1980-06-09,1.402778
1980-06-10,1.395833
1980-06-11,1.409722
1980-06-12,1.409722
1980-06-13,1.416667
1980-06-16,1.430556
1980-06-17,1.395833
1980-06-18,1.381944
1980-06-19,1.375
1980-06-20,1.354167
1980-06-23,1.354167
1980-06-24,1.354167
1980-06-25,1.381944
1980-06-26,1.347222
1980-06-27,1.375
1980-06-30,1.368056
1980-07-01,1.375
1980-07-02,1.361111
1980-07-03,1.402778
1980-07-07,1.409722
1980-07-08,1.395833
1980-07-09,1.388889
1980-07-10,1.361111
1980-07-11,1.368056
1980-07-14,1.493056
1980-07-15,1.576389
1980-07-16,1.611111
1980-07-17,1.625
1980-07-18,1.590278
1980-07-21,1.638889
1980-07-22,1.6527779999999999
1980-07-23,1.673611
1980-07-24,1.6805560000000002
1980-07-25,1.666667
1980-07-28,1.673611
1980-07-29,1.7847220000000001
1980-07-30,1.888889
1980-07-31,1.8402779999999999
1980-08-01,1.875
1980-08-04,1.826389
1980-08-05,1.798611
1980-08-06,1.833333
1980-08-07,1.9027779999999999
1980-08-08,1.9375
1980-08-11,1.9652779999999999
1980-08-12,1.9097220000000001
1980-08-13,1.9097220000000001
1980-08-14,1.895833
1980-08-15,1.861111
1980-08-18,1.826389
1980-08-19,1.791667
1980-08-20,1.8125
1980-08-21,1.9097220000000001
1980-08-22,1.986111
1980-08-25,1.9722220000000001
1980-08-26,1.9444439999999998
1980-08-27,1.9444439999999998
1980-08-28,1.9027779999999999
1980-08-29,1.9097220000000001
1980-09-02,1.9027779999999999
1980-09-03,1.9305560000000002
1980-09-04,1.9097220000000001
1980-09-05,1.9097220000000001
1980-09-08,1.888889
1980-09-09,1.9097220000000001
1980-09-10,1.9375
1980-09-11,1.958333
1980-09-12,2.055556
1980-09-15,2.069444
1980-09-16,2.215278
1980-09-17,2.416667
1980-09-18,2.381944
1980-09-19,2.381944
1980-09-22,2.381944
1980-09-23,2.3125
1980-09-24,2.166667
1980-09-25,2.194444
1980-09-26,2.104167
1980-09-29,2.027778
1980-09-30,2.166667
1980-10-01,2.194444
1980-10-02,2.256944
1980-10-03,2.222222
1980-10-06,2.270833
1980-10-07,2.298611
1980-10-08,2.270833
1980-10-09,2.236111
1980-10-10,2.222222
1980-10-13,2.229167
1980-10-14,2.215278
1980-10-15,2.284722
1980-10-16,2.305556
1980-10-17,2.291667
1980-10-20,2.333333
1980-10-21,2.368056
1980-10-22,2.333333
1980-10-23,2.333333
1980-10-24,2.368056
1980-10-27,2.451389
1980-10-28,2.388889
1980-10-29,2.402778
1980-10-30,2.423611
1980-10-31,2.4375
1980-11-03,2.458333
1980-11-05,2.465278
1980-11-06,2.402778
1980-11-07,2.388889
1980-11-10,2.388889
1980-11-11,2.479167
1980-11-12,2.458333
1980-11-13,2.4375
1980-11-14,2.458333
1980-11-17,2.479167
1980-11-18,2.631944
1980-11-19,2.604167
1980-11-20,2.590278
1980-11-21,2.597222
1980-11-24,2.652778
1980-11-25,2.625
1980-11-26,2.701389
1980-11-28,2.736111
1980-12-01,2.784722
1980-12-02,2.777778
1980-12-03,2.8125
1980-12-04,2.805556
1980-12-05,2.763889
1980-12-08,2.659722
1980-12-09,2.472222
1980-12-10,2.451389
1980-12-11,2.291667
1980-12-12,2.402778
1980-12-15,2.423611
1980-12-16,2.472222
1980-12-17,2.555556
1980-12-18,2.638889
1980-12-19,2.638889
1980-12-22,2.611111
1980-12-23,2.583333
1980-12-24,2.527778
1980-12-26,2.444444
1980-12-29,2.416667
1980-12-30,2.375
1980-12-31,2.458333
1981-01-02,2.472222
1981-01-05,2.638889
1981-01-06,2.722222
1981-01-07,2.458333
1981-01-08,2.416667
1981-01-09,2.388889
1981-01-12,2.416667
1981-01-13,2.430556
1981-01-14,2.375
1981-01-15,2.388889
1981-01-16,2.388889
1981-01-19,2.402778
1981-01-20,2.319444
1981-01-21,2.305556
1981-01-22,2.333333
1981-01-23,2.458333
1981-01-26,2.5
1981-01-27,2.569444
1981-01-28,2.513889
1981-01-29,2.583333
1981-01-30,2.513889
1981-02-02,2.430556
1981-02-03,2.333333
1981-02-04,2.319444
1981-02-05,2.319444
1981-02-06,2.291667
1981-02-09,2.458333
1981-02-10,2.5
1981-02-11,2.5
1981-02-12,2.361111
1981-02-13,2.388889
1981-02-17,2.375
1981-02-18,2.375
1981-02-19,2.375
1981-02-20,2.416667
1981-02-23,2.513889
1981-02-24,2.444444
1981-02-25,2.458333
1981-02-26,2.388889
1981-02-27,2.458333
1981-03-02,2.416667
1981-03-03,2.416667
1981-03-04,2.430556
1981-03-05,2.777778
1981-03-06,2.736111
1981-03-09,2.847222
1981-03-10,2.916667
1981-03-11,2.847222
1981-03-12,2.944444
1981-03-13,3.041667
1981-03-16,3.0
1981-03-17,3.013889
1981-03-18,3.055556
1981-03-19,3.208333
1981-03-20,3.388889
1981-03-23,3.5694440000000003
1981-03-24,3.458333
1981-03-25,3.5555559999999997
1981-03-26,3.583333
1981-03-27,3.388889
1981-03-30,3.3194440000000003
1981-03-31,3.416667
1981-04-01,3.333333
1981-04-02,3.375
1981-04-03,3.291667
1981-04-06,3.263889
1981-04-07,3.222222
1981-04-08,3.361111
1981-04-09,3.361111
