Date,BBY
1985-04-18,0.166667
1985-04-19,0.16821
1985-04-22,0.166667
1985-04-23,0.16358
1985-04-24,0.16358
1985-04-25,0.155864
1985-04-26,0.152778
1985-04-29,0.148148
1985-04-30,0.148148
1985-05-01,0.140432
1985-05-02,0.138889
1985-05-03,0.143519
1985-05-06,0.14660499999999999
1985-05-07,0.148148
1985-05-08,0.148148
1985-05-09,0.155864
1985-05-10,0.160494
1985-05-13,0.162037
1985-05-14,0.162037
1985-05-15,0.162037
1985-05-16,0.166667
1985-05-17,0.17901199999999998
1985-05-20,0.175926
1985-05-21,0.16821
1985-05-22,0.171296
1985-05-23,0.16821
1985-05-24,0.16821
1985-05-28,0.171296
1985-05-29,0.171296
1985-05-30,0.171296
1985-05-31,0.17901199999999998
1985-06-03,0.180556
1985-06-04,0.180556
1985-06-05,0.180556
1985-06-06,0.183642
1985-06-07,0.188272
1985-06-10,0.188272
1985-06-11,0.189815
1985-06-12,0.188272
1985-06-13,0.171296
1985-06-14,0.175926
1985-06-17,0.171296
1985-06-18,0.171296
1985-06-19,0.171296
1985-06-20,0.171296
1985-06-21,0.160494
1985-06-24,0.155864
1985-06-25,0.166667
1985-06-26,0.16358
1985-06-27,0.160494
1985-06-28,0.155864
1985-07-01,0.155864
1985-07-02,0.155864
1985-07-03,0.160494
1985-07-05,0.160494
1985-07-08,0.16358
1985-07-09,0.16358
1985-07-10,0.160494
1985-07-11,0.175926
1985-07-12,0.180556
1985-07-15,0.17901199999999998
1985-07-16,0.188272
1985-07-17,0.194444
1985-07-18,0.188272
1985-07-19,0.180556
1985-07-22,0.180556
1985-07-23,0.17901199999999998
1985-07-24,0.17901199999999998
1985-07-25,0.17901199999999998
1985-07-26,0.17901199999999998
1985-07-29,0.17901199999999998
1985-07-30,0.17901199999999998
1985-07-31,0.180556
1985-08-01,0.183642
1985-08-02,0.183642
1985-08-05,0.180556
1985-08-06,0.17901199999999998
1985-08-07,0.175926
1985-08-08,0.17901199999999998
1985-08-09,0.180556
1985-08-12,0.180556
1985-08-13,0.180556
1985-08-14,0.188272
1985-08-15,0.191358
1985-08-16,0.183642
1985-08-19,0.183642
1985-08-20,0.188272
1985-08-21,0.188272
