Date,ALL
1993-06-03,14.6875
1993-06-04,14.3125
1993-06-07,14.0625
1993-06-08,13.875
1993-06-09,14.125
1993-06-10,14.0
1993-06-11,14.0
1993-06-14,13.875
1993-06-15,13.9375
1993-06-16,14.0
1993-06-17,14.0
1993-06-18,13.8125
1993-06-21,13.6875
1993-06-22,13.875
1993-06-23,13.8125
1993-06-24,14.0625
1993-06-25,14.25
1993-06-28,14.5
1993-06-29,14.375
1993-06-30,14.5
1993-07-01,14.75
1993-07-02,14.375
1993-07-06,14.3125
1993-07-07,14.25
1993-07-08,14.4375
1993-07-09,14.25
1993-07-12,14.125
1993-07-13,14.3125
1993-07-14,14.625
1993-07-15,14.6875
1993-07-16,14.9375
1993-07-19,15.1875
1993-07-20,15.3125
1993-07-21,14.9375
1993-07-22,14.8125
1993-07-23,14.9375
1993-07-26,15.25
1993-07-27,15.25
1993-07-28,15.1875
1993-07-29,15.25
1993-07-30,15.5625
1993-08-02,15.5
1993-08-03,15.6875
1993-08-04,15.625
1993-08-05,15.25
1993-08-06,15.5
1993-08-09,15.5
1993-08-10,15.3125
1993-08-11,15.25
1993-08-12,15.125
1993-08-13,15.0
1993-08-16,14.875
1993-08-17,15.0
1993-08-18,15.1875
1993-08-19,15.625
1993-08-20,16.0
1993-08-23,16.0
1993-08-24,15.9375
1993-08-25,15.875
1993-08-26,16.0
1993-08-27,16.0
1993-08-30,15.625
1993-08-31,15.5
1993-09-01,15.9375
1993-09-02,15.8125
1993-09-03,15.9375
1993-09-07,16.125
1993-09-08,15.875
1993-09-09,15.9375
1993-09-10,16.0625
1993-09-13,16.0
1993-09-14,16.375
1993-09-15,16.0625
1993-09-16,16.125
1993-09-17,16.125
1993-09-20,16.0
1993-09-21,15.875
1993-09-22,16.0
1993-09-23,16.1875
1993-09-24,16.0625
1993-09-27,16.5
1993-09-28,16.625
1993-09-29,16.25
1993-09-30,15.875
1993-10-01,16.1875
1993-10-04,16.1875
1993-10-05,16.5625
1993-10-06,16.5
1993-10-07,16.4375
1993-10-08,16.5
1993-10-11,16.625
1993-10-12,16.625
1993-10-13,16.6875
1993-10-14,17.0
1993-10-15,16.8125
1993-10-18,16.8125
1993-10-19,16.5
1993-10-20,16.25
1993-10-21,16.5
1993-10-22,16.5625
1993-10-25,16.125
1993-10-26,16.125
1993-10-27,15.75
1993-10-28,15.75
1993-10-29,15.6875
1993-11-01,16.0
1993-11-02,15.625
1993-11-03,15.1875
1993-11-04,15.125
1993-11-05,15.0
1993-11-08,15.125
1993-11-09,15.25
1993-11-10,15.0
1993-11-11,14.8125
1993-11-12,14.8125
1993-11-15,14.6875
1993-11-16,14.625
1993-11-17,14.5625
1993-11-18,14.625
1993-11-19,14.3125
1993-11-22,14.125
1993-11-23,14.375
1993-11-24,14.8125
1993-11-26,14.875
1993-11-29,14.875
1993-11-30,14.75
1993-12-01,14.8125
1993-12-02,14.8125
1993-12-03,14.5
1993-12-06,14.375
1993-12-07,14.125
1993-12-08,14.5625
1993-12-09,14.5
1993-12-10,14.3125
1993-12-13,14.25
1993-12-14,14.3125
1993-12-15,14.3125
1993-12-16,14.4375
1993-12-17,14.6875
1993-12-20,14.8125
1993-12-21,14.9375
1993-12-22,14.75
1993-12-23,14.875
1993-12-27,14.6875
1993-12-28,14.75
1993-12-29,15.0
1993-12-30,14.875
1993-12-31,14.75
1994-01-03,14.8125
1994-01-04,14.625
1994-01-05,14.5625
1994-01-06,14.375
1994-01-07,14.3125
1994-01-10,14.375
1994-01-11,14.1875
1994-01-12,14.3125
1994-01-13,14.4375
1994-01-14,14.8125
1994-01-17,14.3125
1994-01-18,14.375
1994-01-19,14.375
1994-01-20,14.3125
1994-01-21,14.4375
1994-01-24,14.5
1994-01-25,14.375
1994-01-26,14.375
1994-01-27,14.4375
1994-01-28,14.25
1994-01-31,14.25
1994-02-01,14.25
1994-02-02,14.0
1994-02-03,13.9375
1994-02-04,13.5625
1994-02-07,13.625
1994-02-08,13.875
1994-02-09,13.75
1994-02-10,13.25
1994-02-11,13.3125
1994-02-14,13.375
