Date,ICE
2005-11-16,7.85
2005-11-17,7.05
2005-11-18,7.0
2005-11-21,7.18
2005-11-22,6.99
2005-11-23,6.79
2005-11-25,6.83
2005-11-28,6.66
2005-11-29,6.394
2005-11-30,6.46
2005-12-01,7.0
2005-12-02,7.22
2005-12-05,7.362
2005-12-06,7.316
2005-12-07,7.09
2005-12-08,7.2
2005-12-09,7.24
2005-12-12,7.29
2005-12-13,7.118
2005-12-14,7.0
2005-12-15,6.8
2005-12-16,6.838
2005-12-19,6.874
2005-12-20,6.988
2005-12-21,6.958
2005-12-22,6.94
2005-12-23,6.85
2005-12-27,7.05
2005-12-28,7.016
2005-12-29,7.228
2005-12-30,7.27
2006-01-03,7.572
2006-01-04,7.38
2006-01-05,7.862
2006-01-06,8.064
2006-01-09,8.722
2006-01-10,9.202
2006-01-11,9.384
2006-01-12,8.792
2006-01-13,8.91
2006-01-17,9.276
2006-01-18,9.156
2006-01-19,9.49
2006-01-20,9.26
2006-01-23,9.554
2006-01-24,10.556
2006-01-25,10.6
2006-01-26,10.49
2006-01-27,10.202
2006-01-30,9.824
2006-01-31,10.164
2006-02-01,11.126
2006-02-02,11.04
2006-02-03,11.102
2006-02-06,11.142
2006-02-07,10.69
2006-02-08,10.696
2006-02-09,10.598
2006-02-10,10.346
2006-02-13,10.548
2006-02-14,10.396
2006-02-15,10.396
2006-02-16,10.314
2006-02-17,10.272
2006-02-21,9.928
2006-02-22,9.846
2006-02-23,9.98
2006-02-24,10.9
2006-02-27,11.37
2006-02-28,10.95
2006-03-01,11.352
2006-03-02,11.872
2006-03-03,12.12
2006-03-06,12.262
2006-03-07,12.0
2006-03-08,11.838
2006-03-09,12.798
2006-03-10,13.428
2006-03-13,14.256
2006-03-14,13.724
2006-03-15,13.858
2006-03-16,13.358
2006-03-17,13.62
2006-03-20,14.234
2006-03-21,14.05
2006-03-22,13.598
2006-03-23,13.41
2006-03-24,13.44
2006-03-27,13.97
2006-03-28,13.72
2006-03-29,13.55
2006-03-30,14.264
2006-03-31,13.81
2006-04-03,12.62
2006-04-04,13.0
2006-04-05,12.566
2006-04-06,11.96
2006-04-07,10.6
2006-04-10,10.912
2006-04-11,11.322
2006-04-12,11.528
2006-04-13,11.75
2006-04-17,11.574
2006-04-18,13.232
2006-04-19,13.856
2006-04-20,14.0
2006-04-21,13.8
2006-04-24,13.45
2006-04-25,13.962
2006-04-26,14.062
2006-04-27,14.32
2006-04-28,14.262
2006-05-01,13.392
2006-05-02,13.54
2006-05-03,14.028
2006-05-04,13.802
2006-05-05,14.842
2006-05-08,15.77
2006-05-09,15.442
2006-05-10,15.562
2006-05-11,15.834
2006-05-12,15.116
2006-05-15,15.282
2006-05-16,15.156
2006-05-17,14.0
2006-05-18,13.588
2006-05-19,14.004
2006-05-22,11.926
2006-05-23,11.788
2006-05-24,10.862
2006-05-25,11.2
2006-05-26,11.488
2006-05-30,10.628
2006-05-31,11.14
2006-06-01,11.148
2006-06-02,10.954
2006-06-05,10.316
2006-06-06,10.072
2006-06-07,10.138
2006-06-08,9.994
2006-06-09,10.168
2006-06-12,9.8
