Date,LHX
1981-12-31,9.713725
1982-01-04,9.50705
1982-01-05,9.27085
1982-01-06,9.0937
1982-01-07,9.15275
1982-01-08,8.9756
1982-01-11,8.473675
1982-01-12,8.709875
1982-01-13,8.591775
1982-01-14,8.56225
1982-01-15,8.56225
1982-01-18,8.56225
1982-01-19,8.44415
1982-01-20,8.08985
1982-01-21,7.587925
1982-01-22,7.4403
1982-01-25,7.26315
1982-01-26,7.3222
1982-01-27,7.646975
1982-01-28,8.32605
1982-01-29,8.3851
1982-02-01,7.9127
1982-02-02,8.08985
1982-02-03,7.97175
1982-02-04,7.942225
1982-02-05,8.119375
1982-02-08,7.97175
1982-02-09,7.9127
1982-02-10,8.001275
1982-02-11,8.0308
1982-02-12,8.060325
1982-02-16,7.942225
1982-02-17,8.060325
1982-02-18,8.060325
1982-02-19,7.85365
1982-02-22,7.7946
1982-02-23,7.883175
1982-02-24,7.7946
1982-02-25,7.765075
1982-02-26,7.6765
1982-03-01,7.292675
1982-03-02,6.8498
1982-03-03,6.6136
1982-03-04,6.67265
1982-03-05,6.79075
1982-03-08,6.67265
1982-03-09,6.9679
1982-03-10,6.879325
1982-03-11,6.820275
1982-03-12,6.761225
1982-03-15,6.90885
1982-03-16,6.9679
1982-03-17,6.90885
1982-03-18,6.9679
1982-03-19,7.02695
1982-03-22,7.056475
1982-03-23,7.086
1982-03-24,7.115525
1982-03-25,7.056475
1982-03-26,7.02695
1982-03-29,6.938375
1982-03-30,6.938375
1982-03-31,6.820275
1982-04-01,7.02695
1982-04-02,7.086
1982-04-05,6.9679
1982-04-06,6.938375
1982-04-07,7.056475
1982-04-08,7.02695
1982-04-12,7.174575
1982-04-13,7.49935
1982-04-14,7.292675
1982-04-15,7.528875
1982-04-16,7.6765
1982-04-19,7.646975
1982-04-20,7.587925
1982-04-21,7.469825
1982-04-22,7.469825
1982-04-23,7.49935
1982-04-26,7.61745
1982-04-27,7.49935
1982-04-28,7.4403
1982-04-29,7.14505
1982-04-30,7.115525
1982-05-03,7.2041
1982-05-04,7.2041
1982-05-05,7.115525
1982-05-06,7.292675
1982-05-07,7.410775
1982-05-10,7.351725
1982-05-11,7.351725
1982-05-12,7.115525
1982-05-13,6.9679
1982-05-14,6.90885
1982-05-17,6.702175
1982-05-18,6.4955
1982-05-19,6.3774
1982-05-20,6.2593
1982-05-21,6.31835
1982-05-24,6.2593
1982-05-25,6.347875
1982-05-26,6.170725
1982-05-27,6.111675
1982-05-28,6.08215
1982-06-01,6.052625
1982-06-02,6.052625
1982-06-03,5.934525
1982-06-04,5.84595
1982-06-07,5.905
1982-06-08,5.905
1982-06-09,5.5507
1982-06-10,5.60975
1982-06-11,5.698325
1982-06-14,5.49165
1982-06-15,5.37355
1982-06-16,5.1964
1982-06-17,5.166875
1982-06-18,4.90115
1982-06-21,5.13735
1982-06-22,5.4326
1982-06-23,5.60975
1982-06-24,5.698325
1982-06-25,5.60975
1982-06-28,5.60975
1982-06-29,5.72785
1982-06-30,5.816425
1982-07-01,5.7869
1982-07-02,5.6688
1982-07-06,5.757375
1982-07-07,5.580225
1982-07-08,5.639275
1982-07-09,5.6688
1982-07-12,6.0231
1982-07-13,5.934525
1982-07-14,6.0231
1982-07-15,5.993575
1982-07-16,6.08215
1982-07-19,6.08215
1982-07-20,6.2593
1982-07-21,6.288825
1982-07-22,6.2593
1982-07-23,6.31835
1982-07-26,6.2593
1982-07-27,6.288825
1982-07-28,6.2593
1982-07-29,6.2593
1982-07-30,6.229775
1982-08-02,6.288825
1982-08-03,6.288825
1982-08-04,6.170725
1982-08-05,6.0231
1982-08-06,5.875475
1982-08-09,5.7869
1982-08-10,5.84595
1982-08-11,5.7869
1982-08-12,5.7869
1982-08-13,5.60975
1982-08-16,5.757375
1982-08-17,5.84595
1982-08-18,5.60975
1982-08-19,5.60975
1982-08-20,5.5507
1982-08-23,5.5507
1982-08-24,5.96405
1982-08-25,6.406925
1982-08-26,6.0231
1982-08-27,6.229775
1982-08-30,6.43645
1982-08-31,6.55455
1982-09-01,6.6136
1982-09-02,6.9679
1982-09-03,7.351725
1982-09-07,7.26315
1982-09-08,7.351725
1982-09-09,7.2041
1982-09-10,7.086
1982-09-13,7.086
1982-09-14,7.351725
1982-09-15,7.4403
1982-09-16,7.765075
1982-09-17,7.528875
1982-09-20,7.528875
1982-09-21,8.08985
1982-09-22,8.267
