Date,WAB
1995-06-16,7.5
1995-06-19,7.1875
1995-06-20,7.1875
1995-06-21,7.0625
1995-06-22,7.3125
1995-06-23,7.3125
1995-06-26,7.0625
1995-06-27,7.0
1995-06-28,7.0
1995-06-29,7.0
1995-06-30,7.125
1995-07-03,7.0625
1995-07-05,7.0625
1995-07-06,7.0625
1995-07-07,7.5625
1995-07-10,7.75
1995-07-11,8.5
1995-07-12,9.0
1995-07-13,8.9375
1995-07-14,8.9375
1995-07-17,9.4375
1995-07-18,9.0625
1995-07-19,8.875
1995-07-20,8.6875
1995-07-21,8.6875
1995-07-24,8.5625
1995-07-25,8.75
1995-07-26,9.125
1995-07-27,9.3125
1995-07-28,9.3125
1995-07-31,9.25
1995-08-01,9.0625
1995-08-02,8.875
1995-08-03,8.75
1995-08-04,8.625
1995-08-07,8.6875
1995-08-08,8.5625
1995-08-09,8.1875
1995-08-10,8.125
1995-08-11,8.125
1995-08-14,8.0
1995-08-15,8.0
1995-08-16,8.1875
1995-08-17,8.25
1995-08-18,8.25
1995-08-21,8.375
1995-08-22,8.4375
1995-08-23,8.5625
1995-08-24,8.75
1995-08-25,8.5625
1995-08-28,8.4375
1995-08-29,8.1875
1995-08-30,8.1875
1995-08-31,8.125
1995-09-01,8.0625
1995-09-05,8.0
1995-09-06,7.8125
1995-09-07,7.75
1995-09-08,7.9375
1995-09-11,7.875
1995-09-12,8.0
1995-09-13,7.8125
1995-09-14,7.8125
1995-09-15,7.75
1995-09-18,7.5
1995-09-19,7.5
1995-09-20,7.25
1995-09-21,7.375
1995-09-22,7.375
1995-09-25,7.3125
1995-09-26,7.3125
1995-09-27,7.0625
1995-09-28,7.1875
1995-09-29,7.1875
1995-10-02,7.125
1995-10-03,6.75
1995-10-04,6.5625
1995-10-05,7.375
1995-10-06,7.5625
1995-10-09,7.3125
1995-10-10,7.3125
1995-10-11,7.3125
1995-10-12,7.375
1995-10-13,7.5
1995-10-16,7.4375
1995-10-17,7.3125
1995-10-18,6.75
1995-10-19,6.75
1995-10-20,6.5
1995-10-23,6.3125
1995-10-24,6.25
1995-10-25,6.375
1995-10-26,6.1875
1995-10-27,6.0
1995-10-30,5.125
1995-10-31,4.375
1995-11-01,4.5
1995-11-02,4.6875
1995-11-03,5.125
1995-11-06,4.875
1995-11-07,4.875
1995-11-08,4.9375
1995-11-09,4.75
1995-11-10,4.5625
1995-11-13,4.4375
1995-11-14,4.5
1995-11-15,4.5
1995-11-16,4.5625
1995-11-17,4.4375
1995-11-20,4.5625
1995-11-21,4.625
1995-11-22,4.5625
1995-11-24,4.5625
1995-11-27,4.5
1995-11-28,4.5625
1995-11-29,4.625
1995-11-30,4.625
1995-12-01,4.6875
1995-12-04,4.6875
1995-12-05,4.4375
1995-12-06,4.3125
1995-12-07,4.5
1995-12-08,4.4375
1995-12-11,4.375
1995-12-12,4.4375
1995-12-13,4.375
1995-12-14,4.375
1995-12-15,4.375
1995-12-18,4.5
1995-12-19,4.8125
1995-12-20,4.75
1995-12-21,4.6875
1995-12-22,4.6875
1995-12-26,4.6875
1995-12-27,5.125
1995-12-28,5.25
1995-12-29,5.3125
1996-01-02,5.1875
1996-01-03,5.0
1996-01-04,5.0
1996-01-05,5.0
1996-01-08,4.9375
1996-01-09,4.8125
1996-01-10,4.6875
1996-01-11,4.75
1996-01-12,4.6875
1996-01-15,4.75
1996-01-16,4.625
1996-01-17,4.625
1996-01-18,4.5625
1996-01-19,4.5625
1996-01-22,4.625
1996-01-23,4.6875
1996-01-24,4.625
1996-01-25,4.5625
1996-01-26,4.5625
1996-01-29,4.625
1996-01-30,4.75
1996-01-31,4.625
1996-02-01,4.625
1996-02-02,4.625
1996-02-05,4.5625
1996-02-06,4.625
1996-02-07,4.875
1996-02-08,4.9375
1996-02-09,4.875
1996-02-12,5.0625
1996-02-13,5.25
1996-02-14,5.3125
1996-02-15,5.25
1996-02-16,5.5625
1996-02-20,5.625
1996-02-21,5.625
1996-02-22,5.875
1996-02-23,5.9375
1996-02-26,5.75
1996-02-27,5.75
1996-02-28,5.6875
1996-02-29,5.75
1996-03-01,5.75
1996-03-04,5.8125
1996-03-05,5.8125
1996-03-06,5.5625
1996-03-07,5.5
1996-03-08,5.1875
1996-03-11,5.3125
1996-03-12,5.3125
1996-03-13,5.4375
1996-03-14,5.375
1996-03-15,5.25
1996-03-18,5.5
1996-03-19,5.3125
1996-03-20,5.3125
1996-03-21,5.3125
1996-03-22,5.4375
1996-03-25,5.375
1996-03-26,5.4375
1996-03-27,5.5
1996-03-28,5.4375
1996-03-29,5.375
1996-04-01,5.375
1996-04-02,5.4375
1996-04-03,5.4375
1996-04-04,5.375
1996-04-08,5.375
1996-04-09,5.4375
1996-04-10,5.375
1996-04-11,5.5625
1996-04-12,5.8125
1996-04-15,5.75
1996-04-16,5.875
1996-04-17,5.75
1996-04-18,5.875
1996-04-19,6.1875
1996-04-22,6.4375
1996-04-23,6.5
1996-04-24,6.3125
1996-04-25,6.5
1996-04-26,6.8125
1996-04-29,6.75
1996-04-30,7.0625
1996-05-01,6.875
1996-05-02,6.4375
1996-05-03,6.5625
1996-05-06,6.5625
1996-05-07,6.625
1996-05-08,6.5625
1996-05-09,6.4375
1996-05-10,6.4375
1996-05-13,6.4375
1996-05-14,6.375
1996-05-15,6.375
1996-05-16,6.3125
1996-05-17,6.375
1996-05-20,6.1875
1996-05-21,6.25
1996-05-22,6.5625
1996-05-23,6.5
1996-05-24,6.5625
1996-05-28,6.4375
1996-05-29,6.25
1996-05-30,6.25
1996-05-31,6.25
1996-06-03,6.25
1996-06-04,6.1875
1996-06-05,6.125
1996-06-06,5.9375
1996-06-07,6.0
1996-06-10,6.125
1996-06-11,6.125
1996-06-12,6.1875
1996-06-13,5.875
1996-06-14,5.9375
1996-06-17,5.875
1996-06-18,5.875
1996-06-19,5.875
1996-06-20,6.125
1996-06-21,6.1875
1996-06-24,6.625
1996-06-25,6.5625
1996-06-26,6.5
1996-06-27,6.4375
1996-06-28,6.5625
1996-07-01,6.5625
1996-07-02,6.5
1996-07-03,6.5
1996-07-05,6.4375
1996-07-08,6.4375
1996-07-09,6.4375
1996-07-10,6.375
1996-07-11,6.375
1996-07-12,6.3125
1996-07-15,5.75
1996-07-16,5.5
1996-07-17,5.4375
1996-07-18,5.4375
1996-07-19,5.5
1996-07-22,5.4375
1996-07-23,5.3125
1996-07-24,5.125
1996-07-25,5.25
1996-07-26,5.3125
1996-07-29,5.25
1996-07-30,5.375
1996-07-31,5.5625
1996-08-01,5.5
1996-08-02,5.5625
1996-08-05,5.6875
1996-08-06,5.625
1996-08-07,5.75
1996-08-08,5.6875
1996-08-09,5.8125
1996-08-12,5.875
1996-08-13,5.8125
1996-08-14,5.8125
1996-08-15,5.875
1996-08-16,5.875
1996-08-19,5.875
1996-08-20,5.8125
1996-08-21,5.8125
1996-08-22,5.9375
1996-08-23,5.8125
1996-08-26,5.8125
1996-08-27,5.875
1996-08-28,6.0
1996-08-29,6.0
1996-08-30,6.1875
1996-09-03,6.0625
1996-09-04,6.125
1996-09-05,5.9375
1996-09-06,5.9375
1996-09-09,5.875
1996-09-10,6.0
1996-09-11,6.0
1996-09-12,6.125
1996-09-13,6.125
1996-09-16,6.125
1996-09-17,6.125
1996-09-18,6.0625
1996-09-19,6.0625
1996-09-20,5.9375
1996-09-23,5.75
1996-09-24,5.75
1996-09-25,5.5625
1996-09-26,5.875
1996-09-27,5.8125
1996-09-30,5.625
1996-10-01,5.75
1996-10-02,5.8125
1996-10-03,5.6875
1996-10-04,5.625
1996-10-07,5.6875
1996-10-08,5.625
1996-10-09,5.75
1996-10-10,5.75
1996-10-11,5.6875
1996-10-14,5.5625
1996-10-15,5.5
1996-10-16,5.5625
1996-10-17,5.5
1996-10-18,5.5
1996-10-21,5.4375
1996-10-22,5.3125
1996-10-23,5.4375
1996-10-24,5.4375
1996-10-25,5.4375
1996-10-28,5.4375
1996-10-29,5.375
1996-10-30,5.375
1996-10-31,5.4375
1996-11-01,5.5625
1996-11-04,5.5
1996-11-05,5.5625
1996-11-06,5.5
1996-11-07,5.5625
1996-11-08,5.5625
1996-11-11,5.5
1996-11-12,5.5625
1996-11-13,5.5
1996-11-14,5.5
1996-11-15,5.6875
1996-11-18,5.6875
1996-11-19,5.5625
1996-11-20,5.5625
1996-11-21,5.5
1996-11-22,5.625
1996-11-25,5.6875
1996-11-26,5.5
1996-11-27,5.5
1996-11-29,5.5625
1996-12-02,5.625
1996-12-03,5.625
1996-12-04,5.6875
1996-12-05,5.75
1996-12-06,5.625
1996-12-09,5.75
1996-12-10,5.6875
1996-12-11,5.6875
1996-12-12,5.625
1996-12-13,5.625
1996-12-16,5.6875
1996-12-17,5.75
1996-12-18,5.875
1996-12-19,6.1875
1996-12-20,6.1875
1996-12-23,6.4375
1996-12-24,6.5
1996-12-26,6.4375
1996-12-27,6.4375
1996-12-30,6.25
1996-12-31,6.3125
1997-01-02,6.1875
1997-01-03,6.125
1997-01-06,6.1875
1997-01-07,6.25
1997-01-08,6.375
1997-01-09,6.375
1997-01-10,6.3125
1997-01-13,6.3125
1997-01-14,6.25
1997-01-15,6.25
1997-01-16,6.1875
1997-01-17,6.1875
1997-01-20,6.25
1997-01-21,6.375
1997-01-22,6.3125
1997-01-23,6.25
1997-01-24,6.3125
1997-01-27,6.4375
1997-01-28,6.375
1997-01-29,6.3125
1997-01-30,6.3125
1997-01-31,6.3125
1997-02-03,6.25
1997-02-04,6.125
1997-02-05,6.125
1997-02-06,6.1875
1997-02-07,6.25
1997-02-10,6.125
1997-02-11,6.1875
1997-02-12,6.1875
1997-02-13,6.1875
1997-02-14,6.3125
1997-02-18,6.25
1997-02-19,6.1875
1997-02-20,6.3125
1997-02-21,6.25
1997-02-24,6.4375
1997-02-25,6.4375
1997-02-26,6.625
1997-02-27,6.5
1997-02-28,6.3125
1997-03-03,6.25
1997-03-04,6.3125
1997-03-05,6.3125
1997-03-06,6.5625
1997-03-07,6.875
1997-03-10,6.75
1997-03-11,6.75
1997-03-12,7.0
1997-03-13,6.9375
1997-03-14,7.125
1997-03-17,7.0
1997-03-18,6.9375
1997-03-19,6.875
1997-03-20,6.8125
1997-03-21,6.8125
1997-03-24,6.8125
1997-03-25,6.875
1997-03-26,7.0
1997-03-27,7.0
1997-03-31,6.5
1997-04-01,6.375
1997-04-02,6.8125
1997-04-03,6.6875
1997-04-04,6.8125
1997-04-07,6.6875
1997-04-08,6.6875
1997-04-09,6.875
1997-04-10,7.125
1997-04-11,7.3125
1997-04-14,7.3125
1997-04-15,7.3125
1997-04-16,7.25
1997-04-17,7.1875
1997-04-18,7.125
1997-04-21,7.0
1997-04-22,7.125
1997-04-23,7.3125
1997-04-24,7.25
1997-04-25,7.25
1997-04-28,7.0625
1997-04-29,7.1875
1997-04-30,7.1875
1997-05-01,7.1875
1997-05-02,7.25
1997-05-05,7.25
1997-05-06,7.25
1997-05-07,7.25
1997-05-08,7.25
1997-05-09,7.25
1997-05-12,7.5
1997-05-13,7.9375
1997-05-14,8.625
1997-05-15,8.3125
1997-05-16,8.4375
1997-05-19,8.5
1997-05-20,8.5
1997-05-21,8.625
1997-05-22,8.8125
1997-05-23,9.0
1997-05-27,8.75
1997-05-28,8.5
1997-05-29,8.375
1997-05-30,8.25
1997-06-02,8.25
1997-06-03,8.3125
1997-06-04,8.125
