Date,MSI
1977-01-03,5.602933
1977-01-04,5.477307
1977-01-05,5.502432
1977-01-06,5.4647440000000005
1977-01-07,5.389369
1977-01-10,5.326555
1977-01-11,5.188366
1977-01-12,5.125553
1977-01-13,5.175804
1977-01-14,5.238617
1977-01-17,5.2511790000000005
1977-01-18,5.263742
1977-01-19,5.35168
1977-01-20,5.376806
1977-01-21,5.389369
1977-01-24,5.376806
1977-01-25,5.226054
1977-01-26,5.226054
1977-01-27,5.050178
1977-01-28,5.125553
1977-01-31,5.050178
1977-02-01,5.075303
1977-02-02,5.0124889999999995
1977-02-03,4.987364
1977-02-04,4.82405
1977-02-07,4.648173
1977-02-08,4.710986
1977-02-09,4.623048000000001
1977-02-10,4.58536
1977-02-11,4.623048000000001
1977-02-14,4.673298
1977-02-15,4.648173
1977-02-16,4.673298
1977-02-17,4.597923000000001
1977-02-18,4.509983999999999
1977-02-22,4.497422
1977-02-23,4.472296
1977-02-24,4.396921
1977-02-25,4.447171
1977-02-28,4.434608
1977-03-01,4.560235
1977-03-02,4.560235
1977-03-03,4.723549
1977-03-04,4.736112
1977-03-07,4.798925
1977-03-08,4.736112
1977-03-09,4.635611
1977-03-10,4.673298
1977-03-11,4.660736
1977-03-14,4.7737989999999995
1977-03-15,4.836613
1977-03-16,4.8743
1977-03-17,4.924551
1977-03-18,4.924551
1977-03-21,4.861738
1977-03-22,4.8743
1977-03-23,4.710986
1977-03-24,4.648173
1977-03-25,4.623048000000001
1977-03-28,4.58536
1977-03-29,4.58536
1977-03-30,4.58536
1977-03-31,4.623048000000001
1977-04-01,4.673298
1977-04-04,4.597923000000001
1977-04-05,4.623048000000001
1977-04-06,4.58536
1977-04-07,4.5727970000000004
1977-04-11,4.522547
1977-04-12,4.484858999999999
1977-04-13,4.497422
1977-04-14,4.635611
1977-04-15,4.635611
1977-04-18,4.635611
1977-04-19,4.522547
1977-04-20,4.509983999999999
1977-04-21,4.396921
1977-04-22,4.246169
1977-04-25,4.283857
1977-04-26,4.246169
1977-04-27,4.371795
1977-04-28,4.3215449999999995
1977-04-29,4.359233000000001
1977-05-02,4.396921
1977-05-03,4.334107
1977-05-04,4.359233000000001
1977-05-05,4.447171
1977-05-06,4.422046
1977-05-09,4.472296
1977-05-10,4.409483
1977-05-11,4.396921
1977-05-12,4.334107
1977-05-13,4.396921
1977-05-16,4.409483
1977-05-17,4.371795
1977-05-18,4.409483
1977-05-19,4.34667
1977-05-20,4.3215449999999995
1977-05-23,4.283857
1977-05-24,4.246169
1977-05-25,4.070292
1977-05-26,3.982354
1977-05-27,3.8441650000000003
1977-05-31,3.6682879999999995
1977-06-01,3.793914
1977-06-02,3.7813519999999996
1977-06-03,3.8692900000000003
1977-06-06,3.793914
1977-06-07,3.7813519999999996
1977-06-08,3.8441650000000003
1977-06-09,3.881853
1977-06-10,3.9697910000000003
1977-06-13,4.045167
1977-06-14,4.170793
1977-06-15,4.145668
1977-06-16,4.183356
1977-06-17,4.195919
1977-06-20,4.158231
1977-06-21,4.145668
1977-06-22,4.1331050000000005
1977-06-23,4.145668
1977-06-24,4.095416999999999
1977-06-27,4.120543
1977-06-28,4.070292
1977-06-29,4.020041
1977-06-30,4.020041
1977-07-01,4.05773
1977-07-05,4.045167
1977-07-06,4.020041
1977-07-07,4.007479
1977-07-08,4.020041
1977-07-11,4.045167
1977-07-12,4.007479
1977-07-13,4.020041
1977-07-15,4.1331050000000005
1977-07-18,4.3215449999999995
1977-07-19,4.396921
1977-07-20,4.271294
1977-07-21,4.34667
1977-07-22,4.359233000000001
1977-07-25,4.371795
1977-07-26,4.3215449999999995
1977-07-27,4.258732
1977-07-28,4.3215449999999995
1977-07-29,4.34667
1977-08-01,4.34667
1977-08-02,4.2964199999999995
1977-08-03,4.371795
1977-08-04,4.522547
1977-08-05,4.396921
1977-08-08,4.334107
1977-08-09,4.3215449999999995
1977-08-10,4.409483
1977-08-11,4.409483
1977-08-12,4.472296
1977-08-15,4.648173
1977-08-16,4.623048000000001
1977-08-17,4.635611
1977-08-18,4.610485
1977-08-19,4.610485
1977-08-22,4.673298
1977-08-23,4.635611
1977-08-24,4.522547
1977-08-25,4.497422
1977-08-26,4.522547
1977-08-29,4.522547
1977-08-30,4.422046
1977-08-31,4.447171
1977-09-01,4.434608
1977-09-02,4.396921
1977-09-06,4.334107
1977-09-07,4.334107
1977-09-08,4.308982
1977-09-09,4.258732
1977-09-12,4.246169
1977-09-13,4.308982
1977-09-14,4.434608
1977-09-15,4.522547
1977-09-16,4.459733
1977-09-19,4.396921
1977-09-20,4.422046
1977-09-21,4.459733
1977-09-22,4.497422
1977-09-23,4.497422
1977-09-26,4.5727970000000004
1977-09-27,4.597923000000001
1977-09-28,4.58536
1977-09-29,4.597923000000001
1977-09-30,4.560235
1977-10-03,4.497422
1977-10-04,4.472296
1977-10-05,4.422046
1977-10-06,4.396921
1977-10-07,4.422046
1977-10-10,4.409483
1977-10-11,4.34667
1977-10-12,4.308982
1977-10-13,4.3215449999999995
1977-10-14,4.2964199999999995
1977-10-17,4.3215449999999995
1977-10-18,4.032604
1977-10-19,3.906978
1977-10-20,3.906978
1977-10-21,3.9321029999999997
1977-10-24,3.856727
1977-10-25,3.705976
1977-10-26,3.6934129999999996
1977-10-27,3.705976
1977-10-28,3.7311010000000002
1977-10-31,3.7562269999999995
1977-11-01,3.7311010000000002
1977-11-02,3.768789
1977-11-03,3.7813519999999996
1977-11-04,3.881853
1977-11-07,3.8316019999999997
1977-11-08,3.793914
1977-11-09,3.8064769999999997
1977-11-10,3.8692900000000003
1977-11-11,3.9446660000000002
1977-11-14,3.906978
1977-11-15,3.9697910000000003
1977-11-16,3.8441650000000003
1977-11-17,3.8316019999999997
1977-11-18,3.81904
1977-11-21,3.793914
1977-11-22,3.705976
1977-11-23,3.7813519999999996
1977-11-25,3.7562269999999995
1977-11-28,3.7813519999999996
1977-11-29,3.705976
1977-11-30,3.6682879999999995
1977-12-01,3.655725
1977-12-02,3.618037
1977-12-05,3.592912
1977-12-06,3.504974
