Date,MS
1993-02-23,7.75
1993-02-24,7.96875
1993-02-25,8.15625
1993-02-26,8.28125
1993-03-01,8.0
1993-03-02,8.21875
1993-03-03,8.1875
1993-03-04,8.15625
1993-03-05,8.3125
1993-03-08,8.28125
1993-03-09,8.53125
1993-03-10,8.875
1993-03-11,8.875
1993-03-12,9.03125
1993-03-15,8.875
1993-03-16,8.6875
1993-03-17,8.78125
1993-03-18,9.0
1993-03-19,8.90625
1993-03-22,8.875
1993-03-23,8.6875
1993-03-24,8.59375
1993-03-25,8.59375
1993-03-26,9.15625
1993-03-29,9.25
1993-03-30,9.59375
1993-03-31,9.59375
1993-04-01,9.25
1993-04-02,8.90625
1993-04-05,9.0625
1993-04-06,8.9375
1993-04-07,9.0625
1993-04-08,9.03125
1993-04-12,9.25
1993-04-13,9.53125
1993-04-14,9.78125
1993-04-15,9.375
1993-04-16,9.34375
1993-04-19,9.125
1993-04-20,8.84375
1993-04-21,8.71875
1993-04-22,8.71875
1993-04-23,8.59375
1993-04-26,8.40625
1993-04-27,8.5
1993-04-28,8.65625
1993-04-29,8.625
1993-04-30,9.6875
1993-05-03,9.1875
1993-05-04,9.25
1993-05-05,9.15625
1993-05-06,9.09375
1993-05-07,9.125
1993-05-10,9.25
1993-05-11,9.21875
1993-05-12,9.21875
1993-05-13,9.0
1993-05-14,8.75
1993-05-17,8.90625
1993-05-18,8.8125
1993-05-19,8.90625
1993-05-20,8.75
1993-05-21,8.5
1993-05-24,8.65625
1993-05-25,8.625
1993-05-26,9.15625
1993-05-27,8.78125
1993-05-28,8.59375
1993-06-01,8.65625
1993-06-02,8.71875
1993-06-03,8.5625
1993-06-04,8.46875
1993-06-07,8.46875
1993-06-08,8.46875
1993-06-09,8.59375
1993-06-10,8.5
1993-06-11,8.5625
1993-06-14,8.59375
1993-06-15,8.5
1993-06-16,8.75
1993-06-17,8.78125
1993-06-18,8.53125
1993-06-21,8.46875
1993-06-22,8.46875
1993-06-23,8.46875
1993-06-24,8.78125
1993-06-25,9.0625
1993-06-28,9.6875
1993-06-29,9.3125
1993-06-30,9.375
1993-07-01,9.25
1993-07-02,9.3125
1993-07-06,9.21875
1993-07-07,9.21875
1993-07-08,9.1875
1993-07-09,9.1875
1993-07-12,9.6875
1993-07-13,9.21875
1993-07-14,8.90625
1993-07-15,8.96875
1993-07-16,8.9375
1993-07-19,9.09375
1993-07-20,9.5
1993-07-21,9.65625
1993-07-22,9.4375
1993-07-23,9.34375
1993-07-26,9.625
1993-07-27,9.46875
1993-07-28,9.4375
1993-07-29,9.3125
1993-07-30,9.3125
1993-08-02,9.25
1993-08-03,9.15625
1993-08-04,9.21875
1993-08-05,9.15625
1993-08-06,9.46875
1993-08-09,9.625
1993-08-10,9.5625
1993-08-11,9.3125
1993-08-12,9.3125
1993-08-13,9.21875
1993-08-16,9.1875
1993-08-17,9.125
1993-08-18,9.21875
1993-08-19,9.15625
1993-08-20,9.25
1993-08-23,9.375
1993-08-24,9.84375
1993-08-25,9.78125
1993-08-26,9.75
1993-08-27,9.5625
1993-08-30,9.875
1993-08-31,9.71875
1993-09-01,9.84375
1993-09-02,9.96875
1993-09-03,9.84375
1993-09-07,9.75
1993-09-08,9.5625
1993-09-09,9.625
1993-09-10,9.75
1993-09-13,9.875
1993-09-14,9.6875
1993-09-15,9.75
1993-09-16,10.125
1993-09-17,10.3125
1993-09-20,10.6875
1993-09-21,10.6875
1993-09-22,11.15625
1993-09-23,11.1875
1993-09-24,11.03125
1993-09-27,10.90625
1993-09-28,10.96875
1993-09-29,10.90625
1993-09-30,11.0
1993-10-01,11.1875
1993-10-04,11.25
