Date,SIVB
1987-10-26,0.916667
1987-10-27,0.916667
1987-10-28,0.916667
1987-10-29,0.916667
1987-10-30,0.916667
1987-11-02,0.875
1987-11-03,0.875
1987-11-04,0.854167
1987-11-05,0.854167
1987-11-06,0.854167
1987-11-09,0.833333
1987-11-10,0.833333
1987-11-11,0.833333
1987-11-12,0.833333
1987-11-13,0.833333
1987-11-16,0.833333
1987-11-17,0.833333
1987-11-18,0.833333
1987-11-19,0.833333
1987-11-20,0.833333
1987-11-23,0.885417
1987-11-24,
1987-11-25,0.833333
1987-11-27,0.833333
1987-11-30,0.833333
1987-12-01,0.895833
1987-12-02,0.833333
1987-12-03,0.833333
1987-12-04,0.833333
1987-12-07,0.875
1987-12-08,0.875
1987-12-09,0.875
1987-12-10,0.875
1987-12-11,0.875
1987-12-14,0.864583
1987-12-15,0.864583
1987-12-16,0.875
1987-12-17,0.885417
1987-12-18,0.885417
1987-12-21,0.90625
1987-12-22,0.90625
1987-12-23,0.895833
1987-12-24,0.895833
1987-12-28,0.895833
1987-12-29,0.895833
1987-12-30,0.895833
1987-12-31,0.90625
1988-01-04,0.90625
1988-01-05,0.90625
1988-01-06,0.916667
1988-01-07,0.916667
1988-01-08,1.020833
1988-01-11,1.0
1988-01-12,0.979167
1988-01-13,0.979167
1988-01-14,0.979167
1988-01-15,0.979167
1988-01-18,0.979167
1988-01-19,0.979167
1988-01-20,0.979167
1988-01-21,1.020833
1988-01-22,1.020833
1988-01-25,1.020833
1988-01-26,1.020833
1988-01-27,1.0
1988-01-28,1.0
1988-01-29,1.0
1988-02-01,1.0
1988-02-02,1.0
1988-02-03,1.0
1988-02-04,1.0
1988-02-05,0.916667
1988-02-08,0.916667
1988-02-09,0.916667
1988-02-10,0.916667
1988-02-11,0.895833
1988-02-12,0.916667
1988-02-16,0.916667
1988-02-17,0.895833
1988-02-18,0.9375
1988-02-19,0.979167
1988-02-22,0.979167
1988-02-23,0.979167
1988-02-24,0.979167
1988-02-25,0.979167
1988-02-26,0.979167
1988-02-29,0.979167
1988-03-01,0.895833
1988-03-02,0.895833
1988-03-03,0.979167
1988-03-04,0.979167
1988-03-07,0.895833
1988-03-08,0.895833
1988-03-09,0.895833
1988-03-10,0.895833
1988-03-11,0.895833
1988-03-14,0.916667
1988-03-15,0.927083
1988-03-16,0.958333
1988-03-17,0.958333
1988-03-18,0.916667
1988-03-21,0.916667
1988-03-22,0.916667
1988-03-23,0.916667
1988-03-24,0.916667
1988-03-25,0.916667
1988-03-28,0.916667
1988-03-29,0.916667
1988-03-30,0.916667
1988-03-31,0.916667
1988-04-04,0.979167
1988-04-05,0.979167
1988-04-06,0.947917
1988-04-07,0.947917
1988-04-08,0.947917
1988-04-11,1.0
1988-04-12,1.020833
1988-04-13,1.020833
1988-04-14,0.958333
1988-04-15,1.020833
1988-04-18,1.020833
1988-04-19,1.041667
1988-04-20,1.041667
1988-04-21,1.020833
1988-04-22,1.041667
1988-04-25,1.0625
1988-04-26,1.104167
1988-04-27,1.09375
1988-04-28,1.09375
1988-04-29,1.104167
1988-05-02,1.145833
1988-05-03,1.145833
1988-05-04,1.145833
1988-05-05,1.145833
1988-05-06,1.104167
1988-05-09,1.104167
1988-05-10,1.104167
1988-05-11,1.145833
1988-05-12,1.145833
1988-05-13,1.145833
1988-05-16,1.145833
1988-05-17,1.145833
1988-05-18,1.135417
1988-05-19,1.083333
1988-05-20,1.145833
1988-05-23,1.145833
1988-05-24,1.145833
1988-05-25,1.145833
1988-05-26,1.15625
1988-05-27,1.166667
1988-05-31,1.166667
1988-06-01,1.145833
1988-06-02,1.145833
1988-06-03,1.145833
1988-06-06,1.145833
1988-06-07,1.166667
1988-06-08,1.125
1988-06-09,1.125
1988-06-10,1.125
1988-06-13,1.125
1988-06-14,1.125
1988-06-15,1.125
1988-06-16,1.125
1988-06-17,1.125
1988-06-20,1.125
1988-06-21,1.125
1988-06-22,1.125
1988-06-23,1.125
1988-06-24,1.125
1988-06-27,1.125
1988-06-28,1.125
1988-06-29,1.125
1988-06-30,1.125
1988-07-01,1.166667
1988-07-05,1.166667
1988-07-06,1.166667
1988-07-07,1.166667
1988-07-08,1.166667
1988-07-11,1.166667
1988-07-12,1.166667
1988-07-13,1.166667
1988-07-14,1.145833
1988-07-15,1.1875
1988-07-18,1.1875
1988-07-19,1.25
1988-07-20,1.1875
1988-07-21,1.1875
1988-07-22,1.1875
1988-07-25,1.1875
1988-07-26,1.1875
1988-07-27,1.21875
1988-07-28,1.25
1988-07-29,1.25
1988-08-01,1.1875
1988-08-02,1.1875
1988-08-03,1.1875
1988-08-04,1.21875
1988-08-05,1.1875
1988-08-08,1.1875
1988-08-09,1.1875
1988-08-10,1.21875
1988-08-11,1.21875
1988-08-12,1.1875
1988-08-15,1.1875
1988-08-16,1.21875
1988-08-17,1.21875
1988-08-18,1.21875
1988-08-19,1.1875
1988-08-22,1.1875
1988-08-23,1.21875
1988-08-24,1.21875
1988-08-25,1.1875
1988-08-26,1.1875
1988-08-29,1.1875
1988-08-30,1.229167
1988-08-31,1.1875
1988-09-01,1.1875
1988-09-02,1.1875
1988-09-06,1.229167
1988-09-07,1.197917
1988-09-08,1.197917
1988-09-09,1.1875
1988-09-12,1.1875
1988-09-13,1.1875
1988-09-14,1.229167
1988-09-15,1.25
1988-09-16,1.21875
1988-09-19,1.239583
1988-09-20,1.25
1988-09-21,1.25
1988-09-22,1.208333
1988-09-23,1.229167
1988-09-26,1.21875
1988-09-27,1.208333
1988-09-28,1.208333
1988-09-29,1.25
1988-09-30,1.208333
1988-10-03,1.270833
1988-10-04,1.291667
1988-10-05,1.291667
1988-10-06,1.4375
1988-10-07,1.5625
1988-10-10,1.625
1988-10-11,1.583333
1988-10-12,1.5
1988-10-13,1.5
1988-10-14,1.5
1988-10-17,1.5
1988-10-18,1.5
1988-10-19,1.4375
1988-10-20,1.458333
1988-10-21,1.5
1988-10-24,1.458333
1988-10-25,1.541667
1988-10-26,1.5
1988-10-27,1.541667
1988-10-28,1.541667
1988-10-31,1.416667
1988-11-01,1.416667
1988-11-02,1.416667
1988-11-03,1.458333
1988-11-04,1.458333
1988-11-07,1.458333
1988-11-08,1.5
1988-11-09,1.5
1988-11-10,1.5
1988-11-11,1.5
1988-11-14,1.5
1988-11-15,1.5
1988-11-16,1.5
1988-11-17,1.395833
1988-11-18,1.395833
1988-11-21,1.5
1988-11-22,1.5
1988-11-23,1.5
1988-11-25,1.5
1988-11-28,1.4375
1988-11-29,1.395833
1988-11-30,1.416667
1988-12-01,1.395833
1988-12-02,1.427083
1988-12-05,1.427083
1988-12-06,1.427083
1988-12-07,1.5
1988-12-08,1.5
1988-12-09,1.416667
1988-12-12,1.416667
1988-12-13,1.5
1988-12-14,1.416667
1988-12-15,1.5
1988-12-16,1.5
1988-12-19,1.520833
1988-12-20,1.458333
1988-12-21,1.458333
1988-12-22,1.458333
1988-12-23,1.458333
1988-12-27,1.458333
1988-12-28,1.458333
1988-12-29,1.458333
1988-12-30,1.541667
1989-01-03,1.520833
1989-01-04,1.489583
1989-01-05,1.541667
1989-01-06,1.520833
1989-01-09,1.604167
1989-01-10,1.541667
1989-01-11,1.625
1989-01-12,1.645833
1989-01-13,1.708333
1989-01-16,1.708333
1989-01-17,1.635417
1989-01-18,1.666667
1989-01-19,1.708333
1989-01-20,1.708333
1989-01-23,1.625
1989-01-24,1.625
1989-01-25,1.6875
1989-01-26,1.645833
1989-01-27,1.770833
1989-01-30,1.770833
1989-01-31,1.770833
1989-02-01,1.770833
1989-02-02,1.6875
1989-02-03,1.770833
1989-02-06,1.770833
