Date,NVR
1985-07-22,30.375
1985-07-23,30.125
1985-07-24,29.5
1985-07-25,30.0
1985-07-26,29.875
1985-07-29,29.625
1985-07-30,29.0
1985-07-31,28.125
1985-08-01,28.25
1985-08-02,28.625
1985-08-05,28.75
1985-08-06,28.625
1985-08-07,28.5
1985-08-08,28.625
1985-08-09,28.375
1985-08-12,28.25
1985-08-13,28.25
1985-08-14,28.25
1985-08-15,28.25
1985-08-16,27.75
1985-08-19,27.125
1985-08-20,27.25
1985-08-21,27.125
1985-08-22,27.25
1985-08-23,27.125
1985-08-26,26.75
1985-08-27,26.5
1985-08-28,27.0
1985-08-29,27.25
1985-08-30,27.125
1985-09-03,27.25
1985-09-04,27.0
1985-09-05,26.625
1985-09-06,26.5
1985-09-09,26.125
1985-09-10,25.625
1985-09-11,24.625
1985-09-12,24.375
1985-09-13,24.0
1985-09-16,24.375
1985-09-17,24.375
1985-09-18,25.125
1985-09-19,25.5
1985-09-20,26.0
1985-09-23,26.125
1985-09-24,26.0
1985-09-25,25.75
1985-09-26,25.75
1985-09-30,25.5
1985-10-01,25.5
1985-10-02,25.25
1985-10-03,26.0
1985-10-04,26.25
1985-10-07,26.75
1985-10-08,26.875
1985-10-09,27.0
1985-10-10,27.0
1985-10-11,27.125
1985-10-14,27.0
1985-10-15,26.5
1985-10-16,27.75
1985-10-17,27.375
1985-10-18,26.875
1985-10-21,27.25
1985-10-22,27.25
1985-10-23,27.125
1985-10-24,26.625
1985-10-25,26.5
1985-10-28,26.5
1985-10-29,26.125
1985-10-30,25.75
1985-10-31,24.625
1985-11-01,24.5
1985-11-04,24.25
1985-11-05,22.5
1985-11-06,22.5
1985-11-07,22.75
1985-11-08,22.875
1985-11-11,23.375
1985-11-12,24.25
1985-11-13,24.625
1985-11-14,24.625
1985-11-15,24.625
1985-11-18,24.75
1985-11-19,25.25
1985-11-20,25.75
1985-11-21,26.0
1985-11-22,26.25
1985-11-25,26.125
1985-11-26,25.75
1985-11-27,25.75
1985-11-29,26.0
1985-12-02,25.75
1985-12-03,25.75
1985-12-04,26.125
1985-12-05,26.0
1985-12-06,26.125
1985-12-09,25.875
1985-12-10,25.75
1985-12-11,25.875
1985-12-12,25.875
1985-12-13,26.375
1985-12-16,26.875
1985-12-17,26.75
1985-12-18,26.625
1985-12-19,26.375
1985-12-20,26.875
1985-12-23,26.625
1985-12-24,26.5
1985-12-26,26.125
1985-12-27,26.25
1985-12-30,26.5
1985-12-31,27.0
1986-01-02,27.25
1986-01-03,27.875
1986-01-06,27.625
1986-01-07,28.25
1986-01-08,28.125
1986-01-09,27.75
