Date,IEX
1989-06-02,2.888889
1989-06-05,2.8641970000000003
1989-06-06,2.8641970000000003
1989-06-07,2.888889
1989-06-08,2.888889
1989-06-09,2.91358
1989-06-12,2.888889
1989-06-13,2.839506
1989-06-14,2.8148150000000003
1989-06-15,2.790123
1989-06-16,2.8148150000000003
1989-06-19,2.8641970000000003
1989-06-20,2.8641970000000003
1989-06-21,2.888889
1989-06-22,2.888889
1989-06-23,2.8641970000000003
1989-06-26,2.8641970000000003
1989-06-27,2.888889
1989-06-28,2.839506
1989-06-29,2.839506
1989-06-30,2.8148150000000003
1989-07-03,2.839506
1989-07-05,2.8641970000000003
1989-07-06,2.790123
1989-07-07,2.839506
1989-07-10,2.91358
1989-07-11,2.888889
1989-07-12,2.888889
1989-07-13,2.888889
1989-07-14,2.888889
1989-07-17,2.91358
1989-07-18,2.91358
1989-07-19,2.9629630000000002
1989-07-20,2.9629630000000002
1989-07-21,2.9629630000000002
1989-07-24,3.111111
1989-07-25,3.061728
1989-07-26,3.111111
1989-07-27,3.1358029999999997
1989-07-28,3.1358029999999997
1989-07-31,3.1851849999999997
1989-08-01,3.209877
1989-08-02,3.209877
1989-08-03,3.209877
1989-08-04,3.160494
1989-08-07,3.209877
1989-08-08,3.1851849999999997
1989-08-09,3.160494
1989-08-10,3.160494
1989-08-11,3.1358029999999997
1989-08-14,3.111111
1989-08-15,3.1358029999999997
1989-08-16,3.160494
1989-08-17,3.160494
1989-08-18,3.111111
1989-08-21,3.08642
1989-08-22,3.08642
1989-08-23,3.111111
1989-08-24,3.111111
1989-08-25,3.111111
1989-08-28,3.08642
1989-08-29,3.0370369999999998
1989-08-30,3.0370369999999998
1989-08-31,3.0370369999999998
1989-09-01,3.061728
1989-09-05,3.08642
1989-09-06,3.08642
1989-09-07,3.1358029999999997
1989-09-08,3.1358029999999997
1989-09-11,3.160494
1989-09-12,3.160494
1989-09-13,3.1358029999999997
1989-09-14,3.1358029999999997
1989-09-15,3.160494
1989-09-18,3.160494
1989-09-19,3.1358029999999997
1989-09-20,3.1358029999999997
1989-09-21,3.1358029999999997
1989-09-22,3.1358029999999997
1989-09-25,3.08642
1989-09-26,3.061728
1989-09-27,3.1358029999999997
1989-09-28,3.08642
1989-09-29,3.08642
1989-10-02,3.111111
1989-10-03,3.1358029999999997
1989-10-04,3.209877
1989-10-05,3.1358029999999997
1989-10-06,3.160494
1989-10-09,3.234568
1989-10-10,3.234568
