Date,AIG
1973-01-02,24.704105
1973-01-03,24.811982999999998
1973-01-04,24.524309
1973-01-05,24.668146
1973-01-08,24.596228
1973-01-09,24.740064999999998
1973-01-10,24.740064999999998
1973-01-11,24.919860999999997
1973-01-12,24.955822
1973-01-15,25.027739999999998
1973-01-16,24.632187
1973-01-17,24.236632999999998
1973-01-18,24.092796
1973-01-19,23.769160999999997
1973-01-22,23.805120000000002
1973-01-23,23.948957
1973-01-24,23.805120000000002
1973-01-26,23.157852
1973-01-29,22.438663000000002
1973-01-30,22.438663000000002
1973-01-31,22.510582
1973-02-01,22.438663000000002
1973-02-02,22.402704
1973-02-05,22.402704
1973-02-06,22.510582
1973-02-07,22.438663000000002
1973-02-08,22.186947
1973-02-09,22.294826999999998
1973-02-12,22.5825
1973-02-13,22.870176
1973-02-14,22.474623
1973-02-15,21.935232
1973-02-16,21.971191
1973-02-20,22.150988
1973-02-21,22.007151
1973-02-22,21.935232
1973-02-23,21.611597
1973-02-26,21.503719
1973-02-27,20.604734
1973-02-28,20.568775
1973-03-01,20.568775
1973-03-02,20.89241
1973-03-05,21.000288
1973-03-06,21.503719
1973-03-07,21.971191
1973-03-08,22.007151
1973-03-09,22.007151
1973-03-12,22.079069
1973-03-13,22.115028
1973-03-14,22.150988
1973-03-15,22.079069
1973-03-16,22.150988
1973-03-19,21.683516
1973-03-20,21.503719
1973-03-21,21.180084
1973-03-22,20.568775
1973-03-23,20.640694
1973-03-26,20.640694
1973-03-27,20.82049
1973-03-28,21.575638
1973-03-29,22.079069
1973-03-30,21.719475
1973-04-02,21.287962
1973-04-03,21.072206
1973-04-04,20.353018
1973-04-05,20.568775
1973-04-06,20.712612
1973-04-09,20.712612
1973-04-10,20.568775
1973-04-11,20.640694
1973-04-12,21.000288
1973-04-13,21.072206
1973-04-16,21.036247
1973-04-17,20.89241
1973-04-18,20.82049
1973-04-19,20.784531
1973-04-23,20.532816
1973-04-24,20.209181
1973-04-25,20.065344
1973-04-26,19.921505
1973-04-27,19.70575
1973-04-30,19.633831
1973-05-01,19.274237
1973-05-02,19.382114
1973-05-03,19.382114
1973-05-04,19.993425
1973-05-07,19.633831
1973-05-08,19.454033
1973-05-09,19.346155
1973-05-10,19.166359
1973-05-11,18.950602
1973-05-14,17.763942999999998
1973-05-15,17.835860999999998
1973-05-16,17.90778
1973-05-17,17.835860999999998
1973-05-18,17.368389
1973-05-21,17.296469000000002
1973-05-22,17.368389
1973-05-23,17.620104
1973-05-24,19.274237
1973-05-25,19.1304
1973-05-29,18.770805
1973-05-30,17.90778
1973-05-31,17.620104
