Date,BWA
1993-08-13,3.125
1993-08-16,3.09375
1993-08-17,3.046875
1993-08-18,3.09375
1993-08-19,3.15625
1993-08-20,3.1875
1993-08-23,3.140625
1993-08-24,3.125
1993-08-25,3.15625
1993-08-26,3.15625
1993-08-27,3.1875
1993-08-30,3.1875
1993-08-31,3.203125
1993-09-01,3.1875
1993-09-02,3.125
1993-09-03,3.0625
1993-09-07,3.09375
1993-09-08,3.0
1993-09-09,2.984375
1993-09-10,2.875
1993-09-13,2.875
1993-09-14,2.71875
1993-09-15,2.875
1993-09-16,2.859375
1993-09-17,2.953125
1993-09-20,2.90625
1993-09-21,2.828125
1993-09-22,2.796875
1993-09-23,2.734375
1993-09-24,2.8125
1993-09-27,2.890625
1993-09-28,2.890625
1993-09-29,3.125
1993-09-30,3.296875
1993-10-01,3.25
1993-10-04,3.203125
1993-10-05,3.03125
1993-10-06,3.0625
1993-10-07,3.078125
1993-10-08,3.125
1993-10-11,3.28125
1993-10-12,3.28125
1993-10-13,3.25
1993-10-14,3.296875
1993-10-15,3.296875
1993-10-18,3.296875
1993-10-19,3.296875
1993-10-20,3.3125
1993-10-21,3.3125
1993-10-22,3.3125
1993-10-25,3.3125
1993-10-26,3.25
1993-10-27,3.203125
1993-10-28,3.25
1993-10-29,3.328125
1993-11-01,3.3125
1993-11-02,3.3125
1993-11-03,3.296875
1993-11-04,3.25
1993-11-05,3.1875
1993-11-08,3.21875
1993-11-09,3.203125
1993-11-10,3.171875
1993-11-11,3.15625
1993-11-12,3.140625
1993-11-15,3.140625
1993-11-16,3.15625
1993-11-17,2.984375
1993-11-18,2.96875
1993-11-19,2.921875
1993-11-22,2.921875
1993-11-23,2.9375
1993-11-24,3.0
1993-11-26,3.109375
1993-11-29,3.09375
1993-11-30,3.078125
1993-12-01,3.046875
1993-12-02,3.015625
1993-12-03,3.0
1993-12-06,3.03125
1993-12-07,2.921875
1993-12-08,2.890625
1993-12-09,2.875
1993-12-10,2.890625
1993-12-13,2.9375
1993-12-14,3.0
1993-12-15,3.109375
1993-12-16,3.09375
1993-12-17,3.109375
1993-12-20,3.09375
1993-12-21,3.125
1993-12-22,3.1875
1993-12-23,3.1875
1993-12-27,3.3125
1993-12-28,3.34375
1993-12-29,3.421875
1993-12-30,3.359375
1993-12-31,3.5
1994-01-03,3.375
1994-01-04,3.375
1994-01-05,3.4375
1994-01-06,3.4375
1994-01-07,3.375
1994-01-10,3.359375
1994-01-11,3.34375
1994-01-12,3.375
1994-01-13,3.359375
1994-01-14,3.40625
1994-01-17,3.4375
1994-01-18,3.5625
1994-01-19,3.59375
1994-01-20,3.671875
1994-01-21,3.75
1994-01-24,3.78125
1994-01-25,3.75
1994-01-26,3.78125
1994-01-27,3.859375
1994-01-28,3.84375
1994-01-31,4.09375
1994-02-01,3.96875
1994-02-02,3.953125
1994-02-03,3.96875
1994-02-04,4.015625
1994-02-07,4.03125
1994-02-08,4.09375
1994-02-09,4.1875
1994-02-10,4.109375
1994-02-11,4.0
1994-02-14,3.90625
1994-02-15,3.796875
1994-02-16,3.828125
1994-02-17,3.90625
1994-02-18,3.9375
1994-02-22,4.0
1994-02-23,3.890625
