Date,KO
1962-01-02,0.263021
1962-01-03,0.25716100000000003
1962-01-04,0.259115
1962-01-05,0.253255
1962-01-08,0.250651
1962-01-09,0.255208
1962-01-10,0.25651
1962-01-11,0.259115
1962-01-12,0.25716100000000003
1962-01-15,0.25455700000000003
1962-01-16,0.25
1962-01-17,0.24218800000000001
1962-01-18,0.23730500000000002
1962-01-19,0.244792
1962-01-22,0.246745
1962-01-23,0.241536
1962-01-24,0.238932
1962-01-25,0.236979
1962-01-26,0.234375
1962-01-29,0.234375
1962-01-30,0.233398
1962-01-31,0.242839
1962-02-01,0.244792
1962-02-02,0.247396
1962-02-05,0.247396
1962-02-06,0.244141
1962-02-07,0.245443
1962-02-08,0.246094
1962-02-09,0.247396
1962-02-12,0.245443
1962-02-13,0.245443
1962-02-14,0.240885
1962-02-15,0.239583
1962-02-16,0.239583
1962-02-19,0.24349
1962-02-20,0.24218800000000001
1962-02-21,0.240885
1962-02-23,0.238281
1962-02-26,0.24218800000000001
1962-02-27,0.24349
1962-02-28,0.238932
1962-03-01,0.23763
1962-03-02,0.240234
1962-03-05,0.236979
1962-03-06,0.24218800000000001
1962-03-07,0.238932
1962-03-08,0.239583
1962-03-09,0.236979
1962-03-12,0.24218800000000001
1962-03-13,0.244466
1962-03-14,0.244792
1962-03-15,0.24349
1962-03-16,0.24349
1962-03-19,0.244792
1962-03-20,0.247396
1962-03-21,0.250651
1962-03-22,0.253255
1962-03-23,0.257813
1962-03-26,0.25455700000000003
1962-03-27,0.252604
1962-03-28,0.250651
1962-03-29,0.251302
1962-03-30,0.247396
1962-04-02,0.250651
1962-04-03,0.242839
1962-04-04,0.245768
1962-04-05,0.246094
1962-04-06,0.25
1962-04-09,0.250651
1962-04-10,0.250651
1962-04-11,0.244792
1962-04-12,0.240234
1962-04-13,0.247396
1962-04-16,0.248047
1962-04-17,0.249349
1962-04-18,0.250651
1962-04-19,0.250977
1962-04-23,0.251302
1962-04-24,0.252604
1962-04-25,0.249349
1962-04-26,0.248047
1962-04-27,0.250651
1962-04-30,0.240885
1962-05-01,0.244141
1962-05-02,0.24706999999999998
1962-05-03,0.25
1962-05-04,0.248047
1962-05-07,0.245443
1962-05-08,0.242513
1962-05-09,0.23763
1962-05-10,0.235677
1962-05-11,0.227865
1962-05-14,0.223958
1962-05-15,0.235026
1962-05-16,0.235677
1962-05-17,0.233073
