Date,LYV
2005-12-21,10.85
2005-12-22,10.6
2005-12-23,11.95
2005-12-27,12.5
2005-12-28,13.3
2005-12-29,13.21
2005-12-30,13.1
2006-01-03,13.5
2006-01-04,13.0
2006-01-05,13.0
2006-01-06,12.93
2006-01-09,13.75
2006-01-10,13.65
2006-01-11,14.32
2006-01-12,14.4
2006-01-13,14.77
2006-01-17,14.87
2006-01-18,14.49
2006-01-19,15.22
2006-01-20,16.559998999999998
2006-01-23,17.59
2006-01-24,17.59
2006-01-25,16.73
2006-01-26,16.57
2006-01-27,17.049999
2006-01-30,17.24
2006-01-31,17.75
2006-02-01,17.51
2006-02-02,17.4
2006-02-03,17.65
2006-02-06,17.639999
2006-02-07,17.76
2006-02-08,17.870001000000002
2006-02-09,18.950001
2006-02-10,19.07
2006-02-13,19.4
2006-02-14,19.02
2006-02-15,19.07
2006-02-16,18.5
2006-02-17,17.940001000000002
2006-02-21,18.93
2006-02-22,18.940001000000002
2006-02-23,18.709999
2006-02-24,18.49
2006-02-27,17.91
2006-02-28,17.85
2006-03-01,17.790001
2006-03-02,17.719998999999998
2006-03-03,17.549999
2006-03-06,18.219998999999998
2006-03-07,17.950001
2006-03-08,17.950001
2006-03-09,18.110001
2006-03-10,18.08
2006-03-13,17.98
2006-03-14,18.209999
2006-03-15,18.0
2006-03-16,18.5
2006-03-17,18.51
2006-03-20,18.610001
2006-03-21,18.85
2006-03-22,19.0
2006-03-23,18.85
2006-03-24,18.85
2006-03-27,18.719998999999998
2006-03-28,18.93
2006-03-29,18.99
2006-03-30,19.02
2006-03-31,19.84
2006-04-03,19.17
2006-04-04,19.02
2006-04-05,19.0
2006-04-06,19.190001000000002
2006-04-07,19.200001
2006-04-10,19.059998999999998
2006-04-11,19.0
2006-04-12,19.17
2006-04-13,19.200001
2006-04-17,19.389999
2006-04-18,19.299999
2006-04-19,19.24
2006-04-20,19.23
2006-04-21,19.16
2006-04-24,19.25
2006-04-25,19.209999
2006-04-26,19.360001
2006-04-27,19.15
2006-04-28,19.0
2006-05-01,19.41
2006-05-02,19.360001
2006-05-03,19.389999
2006-05-04,19.5
2006-05-05,20.24
2006-05-08,20.139999
2006-05-09,21.0
2006-05-10,21.25
2006-05-11,20.950001
2006-05-12,21.059998999999998
2006-05-15,21.690001000000002
2006-05-16,21.610001
2006-05-17,20.809998999999998
2006-05-18,21.66
2006-05-19,21.799999
2006-05-22,21.309998999999998
2006-05-23,21.41
2006-05-24,21.23
2006-05-25,22.049999
2006-05-26,23.34
2006-05-30,22.65
2006-05-31,22.799999
2006-06-01,23.459999
2006-06-02,23.68
2006-06-05,23.9
2006-06-06,24.27
2006-06-07,24.58
2006-06-08,24.129998999999998
2006-06-09,23.75
2006-06-12,23.030001000000002
2006-06-13,22.040001
2006-06-14,20.93
2006-06-15,20.809998999999998
2006-06-16,21.190001000000002
2006-06-19,21.5
2006-06-20,21.75
2006-06-21,21.690001000000002
2006-06-22,21.959999
2006-06-23,21.43
2006-06-26,21.790001
2006-06-27,20.93
2006-06-28,21.08
2006-06-29,22.0
2006-06-30,20.360001
2006-07-03,20.969998999999998
2006-07-05,20.870001000000002
2006-07-06,20.76
2006-07-07,20.98
2006-07-10,21.450001
2006-07-11,21.799999
2006-07-12,21.5
2006-07-13,21.610001
2006-07-14,21.83
2006-07-17,22.16
2006-07-18,21.780001000000002
2006-07-19,22.209999
2006-07-20,21.9
2006-07-21,21.190001000000002
2006-07-24,20.93
2006-07-25,21.030001000000002
2006-07-26,21.76
2006-07-27,21.4
2006-07-28,21.48
2006-07-31,20.959999
2006-08-01,20.34
2006-08-02,20.91
2006-08-03,20.35
2006-08-04,19.459999
2006-08-07,19.16
2006-08-08,18.790001
2006-08-09,18.780001000000002
2006-08-10,18.82
2006-08-11,19.02
2006-08-14,19.030001000000002
2006-08-15,19.58
2006-08-16,19.93
2006-08-17,20.299999
2006-08-18,20.08
2006-08-21,19.700001
2006-08-22,19.969998999999998
2006-08-23,20.219998999999998
2006-08-24,19.32
2006-08-25,19.27
2006-08-28,19.92
2006-08-29,21.16
2006-08-30,21.15
2006-08-31,20.98
2006-09-01,21.01
2006-09-05,21.110001
2006-09-06,20.280001000000002
2006-09-07,20.299999
2006-09-08,19.879998999999998
2006-09-11,20.57
2006-09-12,21.379998999999998
2006-09-13,22.51
2006-09-14,22.450001
2006-09-15,22.01
2006-09-18,21.959999
2006-09-19,20.91
2006-09-20,21.99
2006-09-21,21.9
2006-09-22,21.43
2006-09-25,21.92
2006-09-26,21.93
2006-09-27,21.5
2006-09-28,20.99
2006-09-29,20.42
2006-10-02,20.0
2006-10-03,20.02
2006-10-04,20.4
