Date,FAST
1987-08-20,0.063151
1987-08-21,0.0625
1987-08-24,0.063151
1987-08-25,0.06640599999999999
1987-08-26,0.067057
1987-08-27,0.067708
1987-08-28,0.067708
1987-08-31,0.067708
1987-09-01,0.067708
1987-09-02,0.064453
1987-09-03,0.064453
1987-09-04,0.06640599999999999
1987-09-08,0.064453
1987-09-09,0.06640599999999999
1987-09-10,0.06640599999999999
1987-09-11,0.06640599999999999
1987-09-14,0.065755
1987-09-15,0.07421900000000001
1987-09-16,0.07421900000000001
1987-09-17,0.07487
1987-09-18,0.07421900000000001
1987-09-21,0.076172
1987-09-22,0.076823
1987-09-23,0.078125
1987-09-24,0.078125
1987-09-25,0.076823
1987-09-28,0.076172
1987-09-29,0.079427
1987-09-30,0.077474
1987-10-01,0.08203099999999999
1987-10-02,0.089193
1987-10-05,0.091797
1987-10-06,0.093099
1987-10-07,0.091146
1987-10-08,0.091146
1987-10-09,0.088542
1987-10-12,0.085938
1987-10-13,0.08138
1987-10-14,0.08138
1987-10-15,0.080729
1987-10-16,0.08138
1987-10-19,0.065755
1987-10-20,0.0625
1987-10-21,0.06640599999999999
1987-10-22,0.06901
1987-10-23,0.065104
1987-10-26,0.056641
1987-10-27,0.054036
1987-10-28,0.05599
1987-10-29,0.05599
1987-10-30,0.06640599999999999
1987-11-02,0.06640599999999999
1987-11-03,0.065104
1987-11-04,0.067708
1987-11-05,0.065755
1987-11-06,0.06640599999999999
1987-11-09,0.067057
1987-11-10,0.063802
1987-11-11,0.065104
1987-11-12,0.06640599999999999
1987-11-13,0.065755
1987-11-16,0.065755
1987-11-17,0.063802
1987-11-18,0.063802
1987-11-19,0.063802
1987-11-20,0.063802
1987-11-23,0.065104
1987-11-24,0.06901
1987-11-25,0.06901
1987-11-27,0.06901
1987-11-30,0.06640599999999999
1987-12-01,0.067057
1987-12-02,0.065104
1987-12-03,0.06640599999999999
1987-12-04,0.064453
1987-12-07,0.063802
1987-12-08,0.063802
1987-12-09,0.065104
1987-12-10,0.065104
1987-12-11,0.06640599999999999
1987-12-14,0.067708
1987-12-15,0.071615
1987-12-16,0.070964
1987-12-17,0.072917
1987-12-18,0.07487
1987-12-21,0.075521
1987-12-22,0.072917
1987-12-23,0.076823
