Date,MKTX
2004-11-05,17.49
2004-11-08,18.700001
2004-11-09,18.57
2004-11-10,20.15
2004-11-11,21.0
2004-11-12,21.4
2004-11-15,21.610001
2004-11-16,22.200001
2004-11-17,22.0
2004-11-18,20.84
2004-11-19,21.5
2004-11-22,22.219998999999998
2004-11-23,21.190001000000002
2004-11-24,21.049999
2004-11-26,21.0
2004-11-29,20.23
2004-11-30,19.6
2004-12-01,20.040001
2004-12-02,21.639999
2004-12-03,21.440001000000002
2004-12-06,20.5
2004-12-07,19.440001000000002
2004-12-08,19.4
2004-12-09,20.0
2004-12-10,20.41
2004-12-13,19.4
2004-12-14,18.290001
2004-12-15,17.209999
2004-12-16,16.09
2004-12-17,15.93
2004-12-20,16.120001000000002
2004-12-21,16.969998999999998
2004-12-22,16.940001000000002
2004-12-23,17.190001000000002
2004-12-27,16.98
2004-12-28,16.91
2004-12-29,16.76
2004-12-30,17.18
2004-12-31,17.01
2005-01-03,15.95
2005-01-04,15.56
2005-01-05,15.6
2005-01-06,15.28
2005-01-07,15.5
2005-01-10,15.5
2005-01-11,15.92
2005-01-12,15.88
2005-01-13,15.08
2005-01-14,15.2
2005-01-18,14.99
2005-01-19,14.93
2005-01-20,14.68
2005-01-21,14.54
2005-01-24,14.1
2005-01-25,14.4
2005-01-26,14.35
2005-01-27,14.22
2005-01-28,14.23
2005-01-31,13.98
2005-02-01,13.96
2005-02-02,13.82
2005-02-03,12.09
2005-02-04,11.5
2005-02-07,11.4
2005-02-08,11.35
2005-02-09,11.97
2005-02-10,12.5
2005-02-11,12.48
2005-02-14,12.2
2005-02-15,13.05
2005-02-16,13.7
2005-02-17,12.94
2005-02-18,13.16
2005-02-22,13.0
2005-02-23,12.81
2005-02-24,12.64
2005-02-25,12.48
2005-02-28,11.82
2005-03-01,12.0
2005-03-02,12.0
2005-03-03,11.43
2005-03-04,11.43
2005-03-07,11.4
2005-03-08,11.11
2005-03-09,11.06
2005-03-10,11.22
2005-03-11,11.04
2005-03-14,11.2
2005-03-15,10.99
2005-03-16,11.0
2005-03-17,10.95
2005-03-18,10.94
2005-03-21,10.7
2005-03-22,10.92
2005-03-23,10.5
2005-03-24,10.41
2005-03-28,10.26
2005-03-29,9.88
2005-03-30,9.64
2005-03-31,11.17
2005-04-01,12.93
2005-04-04,12.76
2005-04-05,12.14
2005-04-06,12.0
2005-04-07,12.04
2005-04-08,11.96
2005-04-11,12.25
2005-04-12,12.56
2005-04-13,13.02
2005-04-14,13.6
2005-04-15,13.52
2005-04-18,13.84
2005-04-19,13.87
2005-04-20,13.21
2005-04-21,13.6
2005-04-22,12.76
2005-04-25,12.45
2005-04-26,12.05
2005-04-27,12.1
2005-04-28,12.09
2005-04-29,12.26
2005-05-02,12.23
2005-05-03,12.43
2005-05-04,11.3
2005-05-05,11.0
2005-05-06,11.23
2005-05-09,11.1
2005-05-10,11.0
2005-05-11,10.79
2005-05-12,10.52
2005-05-13,10.22
2005-05-16,10.3
2005-05-17,10.5
2005-05-18,10.2
2005-05-19,10.1
2005-05-20,9.9
2005-05-23,10.73
2005-05-24,10.85
2005-05-25,10.42
2005-05-26,10.44
2005-05-27,10.35
2005-05-31,10.0
2005-06-01,9.83
2005-06-02,10.06
2005-06-03,10.28
2005-06-06,10.3
2005-06-07,10.24
2005-06-08,9.93
2005-06-09,10.09
2005-06-10,10.2
2005-06-13,10.6
2005-06-14,11.43
2005-06-15,11.17
2005-06-16,11.55
2005-06-17,11.36
2005-06-20,11.33
2005-06-21,11.45
2005-06-22,11.65
2005-06-23,11.5
2005-06-24,11.58
2005-06-27,11.51
2005-06-28,11.5
2005-06-29,11.37
2005-06-30,11.3
2005-07-01,11.02
2005-07-05,10.85
2005-07-06,10.89
2005-07-07,10.52
2005-07-08,10.54
2005-07-11,11.3
2005-07-12,11.05
2005-07-13,10.86
2005-07-14,10.89
2005-07-15,10.87
2005-07-18,10.95
2005-07-19,10.97
2005-07-20,11.43
2005-07-21,11.06
2005-07-22,11.39
2005-07-25,11.02
2005-07-26,10.92
2005-07-27,10.99
2005-07-28,10.86
2005-07-29,10.95
2005-08-01,10.76
2005-08-02,10.76
2005-08-03,10.84
2005-08-04,10.56
2005-08-05,10.57
2005-08-08,10.22
2005-08-09,10.84
2005-08-10,10.28
2005-08-11,10.0
2005-08-12,10.04
2005-08-15,10.36
2005-08-16,10.0
2005-08-17,9.99
2005-08-18,9.99
2005-08-19,10.06
2005-08-22,10.06
2005-08-23,10.12
2005-08-24,10.5
2005-08-25,11.01
2005-08-26,11.01
2005-08-29,11.38
2005-08-30,11.14
2005-08-31,11.19
2005-09-01,11.05
2005-09-02,11.07
2005-09-06,11.29
2005-09-07,11.22
2005-09-08,11.3
2005-09-09,11.34
2005-09-12,12.2
2005-09-13,11.76
2005-09-14,11.2
2005-09-15,11.24
2005-09-16,11.74
2005-09-19,12.05
2005-09-20,12.16
2005-09-21,12.21
2005-09-22,12.76
2005-09-23,13.13
2005-09-26,13.33
2005-09-27,13.43
2005-09-28,14.09
2005-09-29,14.01
2005-09-30,13.6
2005-10-03,13.14
2005-10-04,12.79
2005-10-05,12.44
2005-10-06,12.44
2005-10-07,12.44
2005-10-10,12.28
2005-10-11,12.72
2005-10-12,12.3
2005-10-13,12.2
2005-10-14,12.0
2005-10-17,11.74
2005-10-18,11.55
2005-10-19,12.47
2005-10-20,12.05
2005-10-21,12.25
2005-10-24,12.54
2005-10-25,12.4
2005-10-26,12.36
2005-10-27,12.01
2005-10-28,12.34
2005-10-31,12.34
2005-11-01,11.96
2005-11-02,12.15
2005-11-03,12.63
2005-11-04,12.05
2005-11-07,12.39
2005-11-08,12.0
2005-11-09,11.94
2005-11-10,11.97
2005-11-11,12.07
2005-11-14,12.0
2005-11-15,11.69
2005-11-16,11.13
2005-11-17,11.15
2005-11-18,11.9
2005-11-21,12.0
2005-11-22,12.05
2005-11-23,12.27
2005-11-25,12.45
2005-11-28,12.3
2005-11-29,12.2
2005-11-30,12.21
2005-12-01,11.65
2005-12-02,11.76
2005-12-05,11.6
2005-12-06,11.38
2005-12-07,11.32
2005-12-08,11.47
2005-12-09,11.63
2005-12-12,11.4
2005-12-13,11.14
2005-12-14,11.24
2005-12-15,11.04
2005-12-16,11.14
2005-12-19,10.9
2005-12-20,10.85
2005-12-21,10.64
2005-12-22,11.09
2005-12-23,10.98
2005-12-27,10.7
2005-12-28,10.91
2005-12-29,10.87
2005-12-30,11.43
2006-01-03,11.22
2006-01-04,11.36
2006-01-05,11.07
2006-01-06,11.18
2006-01-09,11.64
2006-01-10,12.04
2006-01-11,12.0
2006-01-12,11.86
2006-01-13,11.75
2006-01-17,11.21
2006-01-18,11.1
2006-01-19,11.24
2006-01-20,11.1
2006-01-23,11.2
2006-01-24,11.43
2006-01-25,11.45
2006-01-26,11.99
2006-01-27,12.53
2006-01-30,12.92
2006-01-31,12.9
2006-02-01,12.61
2006-02-02,12.4
2006-02-03,12.53
2006-02-06,12.25
2006-02-07,12.08
2006-02-08,12.48
2006-02-09,12.5
2006-02-10,13.09
2006-02-13,13.09
2006-02-14,12.97
2006-02-15,12.79
2006-02-16,12.67
2006-02-17,12.81
2006-02-21,12.55
2006-02-22,12.7
2006-02-23,12.65
2006-02-24,12.74
2006-02-27,13.45
2006-02-28,13.15
2006-03-01,13.68
2006-03-02,13.34
2006-03-03,12.9
2006-03-06,13.01
2006-03-07,12.51
2006-03-08,12.59
2006-03-09,12.06
2006-03-10,12.05
2006-03-13,12.04
2006-03-14,11.99
2006-03-15,11.97
2006-03-16,11.93
2006-03-17,11.88
2006-03-20,12.27
2006-03-21,12.15
2006-03-22,12.2
2006-03-23,12.25
2006-03-24,12.35
2006-03-27,12.4
2006-03-28,12.29
2006-03-29,12.15
2006-03-30,12.16
2006-03-31,12.03
2006-04-03,12.03
2006-04-04,12.47
2006-04-05,12.45
2006-04-06,12.23
2006-04-07,11.83
2006-04-10,11.8
2006-04-11,11.19
2006-04-12,11.01
2006-04-13,10.91
2006-04-17,11.12
2006-04-18,11.02
2006-04-19,11.11
2006-04-20,11.06
2006-04-21,10.8
2006-04-24,10.58
2006-04-25,10.89
2006-04-26,11.03
2006-04-27,11.31
2006-04-28,11.16
2006-05-01,10.67
2006-05-02,10.48
2006-05-03,10.67
2006-05-04,10.78
2006-05-05,10.78
2006-05-08,10.8
2006-05-09,10.92
2006-05-10,10.76
2006-05-11,10.6
2006-05-12,10.4
2006-05-15,10.21
2006-05-16,10.16
2006-05-17,10.29
2006-05-18,9.96
2006-05-19,10.36
2006-05-22,11.27
2006-05-23,10.43
2006-05-24,10.4
2006-05-25,10.63
2006-05-26,10.83
2006-05-30,10.49
2006-05-31,10.95
2006-06-01,10.98
2006-06-02,10.6
2006-06-05,10.53
2006-06-06,10.48
2006-06-07,10.41
2006-06-08,10.8
2006-06-09,10.72
2006-06-12,10.57
2006-06-13,10.4
2006-06-14,10.51
2006-06-15,10.96
2006-06-16,10.99
2006-06-19,10.59
2006-06-20,10.55
2006-06-21,10.88
