Date,MET
2000-04-05,13.814617000000002
2000-04-06,13.870320999999999
2000-04-07,13.647504999999999
2000-04-10,13.758913
2000-04-11,13.480392000000002
2000-04-12,14.427361
2000-04-13,15.151515
2000-04-14,14.148841000000001
2000-04-17,14.371657
2000-04-18,14.371657
2000-04-19,14.260249
2000-04-20,13.758913
2000-04-24,14.204545000000001
2000-04-25,14.260249
2000-04-26,14.315953
2000-04-27,14.204545000000001
2000-04-28,14.761586
2000-05-01,16.04278
2000-05-02,15.875669
2000-05-03,15.597148
2000-05-04,15.597148
2000-05-05,15.652852
2000-05-08,16.04278
2000-05-09,15.262923
2000-05-10,15.652852
2000-05-11,16.04278
2000-05-12,16.432709
2000-05-15,16.878342
2000-05-16,16.98975
2000-05-17,16.98975
2000-05-18,16.864416000000002
2000-05-19,16.209892
2000-05-22,16.265596
2000-05-23,16.822638
2000-05-24,17.26827
2000-05-25,17.101157999999998
2000-05-26,17.602495
2000-05-30,17.713903
2000-05-31,18.270945
2000-06-01,17.825312
2000-06-02,18.716578
2000-06-05,18.326649
2000-06-06,18.215239999999998
2000-06-07,18.438057
2000-06-08,18.215239999999998
2000-06-09,18.716578
2000-06-12,18.215239999999998
2000-06-13,18.549464999999998
2000-06-14,17.825312
2000-06-15,17.825312
2000-06-16,17.881016
2000-06-19,17.825312
2000-06-20,16.766932999999998
2000-06-21,16.488413
2000-06-22,17.101157999999998
2000-06-23,17.212566
2000-06-26,17.101157999999998
2000-06-27,17.713903
2000-06-28,17.491087
2000-06-29,18.995098000000002
2000-06-30,18.688726000000003
2000-07-03,19.050801999999997
2000-07-05,18.827986
2000-07-06,19.496435
2000-07-07,19.496435
2000-07-10,19.106506
2000-07-11,18.549464999999998
2000-07-12,18.215239999999998
2000-07-13,17.658199
2000-07-14,18.605169
2000-07-17,18.103832
2000-07-18,18.159536
2000-07-19,18.215239999999998
2000-07-20,18.326649
2000-07-21,18.493761
2000-07-24,18.270945
2000-07-25,18.716578
2000-07-26,18.549464999999998
2000-07-27,18.215239999999998
2000-07-28,18.103832
2000-07-31,18.716578
2000-08-01,18.827986
2000-08-02,18.605169
2000-08-03,17.93672
