Date,PPL
1980-03-17,3.8129190000000004
1980-03-18,3.8129190000000004
1980-03-19,3.8129190000000004
1980-03-20,3.783813
1980-03-21,3.7256
1980-03-24,3.434537
1980-03-25,3.4636440000000004
1980-03-26,3.49275
1980-03-27,3.434537
1980-03-28,3.4636440000000004
1980-03-31,3.434537
1980-04-01,3.434537
1980-04-02,3.6382809999999997
1980-04-03,3.6382809999999997
1980-04-07,3.6964940000000004
1980-04-08,3.783813
1980-04-09,4.016662999999999
1980-04-10,4.1913
1980-04-11,4.278619
1980-04-14,4.162194
1980-04-15,4.103981
1980-04-16,4.220406
1980-04-17,4.220406
1980-04-18,4.307725
1980-04-21,4.336831
1980-04-22,4.336831
1980-04-23,4.453256
1980-04-24,4.453256
1980-04-25,4.42415
1980-04-28,4.453256
1980-04-29,4.395044
1980-04-30,4.395044
1980-05-01,4.336831
1980-05-02,4.365938
1980-05-05,4.42415
1980-05-06,4.42415
1980-05-07,4.453256
1980-05-08,4.453256
1980-05-09,4.42415
1980-05-12,4.511469
1980-05-13,4.453256
1980-05-14,4.511469
1980-05-15,4.540575
1980-05-16,4.511469
1980-05-19,4.569681
1980-05-20,4.569681
1980-05-21,4.569681
1980-05-22,4.569681
1980-05-23,4.598787000000001
1980-05-27,4.744319
1980-05-28,4.744319
1980-05-29,4.686106
1980-05-30,4.686106
1980-06-02,4.627894
1980-06-03,4.627894
1980-06-04,4.453256
1980-06-05,4.453256
1980-06-06,4.482362
1980-06-09,4.482362
1980-06-10,4.482362
1980-06-11,4.511469
1980-06-12,4.482362
1980-06-13,4.598787000000001
1980-06-16,4.627894
1980-06-17,4.657
1980-06-18,4.627894
1980-06-19,4.657
1980-06-20,4.598787000000001
1980-06-23,4.598787000000001
1980-06-24,4.657
1980-06-25,4.598787000000001
1980-06-26,4.540575
1980-06-27,4.569681
1980-06-30,4.511469
1980-07-01,4.395044
1980-07-02,4.395044
1980-07-03,4.365938
1980-07-07,4.42415
1980-07-08,4.42415
