Date,AVY
1973-02-21,5.15625
1973-02-22,5.171875
1973-02-23,5.140625
1973-02-26,5.125
1973-02-27,5.125
1973-02-28,5.125
1973-03-01,5.0625
1973-03-02,5.03125
1973-03-05,5.015625
1973-03-06,5.078125
1973-03-07,5.125
1973-03-08,5.109375
1973-03-09,5.09375
1973-03-12,5.0625
1973-03-13,5.03125
1973-03-14,5.109375
1973-03-15,5.1875
1973-03-16,5.1875
1973-03-19,5.234375
1973-03-20,5.25
1973-03-21,5.28125
1973-03-22,5.125
1973-03-23,5.125
1973-03-26,5.1875
1973-03-27,5.171875
1973-03-28,5.3125
1973-03-29,5.53125
1973-03-30,5.46875
1973-04-02,5.5
1973-04-03,5.5625
1973-04-04,5.609375
1973-04-05,5.546875
1973-04-06,5.375
1973-04-09,5.375
1973-04-10,5.296875
1973-04-11,5.0
1973-04-12,5.109375
1973-04-13,5.09375
1973-04-16,5.078125
1973-04-17,5.078125
1973-04-18,5.015625
1973-04-19,5.015625
1973-04-23,5.0
1973-04-24,5.0
1973-04-25,4.796875
1973-04-26,4.671875
1973-04-27,4.6875
1973-04-30,4.75
1973-05-01,4.875
1973-05-02,4.875
1973-05-03,4.953125
1973-05-04,5.125
1973-05-07,5.09375
1973-05-08,5.0625
1973-05-09,5.21875
1973-05-10,5.1875
1973-05-11,5.078125
1973-05-14,5.03125
1973-05-15,4.921875
1973-05-16,4.890625
1973-05-17,4.796875
1973-05-18,4.5625
1973-05-21,4.53125
1973-05-22,4.75
1973-05-23,4.78125
1973-05-24,4.90625
1973-05-25,5.09375
1973-05-29,5.015625
1973-05-30,4.9375
1973-05-31,4.84375
1973-06-01,4.875
1973-06-04,4.84375
1973-06-05,4.796875
1973-06-06,4.8125
1973-06-07,4.921875
1973-06-08,4.96875
1973-06-11,4.9375
1973-06-12,5.03125
1973-06-13,5.0
1973-06-14,5.046875
1973-06-15,4.890625
1973-06-18,4.859375
1973-06-19,4.8125
1973-06-20,4.875
1973-06-21,4.890625
1973-06-22,4.921875
1973-06-25,4.9375
1973-06-26,4.953125
1973-06-27,5.0
1973-06-28,5.25
1973-06-29,5.203125
1973-07-02,5.15625
1973-07-03,5.125
1973-07-05,5.203125
1973-07-06,5.234375
1973-07-09,5.171875
1973-07-10,5.140625
1973-07-11,5.203125
1973-07-12,5.21875
1973-07-13,5.171875
1973-07-16,5.28125
1973-07-17,5.328125
1973-07-18,5.3125
1973-07-19,5.328125
1973-07-20,5.3125
1973-07-23,5.21875
1973-07-24,5.28125
1973-07-25,5.34375
1973-07-26,5.359375
1973-07-27,5.46875
1973-07-30,5.53125
1973-07-31,5.5
1973-08-01,5.46875
1973-08-02,5.40625
1973-08-03,5.40625
1973-08-06,5.4375
1973-08-07,5.5
1973-08-08,5.46875
1973-08-09,5.46875
1973-08-10,5.53125
1973-08-13,5.5625
1973-08-14,5.65625
1973-08-15,5.78125
1973-08-16,5.8125
1973-08-17,5.75
1973-08-20,5.71875
1973-08-21,5.6875
1973-08-22,5.671875
1973-08-23,5.671875
1973-08-24,5.6875
1973-08-27,5.640625
1973-08-28,5.625
1973-08-29,5.65625
1973-08-30,5.71875
1973-08-31,5.71875
1973-09-04,5.984375
1973-09-05,5.796875
1973-09-06,5.8125
1973-09-07,5.828125
1973-09-10,5.8125
1973-09-11,5.71875
1973-09-12,5.703125
1973-09-13,5.6875
1973-09-14,5.828125
1973-09-17,5.828125
1973-09-18,5.9375
1973-09-19,6.1875
1973-09-20,6.359375
1973-09-21,6.328125
1973-09-24,6.234375
1973-09-25,6.21875
1973-09-26,6.296875
1973-09-27,6.28125
1973-09-28,6.3125
1973-10-01,6.375
1973-10-02,6.40625
1973-10-03,6.359375
1973-10-04,6.265625
1973-10-05,6.265625
1973-10-08,6.25
1973-10-09,6.3125
1973-10-10,6.28125
1973-10-11,6.265625
1973-10-12,6.234375
1973-10-15,6.25
1973-10-16,6.25
1973-10-17,6.234375
1973-10-18,6.109375
1973-10-19,5.953125
1973-10-22,5.796875
1973-10-23,5.65625
1973-10-24,5.6875
1973-10-25,5.75
1973-10-26,5.765625
1973-10-29,5.75
1973-10-30,5.71875
1973-10-31,5.734375
1973-11-01,5.859375
1973-11-02,5.875
1973-11-05,5.8125
1973-11-06,5.75
1973-11-07,5.671875
1973-11-08,5.671875
1973-11-09,5.671875
1973-11-12,5.671875
1973-11-13,5.34375
1973-11-14,5.1875
1973-11-15,5.0625
1973-11-16,5.0625
1973-11-19,4.8125
1973-11-20,4.53125
1973-11-21,4.6875
1973-11-23,4.6875
1973-11-26,4.71875
1973-11-27,4.75
1973-11-28,4.90625
1973-11-29,5.0
1973-11-30,5.03125
1973-12-03,4.984375
1973-12-04,5.03125
1973-12-05,4.953125
1973-12-06,4.890625
1973-12-07,4.859375
1973-12-10,4.75
1973-12-11,4.671875
1973-12-12,4.34375
1973-12-13,4.28125
1973-12-14,4.125
1973-12-17,4.171875
1973-12-18,4.390625
1973-12-19,4.375
1973-12-20,4.4375
1973-12-21,4.375
1973-12-24,4.34375
1973-12-26,4.625
1973-12-27,4.5625
1973-12-28,4.40625
1973-12-31,4.40625
1974-01-02,4.40625
1974-01-03,4.703125
1974-01-04,4.78125
1974-01-07,4.75
1974-01-08,4.765625
1974-01-09,4.546875
1974-01-10,4.328125
1974-01-11,4.359375
1974-01-14,4.53125
1974-01-15,4.5
1974-01-16,4.78125
1974-01-17,4.78125
1974-01-18,4.6875
1974-01-21,4.53125
1974-01-22,4.6875
1974-01-23,4.65625
1974-01-24,4.8125
1974-01-25,4.875
1974-01-28,4.84375
1974-01-29,4.78125
1974-01-30,4.75
1974-01-31,4.90625
1974-02-01,4.8125
1974-02-04,4.671875
1974-02-05,4.625
1974-02-06,4.5625
1974-02-07,4.53125
1974-02-08,4.34375
1974-02-11,4.390625
1974-02-12,4.234375
1974-02-13,4.234375
1974-02-14,4.203125
1974-02-15,4.296875
1974-02-19,4.25
1974-02-20,4.28125
1974-02-21,4.28125
1974-02-22,4.34375
1974-02-25,4.5
1974-02-26,4.625
1974-02-27,4.65625
1974-02-28,4.59375
1974-03-01,4.578125
1974-03-04,4.53125
1974-03-05,4.578125
1974-03-06,4.703125
1974-03-07,4.75
1974-03-08,4.796875
1974-03-11,4.84375
1974-03-12,4.90625
1974-03-13,5.1875
1974-03-14,5.3125
1974-03-15,5.265625
1974-03-18,5.265625
1974-03-19,5.203125
1974-03-20,5.171875
1974-03-21,5.1875
1974-03-22,5.203125
1974-03-25,5.21875
1974-03-26,5.09375
1974-03-27,5.03125
1974-03-28,4.875
1974-03-29,4.828125
1974-04-01,4.828125
1974-04-02,4.796875
1974-04-03,5.0
1974-04-04,5.0
1974-04-05,4.953125
1974-04-08,5.0
1974-04-09,4.953125
1974-04-10,4.953125
1974-04-11,4.9375
1974-04-15,4.96875
1974-04-16,5.0
1974-04-17,5.15625
1974-04-18,5.09375
1974-04-19,5.046875
1974-04-22,5.015625
1974-04-23,5.015625
1974-04-24,4.984375
1974-04-25,4.90625
1974-04-26,4.875
1974-04-29,4.921875
1974-04-30,5.0
1974-05-01,5.015625
1974-05-02,5.09375
1974-05-03,5.09375
1974-05-06,5.046875
1974-05-07,5.09375
1974-05-08,5.09375
1974-05-09,5.09375
1974-05-10,5.0625
1974-05-13,5.0625
1974-05-14,5.09375
1974-05-15,5.0
1974-05-16,4.953125
1974-05-17,4.96875
1974-05-20,4.9375
1974-05-21,4.921875
1974-05-22,4.9375
1974-05-23,5.0625
1974-05-24,5.03125
1974-05-28,5.03125
1974-05-29,5.0625
1974-05-30,5.0625
1974-05-31,4.96875
1974-06-03,4.984375
