Date,FTNT
2009-11-18,8.31
2009-11-19,8.445
2009-11-20,8.47
2009-11-23,8.45
2009-11-24,8.505
2009-11-25,8.6
2009-11-27,8.445
2009-11-30,8.495
2009-12-01,8.41
2009-12-02,8.31
2009-12-03,8.34
2009-12-04,8.64
2009-12-07,8.46
2009-12-08,8.275
2009-12-09,8.495
2009-12-10,8.46
2009-12-11,8.47
2009-12-14,8.5
2009-12-15,8.5
2009-12-16,9.125
2009-12-17,8.975
2009-12-18,8.79
2009-12-21,8.815
2009-12-22,8.615
2009-12-23,8.98
2009-12-24,9.18
2009-12-28,8.865
2009-12-29,9.175
2009-12-30,9.01
2009-12-31,8.785
2010-01-04,9.0
2010-01-05,9.195
2010-01-06,9.705
2010-01-07,9.725
2010-01-08,10.055
2010-01-11,10.025
2010-01-12,9.895
2010-01-13,9.72
2010-01-14,9.95
2010-01-15,9.815
2010-01-19,9.9
2010-01-20,9.53
2010-01-21,9.195
2010-01-22,8.94
2010-01-25,9.005
2010-01-26,9.155
2010-01-27,9.325
2010-01-28,8.9
2010-01-29,8.615
2010-02-01,8.725
2010-02-02,8.565
2010-02-03,8.22
2010-02-04,7.85
2010-02-05,7.845
2010-02-08,7.95
2010-02-09,8.295
2010-02-10,8.43
2010-02-11,8.335
2010-02-12,8.26
2010-02-16,8.255
2010-02-17,8.46
2010-02-18,8.665
2010-02-19,8.665
2010-02-22,8.485
2010-02-23,8.34
2010-02-24,8.285
2010-02-25,8.38
2010-02-26,8.59
2010-03-01,8.995
2010-03-02,8.73
2010-03-03,8.545
2010-03-04,8.435
2010-03-05,8.525
2010-03-08,8.62
2010-03-09,8.505
2010-03-10,8.33
2010-03-11,8.185
2010-03-12,8.17
2010-03-15,8.165
2010-03-16,8.24
2010-03-17,8.47
2010-03-18,8.59
2010-03-19,8.55
2010-03-22,8.565
2010-03-23,8.67
2010-03-24,8.605
2010-03-25,8.6
2010-03-26,8.525
2010-03-29,8.7
2010-03-30,8.83
2010-03-31,8.79
2010-04-01,8.845
2010-04-05,8.655
2010-04-06,8.605
2010-04-07,8.66
2010-04-08,8.505
2010-04-09,8.43
2010-04-12,8.51
2010-04-13,8.22
2010-04-14,8.525
2010-04-15,8.23
2010-04-16,8.1
2010-04-19,8.125
2010-04-20,8.33
2010-04-21,8.21
2010-04-22,8.18
2010-04-23,8.29
2010-04-26,8.13
2010-04-27,8.215
2010-04-28,8.41
2010-04-29,8.9
2010-04-30,8.89
2010-05-03,9.315
2010-05-04,8.955
2010-05-05,8.815
2010-05-06,8.595
2010-05-07,8.23
2010-05-10,8.45
2010-05-11,8.375
2010-05-12,8.585
2010-05-13,8.375
2010-05-14,8.07
2010-05-17,8.375
2010-05-18,8.285
2010-05-19,8.265
2010-05-20,8.11
2010-05-21,8.13
2010-05-24,8.02
2010-05-25,7.86
2010-05-26,8.1
2010-05-27,8.1
2010-05-28,8.16
2010-06-01,7.865
2010-06-02,8.0
2010-06-03,7.89
2010-06-04,7.595
2010-06-07,7.52
2010-06-08,7.5
2010-06-09,7.55
2010-06-10,7.725
2010-06-11,7.9
2010-06-14,8.095
2010-06-15,8.21
2010-06-16,8.125
2010-06-17,8.25
2010-06-18,8.57
2010-06-21,8.525
2010-06-22,8.49
2010-06-23,8.39
2010-06-24,8.545
2010-06-25,8.775
2010-06-28,8.735
2010-06-29,8.535
2010-06-30,8.22
2010-07-01,8.13
2010-07-02,8.095
2010-07-06,8.135
2010-07-07,8.35
2010-07-08,8.505
2010-07-09,8.485
2010-07-12,8.33
2010-07-13,8.425
2010-07-14,8.425
2010-07-15,8.3
2010-07-16,8.14
2010-07-19,8.07
2010-07-20,8.06
2010-07-21,8.0
2010-07-22,8.66
2010-07-23,8.905
2010-07-26,9.04
2010-07-27,8.97
2010-07-28,8.86
2010-07-29,8.9
2010-07-30,9.005
2010-08-02,9.08
2010-08-03,9.095
2010-08-04,9.205
2010-08-05,8.99
2010-08-06,9.095
2010-08-09,9.085
2010-08-10,8.935
2010-08-11,8.605
2010-08-12,8.68
2010-08-13,8.78
2010-08-16,8.85
2010-08-17,9.04
2010-08-18,9.105
2010-08-19,8.9
2010-08-20,9.19
2010-08-23,9.205
2010-08-24,9.215
2010-08-25,9.3
2010-08-26,9.415
2010-08-27,9.995
2010-08-30,10.015
2010-08-31,10.19
2010-09-01,10.49
2010-09-02,10.915
2010-09-03,10.585
2010-09-07,10.235
2010-09-08,10.44
2010-09-09,11.005
2010-09-10,10.755
2010-09-13,10.95
2010-09-14,11.46
2010-09-15,11.2
2010-09-16,11.4
2010-09-17,12.5
2010-09-20,12.555
2010-09-21,12.335
2010-09-22,11.91
2010-09-23,11.835
2010-09-24,12.0
2010-09-27,12.335
2010-09-28,12.18
2010-09-29,12.605
2010-09-30,12.5
2010-10-01,12.5
2010-10-04,12.765
2010-10-05,12.765
2010-10-06,12.095
2010-10-07,12.04
2010-10-08,12.095
2010-10-11,12.5
2010-10-12,12.495
2010-10-13,12.51
2010-10-14,12.64
2010-10-15,13.015
2010-10-18,13.06
2010-10-19,12.59
2010-10-20,12.58
2010-10-21,12.35
2010-10-22,14.815
2010-10-25,15.125
2010-10-26,15.685
2010-10-27,15.67
2010-10-28,15.0
2010-10-29,15.0
2010-11-01,15.94
2010-11-02,15.495
2010-11-03,15.5
2010-11-04,15.28
2010-11-05,15.645
2010-11-08,15.49
2010-11-09,15.595
2010-11-10,15.49
2010-11-11,15.215
2010-11-12,15.16
2010-11-15,15.5
2010-11-16,15.69
2010-11-17,15.64
2010-11-18,16.280001000000002
2010-11-19,15.97
2010-11-22,15.83
2010-11-23,15.72
2010-11-24,15.935
2010-11-26,15.85
2010-11-29,15.76
2010-11-30,15.935
2010-12-01,16.1
2010-12-02,16.219998999999998
2010-12-03,16.629998999999998
2010-12-06,16.455
2010-12-07,16.355
2010-12-08,16.344998999999998
2010-12-09,16.73
2010-12-10,16.665001
2010-12-13,15.955
2010-12-14,15.54
2010-12-15,15.705
2010-12-16,15.89
2010-12-17,16.049999
2010-12-20,16.01
2010-12-21,15.99
2010-12-22,15.84
2010-12-23,15.675
2010-12-27,16.254998999999998
2010-12-28,15.825
2010-12-29,16.09
2010-12-30,16.09
2010-12-31,16.174999
2011-01-03,16.549999
2011-01-04,17.485001
2011-01-05,18.25
2011-01-06,18.190001000000002
2011-01-07,17.615
2011-01-10,18.004998999999998
2011-01-11,18.030001000000002
2011-01-12,18.290001
2011-01-13,18.395
2011-01-14,18.684998999999998
2011-01-18,18.334999
2011-01-19,17.795
2011-01-20,17.475
2011-01-21,17.545
2011-01-24,17.245001000000002
2011-01-25,16.959999
2011-01-26,19.825001
2011-01-27,18.9
2011-01-28,18.475
2011-01-31,19.225
2011-02-01,19.73
2011-02-02,19.504998999999998
2011-02-03,19.440001000000002
2011-02-04,20.434998999999998
2011-02-07,19.879998999999998
2011-02-08,20.235001
2011-02-09,20.084999
2011-02-10,20.33
2011-02-11,20.315001000000002
2011-02-14,20.5
2011-02-15,20.23
2011-02-16,20.629998999999998
2011-02-17,20.655001000000002
2011-02-18,20.85
2011-02-22,19.805
2011-02-23,19.940001000000002
2011-02-24,20.389999
2011-02-25,20.75
2011-02-28,20.42
2011-03-01,19.834999
2011-03-02,20.184998999999998
2011-03-03,21.115
2011-03-04,21.625
2011-03-07,21.555
2011-03-08,21.639999
2011-03-09,21.605
2011-03-10,21.075001
2011-03-11,21.5
2011-03-14,21.809998999999998
2011-03-15,21.120001000000002
2011-03-16,20.514999
2011-03-17,20.725
2011-03-18,21.15
2011-03-21,21.889999
2011-03-22,21.15
2011-03-23,20.51
2011-03-24,20.855
2011-03-25,21.525
2011-03-28,21.155001000000002
2011-03-29,21.700001
2011-03-30,21.5
2011-03-31,22.075001
2011-04-01,20.389999
2011-04-04,21.745001000000002
2011-04-05,22.245001000000002
2011-04-06,21.0
2011-04-07,19.905001000000002
2011-04-08,19.780001000000002
2011-04-11,19.530001000000002
2011-04-12,18.940001000000002
2011-04-13,20.145
2011-04-14,20.08
2011-04-15,20.299999
2011-04-18,19.615
2011-04-19,19.385
2011-04-20,20.15
2011-04-21,20.209999
2011-04-25,20.43
2011-04-26,20.575001
2011-04-27,20.865
2011-04-28,23.885
2011-04-29,24.35
2011-05-02,23.125
2011-05-03,22.615
2011-05-04,22.084999
2011-05-05,23.094998999999998
2011-05-06,23.254998999999998
2011-05-09,23.719998999999998
2011-05-10,23.605
2011-05-11,23.035
2011-05-12,23.504998999999998
2011-05-13,23.48
2011-05-16,23.4
2011-05-17,23.325001
2011-05-18,23.655001000000002
2011-05-19,24.315001000000002
2011-05-20,24.264999
2011-05-23,23.42
2011-05-24,23.24
2011-05-25,23.959999
2011-05-26,23.655001000000002
2011-05-27,23.93
2011-05-31,24.245001000000002
2011-06-01,24.85
2011-06-02,23.51
2011-06-03,23.440001000000002
2011-06-06,23.700001
2011-06-07,24.200001
2011-06-08,23.950001
2011-06-09,23.790001
2011-06-10,22.66
2011-06-13,22.75
2011-06-14,22.889999
2011-06-15,22.309998999999998
2011-06-16,23.17
2011-06-17,22.66
2011-06-20,22.719998999999998
2011-06-21,24.639999
2011-06-22,24.66
2011-06-23,25.120001000000002
2011-06-24,25.85
2011-06-27,26.01
2011-06-28,26.709999
2011-06-29,26.91
2011-06-30,27.290001
2011-07-01,27.58
2011-07-05,27.9
2011-07-06,28.17
2011-07-07,27.59
2011-07-08,28.049999
2011-07-11,27.35
2011-07-12,26.860001
2011-07-13,27.48
2011-07-14,26.98
2011-07-15,26.85
2011-07-18,26.530001000000002
2011-07-19,26.780001000000002
2011-07-20,21.610001
2011-07-21,20.700001
