Date,IBM
1962-01-02,7.626666999999999
1962-01-03,7.693333
1962-01-04,7.616667
1962-01-05,7.466667
1962-01-08,7.326667
1962-01-09,7.413333000000001
1962-01-10,7.426667
1962-01-11,7.506667
1962-01-12,7.52
1962-01-15,7.553333
1962-01-16,7.473333
1962-01-17,7.353333
1962-01-18,7.373333000000001
1962-01-19,7.38
1962-01-22,7.366667
1962-01-23,7.293334
1962-01-24,7.3333330000000005
1962-01-25,7.253334
1962-01-26,7.216667
1962-01-29,7.093333
1962-01-30,7.003334
1962-01-31,7.226666000000001
1962-02-01,7.393333
1962-02-02,7.44
1962-02-05,7.346667
1962-02-06,7.353333
1962-02-07,7.36
1962-02-08,7.366667
1962-02-09,7.42
1962-02-12,7.426667
1962-02-13,7.306667
1962-02-14,7.293334
1962-02-15,7.266667
1962-02-16,7.26
1962-02-19,7.186666000000001
1962-02-20,7.19
1962-02-21,7.136667
1962-02-23,7.16
1962-02-26,7.133333
1962-02-27,7.146667
1962-02-28,7.16
1962-03-01,7.246666
1962-03-02,7.306667
1962-03-05,7.28
1962-03-06,7.286667
1962-03-07,7.31
1962-03-08,7.326667
1962-03-09,7.373333000000001
1962-03-12,7.366667
1962-03-13,7.36
1962-03-14,7.346667
1962-03-15,7.3333330000000005
1962-03-16,7.366667
1962-03-19,7.386667
1962-03-20,7.34
1962-03-21,7.346667
1962-03-22,7.266667
1962-03-23,7.293334
1962-03-26,7.29
1962-03-27,7.153333
1962-03-28,7.193333
1962-03-29,7.173333
1962-03-30,7.103333
1962-04-02,7.006667
1962-04-03,6.8333330000000005
1962-04-04,6.803333
1962-04-05,6.946667
1962-04-06,6.94
1962-04-09,6.946667
1962-04-10,6.973333
1962-04-11,6.88
1962-04-12,6.806667
1962-04-13,6.906667
1962-04-16,6.9
1962-04-17,6.933333
1962-04-18,6.92
1962-04-19,6.92
1962-04-23,6.913333000000001
1962-04-24,6.906667
1962-04-25,6.8333330000000005
1962-04-26,6.66
1962-04-27,6.473333
1962-04-30,6.053333
1962-05-01,6.16
1962-05-02,6.3
1962-05-03,6.43
1962-05-04,6.48
1962-05-07,6.336666999999999
1962-05-08,6.126666999999999
1962-05-09,6.013333
1962-05-10,6.04
1962-05-11,5.946667
1962-05-14,6.06
1962-05-15,6.026667
1962-05-16,6.093333
1962-05-17,5.986667
1962-05-18,6.02
1962-05-21,6.0
1962-05-22,5.8
1962-05-23,5.536667
1962-05-24,5.306667
1962-05-25,5.313333999999999
1962-05-28,4.813333999999999
1962-05-29,5.106667
1962-05-31,5.233333
1962-06-01,5.133333
1962-06-04,4.8
1962-06-05,4.855
1962-06-06,4.873333000000001
1962-06-07,4.933333
1962-06-08,4.95
1962-06-11,4.786667
1962-06-12,4.468333
1962-06-13,4.301667
1962-06-14,4.08
1962-06-15,4.446667
1962-06-18,4.396667
1962-06-19,4.48
1962-06-20,4.373333000000001
1962-06-21,4.21
1962-06-22,4.266667
1962-06-25,4.433333
1962-06-26,4.266667
1962-06-27,4.44
1962-06-28,4.586666999999999
1962-06-29,4.523333999999999
1962-07-02,4.6666669999999995
1962-07-03,4.686666000000001
1962-07-05,4.6666669999999995
1962-07-06,4.6
1962-07-09,4.67
