Date,TGT
1973-02-21,0.427083
1973-02-22,0.408854
1973-02-23,0.403646
1973-02-26,0.395833
1973-02-27,0.390625
1973-02-28,0.395833
1973-03-01,0.403646
1973-03-02,0.40625
1973-03-05,0.398438
1973-03-06,0.398438
1973-03-07,0.398438
1973-03-08,0.380208
1973-03-09,0.393229
1973-03-12,0.390625
1973-03-13,0.395833
1973-03-14,0.390625
1973-03-15,0.390625
1973-03-16,0.393229
1973-03-19,0.390625
1973-03-20,0.385417
1973-03-21,0.388021
1973-03-22,0.380208
1973-03-23,0.377604
1973-03-26,0.369792
1973-03-27,0.369792
1973-03-28,0.369792
1973-03-29,0.359375
1973-03-30,0.359375
1973-04-02,0.346354
1973-04-03,0.348958
1973-04-04,0.359375
1973-04-05,0.377604
1973-04-06,0.401042
1973-04-09,0.395833
1973-04-10,0.395833
1973-04-11,0.395833
1973-04-12,0.403646
1973-04-13,0.398438
1973-04-16,0.401042
1973-04-17,0.385417
1973-04-18,0.388021
1973-04-19,0.393229
1973-04-23,0.367188
1973-04-24,0.354167
1973-04-25,0.351563
1973-04-26,0.361979
1973-04-27,0.361979
1973-04-30,0.372396
1973-05-01,0.361979
1973-05-02,0.354167
1973-05-03,0.364583
1973-05-04,0.375
1973-05-07,0.372396
1973-05-08,0.367188
1973-05-09,0.369792
1973-05-10,0.354167
1973-05-11,0.348958
1973-05-14,0.341146
1973-05-15,0.346354
1973-05-16,0.361979
1973-05-17,0.356771
1973-05-18,0.354167
1973-05-21,0.354167
1973-05-22,0.351563
1973-05-23,0.351563
1973-05-24,0.364583
1973-05-25,0.369792
1973-05-29,0.359375
1973-05-30,0.359375
1973-05-31,0.356771
1973-06-01,0.354167
1973-06-04,0.348958
1973-06-05,0.348958
1973-06-06,0.351563
1973-06-07,0.351563
1973-06-08,0.359375
1973-06-11,0.364583
1973-06-12,0.375
1973-06-13,0.375
1973-06-14,0.369792
1973-06-15,0.354167
1973-06-18,0.354167
1973-06-19,0.351563
1973-06-20,0.351563
1973-06-21,0.34375
1973-06-22,0.346354
1973-06-25,0.34375
1973-06-26,0.34375
1973-06-27,0.34375
1973-06-28,0.341146
1973-06-29,0.341146
1973-07-02,0.341146
1973-07-03,0.341146
1973-07-05,0.34375
1973-07-06,0.34375
1973-07-09,0.34375
1973-07-10,0.338542
1973-07-11,0.333333
1973-07-12,0.333333
1973-07-13,0.325521
1973-07-16,0.325521
1973-07-17,0.317708
1973-07-18,0.322917
1973-07-19,0.333333
1973-07-20,0.330729
1973-07-23,0.320313
1973-07-24,0.294271
1973-07-25,0.307292
1973-07-26,0.296875
1973-07-27,0.304688
1973-07-30,0.299479
1973-07-31,0.294271
1973-08-01,0.291667
1973-08-02,0.291667
1973-08-03,0.286458
1973-08-06,0.294271
1973-08-07,0.294271
1973-08-08,0.286458
1973-08-09,0.28125
1973-08-10,0.283854
1973-08-13,0.291667
1973-08-14,0.273438
1973-08-15,0.278646
1973-08-16,0.28125
1973-08-17,0.276042
1973-08-20,0.268229
1973-08-21,0.268229
1973-08-22,0.260417
1973-08-23,0.24218800000000001
1973-08-24,0.244792
1973-08-27,0.25
1973-08-28,0.25
1973-08-29,0.263021
1973-08-30,0.257813
1973-08-31,0.265625
1973-09-04,0.25
1973-09-05,0.257813
1973-09-06,0.265625
1973-09-07,0.273438
1973-09-10,0.286458
1973-09-11,0.28125
1973-09-12,0.28125
1973-09-13,0.278646
1973-09-14,0.273438
1973-09-17,0.28125
1973-09-18,0.283854
1973-09-19,0.278646
1973-09-20,0.291667
1973-09-21,0.28125
1973-09-24,0.283854
1973-09-25,0.283854
1973-09-26,0.286458
1973-09-27,0.302083
1973-09-28,0.302083
1973-10-01,0.294271
1973-10-02,0.304688
1973-10-03,0.302083
1973-10-04,0.320313
1973-10-05,0.320313
1973-10-08,0.304688
1973-10-09,0.294271
1973-10-10,0.296875
1973-10-11,0.304688
1973-10-12,0.276042
1973-10-15,0.270833
1973-10-16,0.276042
1973-10-17,0.268229
1973-10-18,0.265625
1973-10-19,0.252604
1973-10-22,0.257813
