Date,WFC
1996-10-16,10.59375
1996-10-17,10.71875
1996-10-18,10.78125
1996-10-21,10.8125
1996-10-22,10.71875
1996-10-23,10.71875
1996-10-24,10.625
1996-10-25,10.71875
1996-10-28,10.59375
1996-10-29,10.8125
1996-10-30,10.84375
1996-10-31,10.96875
1996-11-01,10.90625
1996-11-04,11.0
1996-11-05,11.15625
1996-11-06,11.09375
1996-11-07,11.0625
1996-11-08,10.90625
1996-11-11,10.84375
1996-11-12,10.75
1996-11-13,10.71875
1996-11-14,10.9375
1996-11-15,10.90625
1996-11-18,10.875
1996-11-19,11.25
1996-11-20,11.09375
1996-11-21,11.0625
1996-11-22,11.34375
1996-11-25,11.53125
1996-11-26,11.5625
