Date,KMI
2011-02-11,31.049999
2011-02-14,30.700001
2011-02-15,30.940001000000002
2011-02-16,30.719998999999998
2011-02-17,30.549999
2011-02-18,31.370001000000002
2011-02-22,30.719998999999998
2011-02-23,30.42
2011-02-24,30.459999
2011-02-25,30.5
2011-02-28,30.5
2011-03-01,30.450001
2011-03-02,30.57
2011-03-03,30.77
2011-03-04,30.85
2011-03-07,30.9
2011-03-08,30.969998999999998
2011-03-09,30.75
2011-03-10,30.1
2011-03-11,30.1
2011-03-14,29.99
2011-03-15,29.879998999999998
2011-03-16,30.049999
2011-03-17,30.15
2011-03-18,30.5
2011-03-21,30.82
2011-03-22,30.700001
2011-03-23,30.02
2011-03-24,30.049999
2011-03-25,29.52
2011-03-28,29.620001000000002
2011-03-29,29.790001
2011-03-30,29.690001000000002
2011-03-31,29.639999
2011-04-01,29.5
2011-04-04,29.440001000000002
2011-04-05,29.440001000000002
2011-04-06,29.459999
2011-04-07,29.219998999999998
2011-04-08,29.33
2011-04-11,29.25
2011-04-12,28.73
2011-04-13,28.83
2011-04-14,29.120001000000002
2011-04-15,28.879998999999998
2011-04-18,28.52
2011-04-19,28.780001000000002
2011-04-20,29.450001
2011-04-21,29.629998999999998
2011-04-25,29.360001
2011-04-26,29.120001000000002
2011-04-27,28.860001
2011-04-28,28.83
2011-04-29,28.58
2011-05-02,28.82
2011-05-03,28.190001000000002
2011-05-04,27.959999
2011-05-05,27.98
2011-05-06,28.0
2011-05-09,28.290001
2011-05-10,28.52
2011-05-11,28.309998999999998
2011-05-12,28.450001
2011-05-13,27.93
2011-05-16,27.540001
2011-05-17,27.5
2011-05-18,27.559998999999998
2011-05-19,28.290001
2011-05-20,28.5
2011-05-23,28.33
2011-05-24,29.059998999999998
2011-05-25,29.02
2011-05-26,28.690001000000002
2011-05-27,29.18
2011-05-31,29.290001
2011-06-01,29.0
2011-06-02,29.379998999999998
2011-06-03,29.75
2011-06-06,29.52
2011-06-07,29.790001
2011-06-08,29.73
