Date,VRSN
1999-01-12,16.875
1999-01-13,16.5625
1999-01-14,16.9375
1999-01-15,18.25
1999-01-19,22.15625
1999-01-20,20.5625
1999-01-21,19.125
1999-01-22,19.75
1999-01-25,19.328125
1999-01-26,20.375
1999-01-27,22.5
1999-01-28,23.375
1999-01-29,23.8125
1999-02-01,22.8125
1999-02-02,23.859375
1999-02-03,23.570313
1999-02-04,22.40625
1999-02-05,22.25
1999-02-08,22.0625
1999-02-09,20.84375
1999-02-10,20.25
1999-02-11,23.5
1999-02-12,22.5
1999-02-16,22.25
1999-02-17,21.75
1999-02-18,22.0625
1999-02-19,22.8125
1999-02-22,24.28125
1999-02-23,27.125
1999-02-24,25.8125
1999-02-25,24.40625
1999-02-26,24.5
1999-03-01,25.0625
1999-03-02,23.859375
1999-03-03,24.21875
1999-03-04,24.375
1999-03-05,26.0625
1999-03-08,29.75
1999-03-09,30.953125
1999-03-10,30.8125
1999-03-11,30.9375
1999-03-12,29.9375
1999-03-15,30.703125
1999-03-16,31.125
1999-03-17,30.25
1999-03-18,29.625
1999-03-19,29.34375
1999-03-22,29.8125
1999-03-23,28.875
1999-03-24,30.46875
1999-03-25,33.734375
1999-03-26,33.25
1999-03-29,34.5625
1999-03-30,33.65625
1999-03-31,38.5
1999-04-01,37.4375
1999-04-05,38.875
1999-04-06,40.28125
1999-04-07,37.65625
1999-04-08,36.640625
1999-04-09,38.1875
1999-04-12,44.125
1999-04-13,43.125
1999-04-14,40.4375
1999-04-15,39.140625
1999-04-16,36.09375
1999-04-19,27.5
1999-04-20,28.125
1999-04-21,36.40625
1999-04-22,36.671875
1999-04-23,32.765625
1999-04-26,35.34375
1999-04-27,31.015625
1999-04-28,25.8125
1999-04-29,27.5
1999-04-30,28.75
1999-05-03,27.96875
1999-05-04,25.28125
1999-05-05,27.59375
1999-05-06,26.15625
1999-05-07,26.75
1999-05-10,28.25
1999-05-11,30.0
1999-05-12,30.1875
1999-05-13,31.703125
1999-05-14,32.015625
1999-05-17,32.289063
1999-05-18,32.1875
1999-05-19,33.1875
1999-05-20,34.890625
1999-05-21,34.296875
1999-05-24,31.0
1999-05-25,27.96875
1999-05-26,26.4375
1999-05-27,27.78125
1999-05-28,29.625
1999-06-01,28.0
1999-06-02,30.0625
1999-06-03,28.5
1999-06-04,29.625
1999-06-07,30.625
1999-06-08,29.25
1999-06-09,29.3125
1999-06-10,28.5
1999-06-11,27.25
1999-06-14,24.625
1999-06-15,24.8125
1999-06-16,27.96875
1999-06-17,28.3125
1999-06-18,32.96875
1999-06-21,35.0625
1999-06-22,33.90625
1999-06-23,33.5
1999-06-24,36.46875
1999-06-25,34.25
1999-06-28,37.0
1999-06-29,38.9375
1999-06-30,43.125
1999-07-01,41.28125
1999-07-02,42.46875
1999-07-06,44.03125
1999-07-07,42.9375
1999-07-08,44.8125
1999-07-09,44.5
1999-07-12,42.046875
1999-07-13,41.09375
1999-07-14,44.375
1999-07-15,46.40625
1999-07-16,47.125
1999-07-19,43.4375
1999-07-20,41.25
1999-07-21,42.71875
1999-07-22,38.09375
1999-07-23,41.1875
1999-07-26,37.625
1999-07-27,38.65625
1999-07-28,38.625
1999-07-29,37.9375
1999-07-30,37.0625
1999-08-02,36.0
1999-08-03,32.625
1999-08-04,29.46875
1999-08-05,35.0625
1999-08-06,35.125
1999-08-09,32.9375
1999-08-10,35.25
1999-08-11,36.5625
1999-08-12,39.375
1999-08-13,41.5
1999-08-16,42.90625
1999-08-17,44.625
1999-08-18,45.28125
1999-08-19,44.125
1999-08-20,43.46875
1999-08-23,47.4375
1999-08-24,50.34375
1999-08-25,53.125
1999-08-26,55.25
1999-08-27,51.1875
1999-08-30,52.6875
1999-08-31,54.15625
1999-09-01,53.96875
1999-09-02,51.71875
1999-09-03,54.625
1999-09-07,56.0625
1999-09-08,55.4375
1999-09-09,55.3125
1999-09-10,56.1875
1999-09-13,53.9375
1999-09-14,55.5
1999-09-15,54.4375
1999-09-16,53.625
1999-09-17,55.125
1999-09-20,58.0
1999-09-21,54.0625
1999-09-22,52.96875
1999-09-23,52.5
1999-09-24,51.0625
1999-09-27,52.21875
1999-09-28,51.375
1999-09-29,52.0
1999-09-30,53.25
1999-10-01,52.171875
1999-10-04,51.4375
1999-10-05,56.1875
1999-10-06,57.1875
1999-10-07,59.8125
1999-10-08,57.625
1999-10-11,59.3125
1999-10-12,57.65625
1999-10-13,54.25
1999-10-14,54.9375
1999-10-15,53.03125
1999-10-18,51.15625
1999-10-19,52.4375
1999-10-20,52.59375
1999-10-21,56.8125
1999-10-22,56.0
