Date,HOG
1987-06-04,0.5195310000000001
1987-06-05,0.5351560000000001
1987-06-08,0.5351560000000001
1987-06-09,0.5351560000000001
1987-06-10,0.546875
1987-06-11,0.546875
1987-06-12,0.5625
1987-06-15,0.5820310000000001
1987-06-16,0.5820310000000001
1987-06-17,0.609375
1987-06-18,0.6210939999999999
1987-06-19,0.6054689999999999
1987-06-22,0.585938
1987-06-23,0.585938
1987-06-24,0.554688
1987-06-25,0.5742189999999999
1987-06-26,0.5742189999999999
1987-06-29,0.59375
1987-06-30,0.6054689999999999
1987-07-01,0.6054689999999999
1987-07-02,0.6367189999999999
1987-07-06,0.65625
1987-07-07,0.65625
1987-07-08,0.640625
1987-07-09,0.6445310000000001
1987-07-10,0.6523439999999999
1987-07-13,0.632813
1987-07-14,0.6445310000000001
1987-07-15,0.671875
1987-07-16,0.6601560000000001
1987-07-17,0.6835939999999999
1987-07-20,0.671875
1987-07-21,0.6601560000000001
1987-07-22,0.664063
1987-07-23,0.671875
1987-07-24,0.6523439999999999
1987-07-27,0.6875
1987-07-28,0.703125
1987-07-29,0.734375
1987-07-30,0.7460939999999999
1987-07-31,0.734375
1987-08-03,0.7382810000000001
1987-08-04,0.742188
1987-08-05,0.7617189999999999
1987-08-06,0.7773439999999999
1987-08-07,0.7382810000000001
1987-08-10,0.7382810000000001
1987-08-11,0.757813
1987-08-12,0.75
1987-08-13,0.742188
1987-08-14,0.71875
1987-08-17,0.710938
1987-08-18,0.75
1987-08-19,0.742188
1987-08-20,0.75
1987-08-21,0.757813
1987-08-24,0.75
1987-08-25,0.75
1987-08-26,0.7226560000000001
1987-08-27,0.695313
1987-08-28,0.695313
1987-08-31,0.7070310000000001
1987-09-01,0.7148439999999999
1987-09-02,0.703125
1987-09-03,0.703125
1987-09-04,0.7148439999999999
1987-09-08,0.6875
1987-09-09,0.703125
1987-09-10,0.71875
1987-09-11,0.7304689999999999
1987-09-14,0.7460939999999999
1987-09-15,0.7539060000000001
1987-09-16,0.75
1987-09-17,0.742188
1987-09-18,0.7617189999999999
1987-09-21,0.757813
1987-09-22,0.765625
1987-09-23,0.8007810000000001
1987-09-24,0.8125
1987-09-25,0.7929689999999999
1987-09-28,0.789063
1987-09-29,0.78125
