Date,RE
1995-10-03,19.625
1995-10-04,18.75
1995-10-05,19.375
1995-10-06,19.875
1995-10-09,19.375
1995-10-10,19.25
1995-10-11,19.375
1995-10-12,19.375
1995-10-13,20.0
1995-10-16,19.75
1995-10-17,19.75
1995-10-18,19.625
1995-10-19,19.625
1995-10-20,19.5
1995-10-23,19.25
1995-10-24,19.0
1995-10-25,19.0
1995-10-26,19.0
1995-10-27,19.25
1995-10-30,19.25
1995-10-31,20.375
1995-11-01,20.375
1995-11-02,20.5
1995-11-03,20.75
1995-11-06,20.625
1995-11-07,20.625
1995-11-08,20.75
1995-11-09,20.75
1995-11-10,20.375
1995-11-13,20.5
1995-11-14,20.625
1995-11-15,20.5
1995-11-16,20.375
1995-11-17,20.625
1995-11-20,20.5
1995-11-21,20.75
1995-11-22,20.875
1995-11-24,20.875
1995-11-27,20.75
1995-11-28,20.75
1995-11-29,20.75
1995-11-30,20.875
1995-12-01,21.25
1995-12-04,21.0
1995-12-05,21.125
1995-12-06,21.0
1995-12-07,21.375
1995-12-08,21.25
1995-12-11,21.5
1995-12-12,21.5
1995-12-13,21.625
1995-12-14,21.875
1995-12-15,22.25
1995-12-18,22.125
1995-12-19,23.0
1995-12-20,22.375
1995-12-21,22.875
1995-12-22,22.875
1995-12-26,23.0
1995-12-27,22.875
1995-12-28,22.625
1995-12-29,23.375
1996-01-02,22.875
1996-01-03,22.75
1996-01-04,22.25
1996-01-05,22.5
1996-01-08,22.375
1996-01-09,22.375
1996-01-10,22.375
1996-01-11,22.25
1996-01-12,22.375
1996-01-15,22.25
1996-01-16,22.25
1996-01-17,22.375
1996-01-18,22.0
1996-01-19,22.0
1996-01-22,20.75
1996-01-23,21.875
1996-01-24,22.5
1996-01-25,22.0
1996-01-26,21.875
1996-01-29,22.5
1996-01-30,22.375
1996-01-31,21.75
1996-02-01,22.0
1996-02-02,22.0
1996-02-05,21.25
1996-02-06,20.875
1996-02-07,20.75
1996-02-08,21.5
1996-02-09,21.875
1996-02-12,22.625
1996-02-13,22.5
1996-02-14,22.25
1996-02-15,22.5
1996-02-16,23.25
1996-02-20,22.75
1996-02-21,22.75
1996-02-22,23.125
1996-02-23,23.125
1996-02-26,23.0
1996-02-27,23.5
1996-02-28,24.5
1996-02-29,24.5
1996-03-01,23.875
1996-03-04,25.0
1996-03-05,24.875
1996-03-06,25.0
1996-03-07,24.625
1996-03-08,23.5
1996-03-11,23.0
1996-03-12,22.5
1996-03-13,22.25
1996-03-14,22.5
1996-03-15,22.0
1996-03-18,22.25
1996-03-19,22.375
1996-03-20,22.625
1996-03-21,22.25
1996-03-22,23.875
1996-03-25,24.125
1996-03-26,24.0
1996-03-27,24.0
1996-03-28,23.625
1996-03-29,23.625
1996-04-01,24.25
1996-04-02,23.75
1996-04-03,23.75
1996-04-04,23.375
1996-04-08,23.0
1996-04-09,23.625
1996-04-10,23.125
1996-04-11,22.75
1996-04-12,23.0
1996-04-15,23.125
1996-04-16,22.75
1996-04-17,21.5
1996-04-18,22.5
1996-04-19,22.375
1996-04-22,22.375
1996-04-23,22.375
1996-04-24,22.5
1996-04-25,22.375
1996-04-26,22.375
1996-04-29,22.0
1996-04-30,22.75
1996-05-01,22.75
1996-05-02,22.125
1996-05-03,22.0
1996-05-06,22.0
1996-05-07,23.125
1996-05-08,23.125
1996-05-09,23.125
1996-05-10,23.125
1996-05-13,23.375
1996-05-14,23.875
1996-05-15,24.375
1996-05-16,23.75
1996-05-17,24.0
1996-05-20,23.75
1996-05-21,23.875
1996-05-22,23.875
1996-05-23,23.5
1996-05-24,24.0
1996-05-28,23.75
1996-05-29,23.25
1996-05-30,23.5
1996-05-31,23.375
1996-06-03,23.625
1996-06-04,23.625
1996-06-05,24.125
1996-06-06,24.75
1996-06-07,24.5
1996-06-10,24.5
1996-06-11,25.75
1996-06-12,25.75
1996-06-13,25.5
1996-06-14,25.625
1996-06-17,26.0
1996-06-18,25.875
1996-06-19,25.25
1996-06-20,24.875
1996-06-21,24.75
1996-06-24,24.25
1996-06-25,24.625
1996-06-26,25.0
1996-06-27,24.875
1996-06-28,25.875
1996-07-01,25.625
1996-07-02,25.375
1996-07-03,25.0
1996-07-05,24.625
1996-07-08,24.125
1996-07-09,24.125
1996-07-10,24.75
1996-07-11,24.5
1996-07-12,24.5
1996-07-15,23.125
1996-07-16,22.625
1996-07-17,23.75
1996-07-18,24.125
1996-07-19,24.125
1996-07-22,24.375
1996-07-23,23.875
1996-07-24,22.875
1996-07-25,23.5
1996-07-26,23.875
1996-07-29,24.5
1996-07-30,24.0
1996-07-31,24.125
1996-08-01,25.0
1996-08-02,25.125
1996-08-05,24.5
1996-08-06,24.75
1996-08-07,24.75
1996-08-08,24.75
1996-08-09,24.625
1996-08-12,24.625
1996-08-13,24.25
1996-08-14,24.875
1996-08-15,26.25
1996-08-16,26.0
1996-08-19,25.875
1996-08-20,25.75
1996-08-21,25.5
1996-08-22,25.125
1996-08-23,24.5
1996-08-26,24.5
1996-08-27,24.625
1996-08-28,25.0
1996-08-29,24.875
1996-08-30,24.375
1996-09-03,24.125
1996-09-04,24.375
1996-09-05,24.875
1996-09-06,24.875
1996-09-09,25.0
1996-09-10,25.0
1996-09-11,25.375
1996-09-12,25.375
1996-09-13,25.25
1996-09-16,25.5
1996-09-17,25.125
1996-09-18,24.875
1996-09-19,24.75
1996-09-20,24.875
1996-09-23,24.875
1996-09-24,24.375
1996-09-25,24.25
1996-09-26,23.875
1996-09-27,24.75
1996-09-30,24.75
1996-10-01,24.375
1996-10-02,24.375
1996-10-03,24.375
1996-10-04,25.625
1996-10-07,27.125
1996-10-08,28.0
1996-10-09,26.5
1996-10-10,25.625
1996-10-11,25.75
1996-10-14,25.375
1996-10-15,25.625
1996-10-16,27.0
1996-10-17,26.0
1996-10-18,27.0
1996-10-21,26.5
1996-10-22,26.25
1996-10-23,25.875
1996-10-24,25.75
1996-10-25,25.125
1996-10-28,24.875
1996-10-29,25.75
1996-10-30,25.5
1996-10-31,25.5
1996-11-01,24.875
1996-11-04,25.5
1996-11-05,26.25
1996-11-06,26.375
1996-11-07,26.125
1996-11-08,26.125
1996-11-11,26.625
1996-11-12,26.5
1996-11-13,26.875
1996-11-14,26.875
1996-11-15,26.875
1996-11-18,26.625
1996-11-19,26.625
1996-11-20,26.875
1996-11-21,27.25
1996-11-22,28.125
1996-11-25,29.25
1996-11-26,28.5
1996-11-27,28.625
1996-11-29,28.125
1996-12-02,28.125
1996-12-03,27.125
1996-12-04,26.375
1996-12-05,27.125
1996-12-06,26.125
1996-12-09,27.0
1996-12-10,26.5
1996-12-11,26.75
1996-12-12,27.625
1996-12-13,27.25
1996-12-16,26.375
1996-12-17,25.875
1996-12-18,25.625
1996-12-19,26.0
1996-12-20,26.375
1996-12-23,26.5
1996-12-24,26.0
1996-12-26,26.375
1996-12-27,27.5
1996-12-30,27.5
1996-12-31,28.75
1997-01-02,27.375
1997-01-03,28.125
1997-01-06,27.625
1997-01-07,26.875
1997-01-08,26.625
1997-01-09,27.25
1997-01-10,27.375
1997-01-13,26.25
1997-01-14,27.25
1997-01-15,26.5
1997-01-16,26.5
1997-01-17,26.875
1997-01-20,28.0
1997-01-21,28.25
1997-01-22,27.5
1997-01-23,28.125
1997-01-24,27.875
1997-01-27,27.875
1997-01-28,27.5
1997-01-29,26.625
1997-01-30,27.25
1997-01-31,27.5
1997-02-03,28.0
1997-02-04,28.0
1997-02-05,27.875
1997-02-06,27.875
1997-02-07,28.0
1997-02-10,28.125
1997-02-11,27.875
1997-02-12,28.0
1997-02-13,28.25
1997-02-14,29.0
1997-02-18,29.375
1997-02-19,30.375
1997-02-20,30.25
1997-02-21,30.125
1997-02-24,30.25
1997-02-25,30.75
1997-02-26,32.25
1997-02-27,31.75
1997-02-28,31.5
1997-03-03,31.75
1997-03-04,31.5
1997-03-05,31.5
1997-03-06,31.375
1997-03-07,31.625
1997-03-10,31.625
1997-03-11,31.5
1997-03-12,32.375
1997-03-13,31.875
1997-03-14,31.5
1997-03-17,30.5
1997-03-18,30.375
1997-03-19,30.5
1997-03-20,30.375
1997-03-21,30.25
1997-03-24,30.0
1997-03-25,29.75
1997-03-26,29.5
1997-03-27,29.5
1997-03-31,29.375
1997-04-01,29.375
1997-04-02,29.0
1997-04-03,27.875
1997-04-04,27.5
1997-04-07,27.5
1997-04-08,27.625
1997-04-09,27.625
1997-04-10,27.375
1997-04-11,26.875
1997-04-14,27.0
1997-04-15,27.125
1997-04-16,26.875
1997-04-17,27.625
1997-04-18,28.375
1997-04-21,28.25
1997-04-22,28.5
1997-04-23,28.5
1997-04-24,28.25
1997-04-25,28.375
1997-04-28,28.875
1997-04-29,29.625
1997-04-30,28.75
1997-05-01,30.0
1997-05-02,30.0
1997-05-05,30.5
1997-05-06,31.625
1997-05-07,31.625
1997-05-08,32.625
1997-05-09,32.875
1997-05-12,33.25
1997-05-13,33.0
1997-05-14,33.0
1997-05-15,32.25
1997-05-16,32.625
1997-05-19,32.25
1997-05-20,32.125
1997-05-21,33.0
1997-05-22,32.875
1997-05-23,32.75
1997-05-27,33.75
1997-05-28,34.625
1997-05-29,34.625
1997-05-30,34.0
1997-06-02,34.0
1997-06-03,33.75
1997-06-04,33.875
1997-06-05,34.0
1997-06-06,33.875
1997-06-09,34.125
1997-06-10,33.875
1997-06-11,34.625
1997-06-12,35.125
1997-06-13,34.75
1997-06-16,35.125
1997-06-17,35.5
1997-06-18,35.875
1997-06-19,36.25
1997-06-20,35.75
1997-06-23,35.125
1997-06-24,36.0
1997-06-25,36.75
1997-06-26,37.0
1997-06-27,37.875
1997-06-30,39.625
1997-07-01,38.375
1997-07-02,38.0
1997-07-03,38.0
1997-07-07,37.75
1997-07-08,37.5
1997-07-09,37.625
1997-07-10,37.25
1997-07-11,37.25
1997-07-14,37.3125
1997-07-15,37.125
1997-07-16,36.875
1997-07-17,36.6875
1997-07-18,36.25
1997-07-21,35.5
1997-07-22,34.75
1997-07-23,36.0625
1997-07-24,35.625
1997-07-25,35.6875
1997-07-28,35.625
1997-07-29,37.5
