Date,NEE
1973-02-21,9.0625
1973-02-22,9.1875
1973-02-23,9.3125
1973-02-26,9.28125
1973-02-27,9.375
1973-02-28,9.5
1973-03-01,9.5625
1973-03-02,9.5625
1973-03-05,9.59375
1973-03-06,9.65625
1973-03-07,9.75
1973-03-08,9.6875
1973-03-09,9.65625
1973-03-12,9.6875
1973-03-13,9.96875
1973-03-14,9.75
1973-03-15,9.5625
1973-03-16,9.1875
1973-03-19,9.09375
1973-03-20,9.125
1973-03-21,9.03125
1973-03-22,8.9375
1973-03-23,8.84375
1973-03-26,8.59375
1973-03-27,8.75
1973-03-28,8.625
1973-03-29,8.59375
1973-03-30,8.53125
1973-04-02,8.46875
1973-04-03,8.3125
1973-04-04,8.75
1973-04-05,8.75
1973-04-06,8.8125
1973-04-09,8.8125
1973-04-10,9.21875
1973-04-11,9.40625
1973-04-12,9.4375
1973-04-13,9.375
1973-04-16,9.6875
1973-04-17,9.5
1973-04-18,9.625
1973-04-19,9.625
1973-04-23,9.625
1973-04-24,9.53125
1973-04-25,9.46875
1973-04-26,9.375
1973-04-27,9.5
1973-04-30,9.5625
1973-05-01,9.4375
1973-05-02,9.5
1973-05-03,9.65625
1973-05-04,9.71875
1973-05-07,9.5625
1973-05-08,9.65625
1973-05-09,9.6875
1973-05-10,9.75
1973-05-11,9.65625
1973-05-14,9.40625
1973-05-15,9.4375
1973-05-16,9.6875
1973-05-17,9.59375
1973-05-18,9.5
1973-05-21,9.46875
1973-05-22,9.28125
1973-05-23,9.21875
1973-05-24,9.40625
1973-05-25,9.5625
1973-05-29,9.625
1973-05-30,9.625
1973-05-31,9.625
1973-06-01,9.53125
1973-06-04,9.4375
1973-06-05,9.5625
1973-06-06,9.5625
1973-06-07,9.6875
1973-06-08,9.5625
1973-06-11,9.59375
1973-06-12,9.625
1973-06-13,9.59375
1973-06-14,9.625
1973-06-15,9.46875
1973-06-18,9.3125
1973-06-19,9.34375
1973-06-20,9.3125
1973-06-21,9.15625
1973-06-22,9.25
1973-06-25,9.15625
1973-06-26,9.15625
1973-06-27,9.15625
1973-06-28,9.15625
1973-06-29,8.96875
1973-07-02,8.84375
1973-07-03,8.84375
1973-07-05,8.84375
1973-07-06,8.71875
1973-07-09,8.75
1973-07-10,8.6875
1973-07-11,8.75
1973-07-12,8.75
1973-07-13,8.71875
1973-07-16,8.71875
1973-07-17,8.71875
1973-07-18,8.75
1973-07-19,8.75
1973-07-20,8.78125
1973-07-23,8.9375
1973-07-24,8.96875
1973-07-25,8.96875
1973-07-26,8.9375
1973-07-27,8.84375
1973-07-30,8.8125
1973-07-31,8.71875
1973-08-01,8.65625
1973-08-02,8.40625
1973-08-03,8.40625
1973-08-06,8.46875
1973-08-07,8.5
1973-08-08,8.5
1973-08-09,8.40625
1973-08-10,8.34375
1973-08-13,8.25
1973-08-14,8.15625
1973-08-15,8.21875
1973-08-16,8.21875
1973-08-17,8.21875
1973-08-20,8.3125
1973-08-21,8.25
1973-08-22,8.28125
1973-08-23,8.25
1973-08-24,8.34375
1973-08-27,8.34375
1973-08-28,8.28125
1973-08-29,8.25
1973-08-30,8.40625
1973-08-31,8.40625
1973-09-04,8.53125
1973-09-05,8.5625
1973-09-06,8.78125
1973-09-07,8.96875
1973-09-10,8.90625
1973-09-11,8.8125
1973-09-12,8.75
1973-09-13,8.71875
1973-09-14,8.84375
1973-09-17,8.84375
1973-09-18,8.84375
1973-09-19,8.84375
1973-09-20,8.875
1973-09-21,9.0625
1973-09-24,9.375
1973-09-25,9.375
1973-09-26,9.625
1973-09-27,9.59375
1973-09-28,9.46875
1973-10-01,9.1875
1973-10-02,9.375
1973-10-03,9.3125
1973-10-04,9.3125
1973-10-05,9.4375
1973-10-08,9.3125
1973-10-09,9.25
1973-10-10,9.0625
1973-10-11,9.1875
1973-10-12,9.28125
1973-10-15,9.1875
1973-10-16,9.125
1973-10-17,9.125
1973-10-18,9.1875
1973-10-19,9.3125
1973-10-22,9.21875
1973-10-23,9.3125
1973-10-24,9.25
1973-10-25,9.3125
1973-10-26,9.4375
1973-10-29,9.59375
1973-10-30,9.5625
1973-10-31,9.46875
1973-11-01,9.21875
1973-11-02,9.25
1973-11-05,8.75
1973-11-06,8.75
1973-11-07,8.6875
1973-11-08,8.3125
1973-11-09,8.15625
1973-11-12,8.21875
1973-11-13,8.03125
1973-11-14,7.8125
1973-11-15,8.03125
1973-11-16,8.0625
1973-11-19,7.875
1973-11-20,7.84375
1973-11-21,7.78125
1973-11-23,7.78125
1973-11-26,7.71875
1973-11-27,7.65625
1973-11-28,7.25
1973-11-29,7.21875
1973-11-30,6.875
1973-12-03,6.25
1973-12-04,6.4375
1973-12-05,6.28125
1973-12-06,6.3125
1973-12-07,6.625
1973-12-10,7.03125
1973-12-11,6.65625
1973-12-12,6.3125
1973-12-13,6.21875
1973-12-14,6.25
1973-12-17,6.0625
1973-12-18,6.25
1973-12-19,6.3125
1973-12-20,6.40625
1973-12-21,6.40625
1973-12-24,6.4375
1973-12-26,6.3125
1973-12-27,6.0625
1973-12-28,6.15625
1973-12-31,6.15625
1974-01-02,6.1875
1974-01-03,6.625
1974-01-04,7.1875
1974-01-07,7.0625
1974-01-08,6.6875
1974-01-09,6.59375
1974-01-10,6.46875
1974-01-11,6.65625
1974-01-14,6.78125
1974-01-15,6.625
1974-01-16,6.65625
1974-01-17,6.75
1974-01-18,6.6875
1974-01-21,6.65625
1974-01-22,6.71875
1974-01-23,6.8125
1974-01-24,6.8125
1974-01-25,6.75
1974-01-28,6.78125
1974-01-29,6.78125
1974-01-30,6.6875
1974-01-31,6.5625
1974-02-01,6.59375
1974-02-04,6.375
1974-02-05,6.3125
1974-02-06,6.25
1974-02-07,6.375
1974-02-08,6.375
1974-02-11,6.4375
1974-02-12,6.4375
1974-02-13,6.40625
1974-02-14,6.40625
1974-02-15,6.3125
1974-02-19,6.125
1974-02-20,6.0625
1974-02-21,6.09375
1974-02-22,6.09375
1974-02-25,6.1875
1974-02-26,6.1875
1974-02-27,6.21875
1974-02-28,6.28125
1974-03-01,6.21875
1974-03-04,6.15625
1974-03-05,6.0625
1974-03-06,6.0625
1974-03-07,5.9375
1974-03-08,5.9375
1974-03-11,6.0625
1974-03-12,6.0625
1974-03-13,6.4375
1974-03-14,6.3125
1974-03-15,6.375
1974-03-18,6.125
1974-03-19,6.0625
1974-03-20,6.0625
1974-03-21,6.0
1974-03-22,6.03125
1974-03-25,6.0625
1974-03-26,6.0
1974-03-27,5.9375
1974-03-28,5.6875
1974-03-29,5.625
1974-04-01,5.4375
1974-04-02,5.34375
1974-04-03,5.40625
1974-04-04,5.40625
1974-04-05,5.28125
1974-04-08,5.34375
1974-04-09,5.3125
1974-04-10,5.21875
1974-04-11,5.15625
1974-04-15,5.0625
1974-04-16,5.09375
1974-04-17,5.09375
1974-04-18,5.1875
1974-04-19,5.1875
1974-04-22,5.125
1974-04-23,4.9375
1974-04-24,4.8125
1974-04-25,4.75
1974-04-26,4.71875
1974-04-29,4.5625
1974-04-30,4.34375
1974-05-01,4.40625
1974-05-02,4.40625
1974-05-03,4.40625
1974-05-06,4.59375
1974-05-07,4.625
1974-05-08,4.65625
1974-05-09,4.90625
1974-05-10,4.8125
1974-05-13,4.875
1974-05-14,4.96875
1974-05-15,4.9375
1974-05-16,5.0
1974-05-17,4.90625
1974-05-20,5.0
1974-05-21,4.96875
1974-05-22,4.75
1974-05-23,4.78125
1974-05-24,4.84375
1974-05-28,4.78125
1974-05-29,4.6875
1974-05-30,4.71875
1974-05-31,4.8125
1974-06-03,4.875
1974-06-04,5.0
1974-06-05,5.15625
1974-06-06,5.25
1974-06-07,5.25
1974-06-10,5.34375
1974-06-11,5.25
1974-06-12,5.125
1974-06-13,5.0625
1974-06-14,4.8125
1974-06-17,4.6875
1974-06-18,4.6875
1974-06-19,4.5
1974-06-20,4.53125
1974-06-21,4.5
1974-06-24,4.375
1974-06-25,4.4375
1974-06-26,4.375
1974-06-27,4.28125
1974-06-28,4.40625
1974-07-01,4.3125
1974-07-02,4.21875
1974-07-03,4.1875
1974-07-05,4.1875
1974-07-08,4.25
1974-07-09,4.40625
1974-07-10,4.3125
1974-07-11,4.3125
1974-07-12,4.375
1974-07-15,4.34375
1974-07-16,4.34375
1974-07-17,4.4375
1974-07-18,4.375
1974-07-19,4.40625
1974-07-22,4.375
1974-07-23,4.5625
1974-07-24,4.75
1974-07-25,5.0
1974-07-26,4.875
1974-07-29,4.75
1974-07-30,4.65625
1974-07-31,4.5
1974-08-01,4.4375
1974-08-02,4.46875
1974-08-05,4.34375
1974-08-06,4.46875
1974-08-07,4.5
1974-08-08,4.46875
1974-08-09,4.5
1974-08-12,4.34375
1974-08-13,4.3125
1974-08-14,4.34375
1974-08-15,4.25
1974-08-16,4.25
1974-08-19,4.25
1974-08-20,4.1875
1974-08-21,4.1875
1974-08-22,4.09375
1974-08-23,3.90625
1974-08-26,3.9375
1974-08-27,3.75
1974-08-28,3.5625
1974-08-29,3.65625
1974-08-30,3.71875
1974-09-03,3.8125
1974-09-04,3.71875
1974-09-05,3.75
1974-09-06,3.75
1974-09-09,3.75
1974-09-10,3.6875
1974-09-11,3.6875
1974-09-12,3.59375
1974-09-13,3.5
1974-09-16,3.59375
1974-09-17,3.65625
1974-09-18,3.75
1974-09-19,4.0
1974-09-20,4.125
1974-09-23,4.15625
1974-09-24,4.21875
1974-09-25,4.0625
1974-09-26,4.0
1974-09-27,4.09375
1974-09-30,4.0625
1974-10-01,4.03125
1974-10-02,4.0625
1974-10-03,4.0625
1974-10-04,4.0625
1974-10-07,4.1875
1974-10-08,4.15625
1974-10-09,4.53125
1974-10-10,4.84375
1974-10-11,4.6875
1974-10-14,4.875
1974-10-15,4.75
1974-10-16,4.65625
1974-10-17,4.59375
1974-10-18,4.34375
1974-10-21,4.125
1974-10-22,4.125
1974-10-23,4.0625
1974-10-24,4.0625
1974-10-25,4.0625
1974-10-28,4.03125
1974-10-29,4.1875
1974-10-30,4.28125
1974-10-31,4.375
1974-11-01,4.34375
1974-11-04,4.3125
1974-11-05,4.40625
1974-11-06,4.46875
1974-11-07,4.5625
1974-11-08,4.59375
1974-11-11,4.5
1974-11-12,4.34375
1974-11-13,4.3125
1974-11-14,4.3125
1974-11-15,4.40625
1974-11-18,4.34375
1974-11-19,4.3125
1974-11-20,4.125
1974-11-21,4.21875
1974-11-22,4.1875
1974-11-25,4.21875
1974-11-26,4.09375
1974-11-27,4.15625
1974-11-29,4.15625
1974-12-02,4.03125
1974-12-03,3.8125
1974-12-04,3.78125
1974-12-05,3.75
1974-12-06,3.78125
1974-12-09,3.78125
1974-12-10,3.875
1974-12-11,3.9375
1974-12-12,3.9375
1974-12-13,3.9375
1974-12-16,3.9375
1974-12-17,3.9375
1974-12-18,3.96875
1974-12-19,4.0
