Date,MDT
1973-05-02,0.351563
1973-05-03,0.351563
1973-05-04,0.37695300000000004
1973-05-07,0.371094
1973-05-08,0.375
1973-05-09,0.371094
1973-05-10,0.367188
1973-05-11,0.34570300000000004
1973-05-14,0.324219
1973-05-15,0.339844
1973-05-16,0.355469
1973-05-17,0.347656
1973-05-18,0.328125
1973-05-21,0.324219
1973-05-22,0.335938
1973-05-23,0.335938
1973-05-24,0.351563
1973-05-25,0.367188
1973-05-29,0.367188
1973-05-30,0.349609
1973-05-31,0.351563
1973-06-01,0.347656
1973-06-04,0.32617199999999996
1973-06-05,0.349609
1973-06-06,0.351563
1973-06-07,0.36132800000000004
1973-06-08,0.371094
1973-06-11,0.359375
1973-06-12,0.375
1973-06-13,0.37695300000000004
1973-06-14,0.382813
1973-06-15,0.382813
1973-06-18,0.375
1973-06-19,0.363281
1973-06-20,0.36132800000000004
1973-06-21,0.351563
1973-06-22,0.359375
1973-06-25,0.353516
1973-06-26,0.359375
1973-06-27,0.363281
1973-06-28,0.367188
1973-06-29,0.365234
1973-07-02,0.332031
1973-07-03,0.347656
1973-07-05,0.36132800000000004
1973-07-06,0.36132800000000004
1973-07-09,0.369141
1973-07-10,0.375
1973-07-11,0.37695300000000004
1973-07-12,0.378906
1973-07-13,0.375
1973-07-16,0.375
1973-07-17,0.37695300000000004
1973-07-18,0.382813
1973-07-19,0.386719
1973-07-20,0.382813
1973-07-23,0.375
1973-07-24,0.378906
1973-07-25,0.384766
1973-07-26,0.386719
1973-07-27,0.416016
1973-07-30,0.425781
1973-07-31,0.414063
1973-08-01,0.414063
1973-08-02,0.421875
1973-08-03,0.429688
1973-08-06,0.441406
1973-08-07,0.433594
1973-08-08,0.410156
1973-08-09,0.386719
1973-08-10,0.375
1973-08-13,0.367188
1973-08-14,0.367188
1973-08-15,0.375
1973-08-16,0.37695300000000004
1973-08-17,0.382813
1973-08-20,0.380859
1973-08-21,0.382813
1973-08-22,0.402344
1973-08-23,0.414063
1973-08-24,0.410156
1973-08-27,0.40820300000000004
1973-08-28,0.433594
1973-08-29,0.439453
1973-08-30,0.445313
1973-08-31,0.449219
1973-09-04,0.458984
1973-09-05,0.476563
1973-09-06,0.470703
1973-09-07,0.464844
1973-09-10,0.439453
1973-09-11,0.441406
1973-09-12,0.433594
1973-09-13,0.457031
1973-09-14,0.464844
1973-09-17,0.449219
1973-09-18,0.445313
1973-09-19,0.460938
1973-09-20,0.472656
1973-09-21,0.474609
1973-09-24,0.462891
1973-09-25,0.455078
1973-09-26,0.453125
1973-09-27,0.453125
1973-09-28,0.466797
1973-10-01,0.472656
1973-10-02,0.488281
1973-10-03,0.486328
1973-10-04,0.470703
1973-10-05,0.470703
1973-10-08,0.464844
1973-10-09,0.464844
1973-10-10,0.455078
1973-10-11,0.445313
1973-10-12,0.443359
1973-10-15,0.421875
1973-10-16,0.435547
1973-10-17,0.4375
1973-10-18,0.449219
1973-10-19,0.453125
1973-10-22,0.455078
1973-10-23,0.458984
1973-10-24,0.462891
1973-10-25,0.46875
1973-10-26,0.46875
1973-10-29,0.462891
1973-10-30,0.460938
1973-10-31,0.460938
1973-11-01,0.464844
1973-11-02,0.458984
1973-11-05,0.453125
1973-11-06,0.449219
1973-11-07,0.472656
1973-11-08,0.474609
1973-11-09,0.457031
1973-11-12,0.453125
1973-11-13,0.451172
1973-11-14,0.449219
1973-11-15,0.451172
1973-11-16,0.443359
1973-11-19,0.40820300000000004
