Date,O
1994-10-18,8.0
1994-10-19,8.6875
1994-10-20,8.75
1994-10-21,8.625
1994-10-24,8.4375
1994-10-25,8.5625
1994-10-26,8.4375
1994-10-27,8.4375
1994-10-28,8.3125
1994-10-31,8.3125
1994-11-01,8.3125
1994-11-02,8.25
1994-11-03,8.1875
1994-11-04,8.0
1994-11-07,8.0
1994-11-08,8.125
1994-11-09,8.0625
1994-11-10,7.875
1994-11-11,7.8125
1994-11-14,7.875
1994-11-15,7.6875
1994-11-16,7.75
1994-11-17,7.8125
1994-11-18,7.625
1994-11-21,7.75
1994-11-22,7.75
1994-11-23,7.8125
1994-11-25,7.8125
1994-11-28,7.9375
1994-11-29,7.875
1994-11-30,8.0
1994-12-01,8.0625
1994-12-02,7.9375
1994-12-05,7.9375
1994-12-06,7.9375
1994-12-07,7.9375
1994-12-08,7.875
1994-12-09,7.875
1994-12-12,7.875
1994-12-13,7.875
1994-12-14,8.0
1994-12-15,8.0
1994-12-16,8.25
1994-12-19,8.375
1994-12-20,8.375
1994-12-21,8.375
1994-12-22,8.375
1994-12-23,8.3125
1994-12-27,8.1875
1994-12-28,8.3125
1994-12-29,8.25
1994-12-30,8.5625
1995-01-03,8.4375
1995-01-04,8.25
1995-01-05,8.3125
1995-01-06,8.3125
1995-01-09,8.5
1995-01-10,8.5
1995-01-11,8.5
1995-01-12,8.625
1995-01-13,8.6875
1995-01-16,8.6875
1995-01-17,8.6875
1995-01-18,8.75
1995-01-19,8.75
1995-01-20,8.6875
1995-01-23,8.875
1995-01-24,8.8125
1995-01-25,8.8125
1995-01-26,8.8125
1995-01-27,9.0
1995-01-30,9.0
1995-01-31,8.875
1995-02-01,8.875
1995-02-02,8.8125
1995-02-03,8.8125
1995-02-06,8.875
1995-02-07,9.0
1995-02-08,8.75
1995-02-09,9.0
1995-02-10,9.0
1995-02-13,9.0
1995-02-14,9.125
1995-02-15,9.3125
1995-02-16,9.5
1995-02-17,9.5
1995-02-21,9.3125
1995-02-22,9.4375
1995-02-23,9.125
1995-02-24,9.375
1995-02-27,9.25
1995-02-28,9.5
1995-03-01,9.4375
1995-03-02,9.375
1995-03-03,9.375
1995-03-06,9.25
1995-03-07,9.25
1995-03-08,9.25
1995-03-09,9.3125
1995-03-10,9.3125
1995-03-13,9.3125
1995-03-14,9.25
1995-03-15,9.0625
1995-03-16,9.1875
1995-03-17,9.1875
1995-03-20,9.125
1995-03-21,9.0625
1995-03-22,9.0625
1995-03-23,9.125
1995-03-24,9.0
1995-03-27,9.0
1995-03-28,9.0
1995-03-29,9.125
1995-03-30,9.0
