Date,JBHT
1983-11-22,1.541667
1983-11-23,1.5625
1983-11-25,1.625
1983-11-28,1.520833
1983-11-29,1.5625
1983-11-30,1.5625
1983-12-01,1.5625
1983-12-02,1.541667
1983-12-05,1.520833
1983-12-06,1.5
1983-12-07,1.5
1983-12-08,1.520833
1983-12-09,1.520833
1983-12-12,1.520833
1983-12-13,1.541667
1983-12-14,1.541667
1983-12-15,1.541667
1983-12-16,1.541667
1983-12-19,1.541667
1983-12-20,1.5625
1983-12-21,1.5625
1983-12-22,1.5625
1983-12-23,1.583333
1983-12-27,1.604167
1983-12-28,1.604167
1983-12-29,1.5625
1983-12-30,1.583333
1984-01-03,1.604167
1984-01-04,1.583333
1984-01-05,1.604167
1984-01-06,1.666667
1984-01-09,1.645833
1984-01-10,1.666667
1984-01-11,1.666667
1984-01-12,1.666667
1984-01-13,1.666667
1984-01-16,1.6875
1984-01-17,1.75
1984-01-18,1.770833
1984-01-19,1.770833
1984-01-20,1.770833
1984-01-23,1.770833
1984-01-24,1.708333
1984-01-25,1.708333
1984-01-26,1.708333
1984-01-27,1.666667
1984-01-30,1.5625
1984-01-31,1.541667
1984-02-01,1.541667
1984-02-02,1.541667
1984-02-03,1.541667
1984-02-06,1.541667
1984-02-07,1.479167
1984-02-08,1.479167
1984-02-09,1.479167
1984-02-10,1.5
1984-02-13,1.479167
1984-02-14,1.479167
1984-02-15,1.479167
1984-02-16,1.5
1984-02-17,1.520833
1984-02-21,1.5
1984-02-22,1.5
1984-02-23,1.5
1984-02-24,1.5
1984-02-27,1.5
1984-02-28,1.5
1984-02-29,1.5
1984-03-01,1.5
1984-03-02,1.5
1984-03-05,1.5
1984-03-06,1.458333
1984-03-07,1.4375
1984-03-08,1.4375
1984-03-09,1.4375
1984-03-12,1.4375
1984-03-13,1.458333
1984-03-14,1.458333
1984-03-15,1.458333
1984-03-16,1.458333
1984-03-19,1.4375
1984-03-20,1.4375
1984-03-21,1.4375
1984-03-22,1.4375
1984-03-23,1.4375
1984-03-26,1.416667
1984-03-27,1.4375
1984-03-28,1.4375
1984-03-29,1.4375
1984-03-30,1.4375
1984-04-02,1.4375
1984-04-03,1.4375
1984-04-04,1.4375
1984-04-05,1.4375
1984-04-06,1.4375
1984-04-09,1.4375
1984-04-10,1.4375
1984-04-11,1.416667
1984-04-12,1.416667
1984-04-13,1.416667
1984-04-16,1.416667
1984-04-17,1.4375
1984-04-18,1.416667
1984-04-19,1.416667
1984-04-23,1.416667
1984-04-24,1.4375
1984-04-25,1.458333
1984-04-26,1.5
1984-04-27,1.5
1984-04-30,1.5
1984-05-01,1.5
1984-05-02,1.5
1984-05-03,1.5
1984-05-04,1.5
1984-05-07,1.5
1984-05-08,1.479167
1984-05-09,1.5
1984-05-10,1.5
1984-05-11,1.5
1984-05-14,1.5
1984-05-15,1.479167
1984-05-16,1.5
1984-05-17,1.479167
1984-05-18,1.479167
1984-05-21,1.479167
1984-05-22,1.479167
1984-05-23,1.479167
1984-05-24,1.479167
1984-05-25,1.458333
1984-05-29,1.4375
1984-05-30,1.4375
1984-05-31,1.4375
1984-06-01,1.4375
1984-06-04,1.4375
1984-06-05,1.4375
1984-06-06,1.4375
1984-06-07,1.4375
1984-06-08,1.4375
1984-06-11,1.4375
1984-06-12,1.4375
1984-06-13,1.4375
1984-06-14,1.416667
1984-06-15,1.416667
1984-06-18,1.416667
1984-06-19,1.416667
1984-06-20,1.416667
1984-06-21,1.416667
1984-06-22,1.395833
1984-06-25,1.395833
1984-06-26,1.416667
1984-06-27,1.416667
1984-06-28,1.395833
1984-06-29,1.416667
1984-07-02,1.416667
1984-07-03,1.416667
1984-07-05,1.416667
1984-07-06,1.416667
1984-07-09,1.416667
1984-07-10,1.416667
1984-07-11,1.416667
1984-07-12,1.416667
1984-07-13,1.416667
1984-07-16,1.5
1984-07-17,1.5
1984-07-18,1.5
1984-07-19,1.5
1984-07-20,1.416667
1984-07-23,1.416667
1984-07-24,1.416667
1984-07-25,1.416667
1984-07-26,1.385417
1984-07-27,1.427083
1984-07-30,1.458333
1984-07-31,1.458333
1984-08-01,1.416667
1984-08-02,1.395833
1984-08-03,1.458333
1984-08-06,1.416667
1984-08-07,1.479167
1984-08-08,1.5
1984-08-09,1.479167
1984-08-10,1.541667
1984-08-13,1.53125
1984-08-14,1.520833
1984-08-15,1.583333
1984-08-16,1.541667
1984-08-17,1.520833
1984-08-20,1.583333
1984-08-21,1.520833
1984-08-22,1.583333
1984-08-23,1.583333
1984-08-24,1.541667
1984-08-27,1.604167
1984-08-28,1.604167
1984-08-29,1.604167
1984-08-30,1.541667
1984-08-31,1.572917
1984-09-04,1.541667
1984-09-05,1.5625
1984-09-06,1.5625
1984-09-07,1.541667
1984-09-10,1.572917
1984-09-11,1.572917
1984-09-12,1.604167
1984-09-13,1.541667
1984-09-14,1.583333
1984-09-17,1.614583
1984-09-18,1.729167
1984-09-19,1.75
1984-09-20,1.666667
1984-09-21,1.677083
1984-09-24,1.729167
1984-09-25,1.6875
1984-09-26,1.6875
1984-09-27,1.6875
1984-09-28,1.666667
1984-10-01,1.5625
1984-10-02,1.645833
1984-10-03,1.5625
1984-10-04,1.5625
1984-10-05,1.5625
1984-10-08,1.5625
1984-10-09,1.583333
1984-10-10,1.583333
1984-10-11,1.5625
1984-10-12,1.520833
1984-10-15,1.604167
1984-10-16,1.604167
