Date,PH
1980-03-17,5.234568
1980-03-18,5.308642
1980-03-19,5.283951
1980-03-20,5.234568
1980-03-21,5.259258999999999
1980-03-24,5.209877
1980-03-25,5.0864199999999995
1980-03-26,5.160494
1980-03-27,4.938272
1980-03-28,4.962962999999999
1980-03-31,5.061728
1980-04-01,4.888889
1980-04-02,4.888889
1980-04-03,5.111111
1980-04-07,5.135802
1980-04-08,5.3333330000000005
1980-04-09,5.3333330000000005
1980-04-10,5.308642
1980-04-11,5.160494
1980-04-14,5.135802
1980-04-15,5.135802
1980-04-16,5.061728
1980-04-17,4.938272
1980-04-18,5.012346
1980-04-21,4.938272
1980-04-22,5.037037000000001
1980-04-23,5.259258999999999
1980-04-24,5.234568
1980-04-25,5.135802
1980-04-28,5.135802
1980-04-29,5.111111
1980-04-30,5.061728
1980-05-01,5.0864199999999995
1980-05-02,4.938272
1980-05-05,4.938272
1980-05-06,4.938272
1980-05-07,4.864198
1980-05-08,4.839506
1980-05-09,4.740741000000001
1980-05-12,4.790123
1980-05-13,4.790123
1980-05-14,4.888889
1980-05-15,4.839506
1980-05-16,4.888889
1980-05-19,4.790123
1980-05-20,4.765432
1980-05-21,4.888889
1980-05-22,5.135802
1980-05-23,5.012346
1980-05-27,5.037037000000001
1980-05-28,5.012346
1980-05-29,5.135802
1980-05-30,5.037037000000001
1980-06-02,5.037037000000001
1980-06-03,5.037037000000001
1980-06-04,5.135802
1980-06-05,5.283951
1980-06-06,5.234568
1980-06-09,5.234568
1980-06-10,5.185185
1980-06-11,5.135802
1980-06-12,5.0864199999999995
1980-06-13,5.061728
1980-06-16,5.111111
1980-06-17,5.160494
1980-06-18,5.185185
1980-06-19,5.111111
1980-06-20,5.037037000000001
1980-06-23,5.061728
1980-06-24,4.987654
1980-06-25,5.111111
1980-06-26,5.012346
1980-06-27,4.962962999999999
1980-06-30,4.9135800000000005
1980-07-01,4.987654
1980-07-02,5.0864199999999995
1980-07-03,5.0864199999999995
1980-07-07,5.111111
1980-07-08,5.185185
1980-07-09,5.234568
1980-07-10,5.3333330000000005
1980-07-11,5.308642
1980-07-14,5.432099
1980-07-15,5.530864
1980-07-16,5.580247
1980-07-17,5.679012
1980-07-18,5.82716
1980-07-21,5.82716
1980-07-22,5.851852
1980-07-23,5.851852
1980-07-24,5.901235
1980-07-25,5.876543
1980-07-28,5.9259260000000005
1980-07-29,5.975308
1980-07-30,6.148148
1980-07-31,6.049383
1980-08-01,6.123457
1980-08-04,6.098765
1980-08-05,6.098765
1980-08-06,6.148148
1980-08-07,6.049383
1980-08-08,6.098765
1980-08-11,6.123457
1980-08-12,6.024692
1980-08-13,6.049383
1980-08-14,6.0
1980-08-15,5.9259260000000005
1980-08-18,5.580247
1980-08-19,5.679012
1980-08-20,5.728395
1980-08-21,5.703704
1980-08-22,5.728395
1980-08-25,5.629630000000001
1980-08-26,5.604939
1980-08-27,5.555555
1980-08-28,5.604939
1980-08-29,5.555555
1980-09-02,5.530864
1980-09-03,5.629630000000001
1980-09-04,5.604939
1980-09-05,5.530864
1980-09-08,5.432099
1980-09-09,5.432099
1980-09-10,5.481482
1980-09-11,5.530864
1980-09-12,5.530864
1980-09-15,5.530864
1980-09-16,5.580247
1980-09-17,5.604939
1980-09-18,5.679012
1980-09-19,5.802469
1980-09-22,5.777778
1980-09-23,5.802469
1980-09-24,5.679012
1980-09-25,5.679012
1980-09-26,5.555555
1980-09-29,5.382716
1980-09-30,5.382716
1980-10-01,5.432099
1980-10-02,5.382716
1980-10-03,5.407407
1980-10-06,5.530864
1980-10-07,5.580247
1980-10-08,5.629630000000001
1980-10-09,5.629630000000001
1980-10-10,5.629630000000001
1980-10-13,5.555555
1980-10-14,5.555555
1980-10-15,5.506173
1980-10-16,5.506173
1980-10-17,5.530864
1980-10-20,5.506173
1980-10-21,5.530864
1980-10-22,5.555555
1980-10-23,5.481482
1980-10-24,5.629630000000001
1980-10-27,5.679012
1980-10-28,5.629630000000001
1980-10-29,5.530864
1980-10-30,5.45679
1980-10-31,5.259258999999999
1980-11-03,5.358025
1980-11-05,5.703704
1980-11-06,5.679012
1980-11-07,5.82716
1980-11-10,5.975308
1980-11-11,6.0740739999999995
1980-11-12,6.123457
1980-11-13,6.370369999999999
1980-11-14,6.469136
1980-11-17,6.370369999999999
1980-11-18,6.716049000000001
1980-11-19,6.765432000000001
1980-11-20,6.567900999999999
1980-11-21,6.518518
1980-11-24,6.123457
1980-11-25,6.271605
1980-11-26,6.419753
1980-11-28,6.320988
1980-12-01,6.024692
1980-12-02,5.9259260000000005
1980-12-03,6.098765
1980-12-04,6.148148
1980-12-05,6.222222
1980-12-08,6.024692
1980-12-09,6.098765
1980-12-10,6.222222
1980-12-11,6.197531
1980-12-12,6.320988
1980-12-15,6.3456790000000005
1980-12-16,6.246913
1980-12-17,6.320988
1980-12-18,6.320988
1980-12-19,6.370369999999999
1980-12-22,6.370369999999999
1980-12-23,6.493827
1980-12-24,6.469136
1980-12-26,6.493827
1980-12-29,6.3456790000000005
1980-12-30,6.419753
1980-12-31,6.419753
1981-01-02,6.271605
1981-01-05,6.3456790000000005
1981-01-06,6.3456790000000005
1981-01-07,6.246913
1981-01-08,6.222222
1981-01-09,6.271605
1981-01-12,6.296296
1981-01-13,6.222222
1981-01-14,6.17284
1981-01-15,6.123457
1981-01-16,6.148148
1981-01-19,6.123457
1981-01-20,5.950617
1981-01-21,5.876543
