Date,MDLZ
2001-06-13,31.25
2001-06-14,30.15
2001-06-15,30.6
2001-06-18,30.32
2001-06-19,30.4
2001-06-20,30.299999
2001-06-21,30.0
2001-06-22,30.0
2001-06-25,30.15
2001-06-26,30.040001
2001-06-27,29.940001000000002
2001-06-28,30.41
2001-06-29,31.0
2001-07-02,30.469998999999998
2001-07-03,30.559998999999998
2001-07-05,30.93
2001-07-06,30.65
2001-07-09,30.379998999999998
2001-07-10,30.35
2001-07-11,30.299999
2001-07-12,30.9
2001-07-13,30.73
2001-07-16,30.709999
2001-07-17,31.450001
2001-07-18,31.49
2001-07-19,31.32
2001-07-20,31.200001
2001-07-23,31.0
2001-07-24,31.07
2001-07-25,30.700001
2001-07-26,31.120001000000002
2001-07-27,30.91
2001-07-30,30.6
2001-07-31,30.950001
2001-08-01,30.780001000000002
2001-08-02,30.950001
2001-08-03,30.700001
2001-08-06,30.35
2001-08-07,30.5
2001-08-08,30.01
2001-08-09,30.370001000000002
2001-08-10,30.799999
2001-08-13,31.1
2001-08-14,31.1
2001-08-15,30.98
2001-08-16,31.15
2001-08-17,31.35
2001-08-20,31.719998999999998
2001-08-21,32.080002
2001-08-22,32.900002
2001-08-23,32.889998999999996
2001-08-24,32.349998
2001-08-27,32.299999
2001-08-28,31.9
2001-08-29,32.290001000000004
2001-08-30,32.650002
2001-08-31,32.25
2001-09-04,33.049999
2001-09-05,33.349998
2001-09-06,34.0
2001-09-07,34.0
2001-09-10,33.75
2001-09-17,32.900002
2001-09-18,32.900002
2001-09-19,32.400002
2001-09-20,32.529999
2001-09-21,32.0
2001-09-24,33.5
2001-09-25,33.299999
2001-09-26,33.299999
2001-09-27,33.509997999999996
2001-09-28,34.369999
2001-10-01,33.919998
2001-10-02,34.150002
2001-10-03,34.700001
2001-10-04,34.0
2001-10-05,33.73
2001-10-08,33.900002
2001-10-09,33.950001
2001-10-10,33.970001
2001-10-11,33.0
2001-10-12,33.400002
2001-10-15,33.349998
2001-10-16,33.599998
2001-10-17,34.0
2001-10-18,34.009997999999996
2001-10-19,34.52
2001-10-22,35.259997999999996
2001-10-23,35.389998999999996
2001-10-24,35.099998
2001-10-25,34.900002
2001-10-26,34.299999
2001-10-29,33.529999
2001-10-30,33.700001
2001-10-31,33.75
2001-11-01,33.75
2001-11-02,34.5
2001-11-05,34.200001
2001-11-06,34.68
2001-11-07,34.349998
2001-11-08,35.029999
2001-11-09,34.459998999999996
2001-11-12,34.419998
2001-11-13,33.900002
2001-11-14,33.950001
2001-11-15,34.049999
2001-11-16,34.0
2001-11-19,33.299999
2001-11-20,33.279999
2001-11-21,33.900002
2001-11-23,33.709998999999996
2001-11-26,33.25
2001-11-27,32.860001000000004
2001-11-28,32.950001
2001-11-29,33.810001
2001-11-30,33.119999
2001-12-03,33.599998
2001-12-04,32.98
2001-12-05,33.0
2001-12-06,32.299999
2001-12-07,32.0
2001-12-10,32.0
2001-12-11,32.220001
2001-12-12,32.32
2001-12-13,32.5
2001-12-14,32.799999
2001-12-17,33.279999
2001-12-18,33.799999
2001-12-19,33.98
2001-12-20,34.049999
2001-12-21,34.98
2001-12-24,34.68
2001-12-26,34.049999
2001-12-27,33.66
2001-12-28,33.799999
2001-12-31,34.029999
2002-01-02,34.75
