Date,ZBRA
1992-06-24,3.777778
1992-06-25,3.888889
1992-06-26,3.5555559999999997
1992-06-29,3.777778
1992-06-30,4.055555
1992-07-01,3.9444440000000003
1992-07-02,4.0
1992-07-06,4.111111
1992-07-07,4.111111
1992-07-08,4.027778
1992-07-09,4.055555
1992-07-10,4.055555
1992-07-13,4.055555
1992-07-14,4.222222
1992-07-15,4.222222
1992-07-16,4.277778
1992-07-17,4.222222
1992-07-20,4.1666669999999995
1992-07-21,4.111111
1992-07-22,3.9444440000000003
1992-07-23,3.888889
1992-07-24,3.833333
1992-07-27,3.722222
1992-07-28,3.861111
1992-07-29,3.833333
1992-07-30,3.888889
1992-07-31,3.833333
1992-08-03,3.777778
1992-08-04,3.611111
1992-08-05,3.4444440000000003
1992-08-06,3.416667
1992-08-07,3.277778
1992-08-10,3.333333
1992-08-11,3.4444440000000003
1992-08-12,3.5555559999999997
1992-08-13,3.5555559999999997
1992-08-14,3.611111
1992-08-17,3.666667
1992-08-18,3.722222
1992-08-19,3.75
1992-08-20,3.777778
1992-08-21,3.666667
1992-08-24,3.527778
1992-08-25,3.5
1992-08-26,3.5555559999999997
1992-08-27,3.833333
1992-08-28,3.888889
1992-08-31,3.777778
1992-09-01,3.777778
1992-09-02,4.111111
1992-09-03,4.111111
1992-09-04,3.888889
1992-09-08,3.888889
1992-09-09,3.888889
1992-09-10,4.0
1992-09-11,4.055555
1992-09-14,4.0
1992-09-15,3.833333
1992-09-16,3.9444440000000003
1992-09-17,3.9444440000000003
1992-09-18,4.0
1992-09-21,4.0
1992-09-22,4.111111
1992-09-23,3.9444440000000003
1992-09-24,4.111111
1992-09-25,3.888889
1992-09-28,3.888889
1992-09-29,3.833333
1992-09-30,3.9444440000000003
1992-10-01,3.9444440000000003
1992-10-02,3.833333
1992-10-05,3.666667
1992-10-06,3.833333
1992-10-07,3.722222
1992-10-08,3.5
1992-10-09,3.5555559999999997
1992-10-12,3.5
1992-10-13,3.4444440000000003
1992-10-14,3.4444440000000003
1992-10-15,3.4444440000000003
1992-10-16,3.4444440000000003
1992-10-19,3.611111
1992-10-20,3.611111
1992-10-21,3.5
1992-10-22,3.666667
1992-10-23,3.777778
1992-10-26,4.111111
1992-10-27,4.055555
1992-10-28,4.222222
1992-10-29,4.1666669999999995
1992-10-30,4.277778
1992-11-02,4.25
1992-11-03,4.1666669999999995
1992-11-04,4.1666669999999995
1992-11-05,4.222222
1992-11-06,4.3333330000000005
1992-11-09,4.6666669999999995
1992-11-10,4.6666669999999995
1992-11-11,4.6666669999999995
1992-11-12,4.611111
1992-11-13,4.722222
1992-11-16,4.722222
1992-11-17,4.555555
1992-11-18,4.5
1992-11-19,4.638889
1992-11-20,4.555555
1992-11-23,4.611111
1992-11-24,4.777778
1992-11-25,4.6666669999999995
1992-11-27,4.6666669999999995
1992-11-30,4.777778
1992-12-01,4.6666669999999995
1992-12-02,4.6666669999999995
1992-12-03,4.6666669999999995
1992-12-04,4.777778
1992-12-07,5.111111
1992-12-08,5.0
1992-12-09,5.0
1992-12-10,5.111111
1992-12-11,5.111111
1992-12-14,5.055555
1992-12-15,5.055555
1992-12-16,5.055555
1992-12-17,5.055555
1992-12-18,5.111111
1992-12-21,5.1666669999999995
1992-12-22,5.277778
1992-12-23,5.222222
1992-12-24,5.5
1992-12-28,5.3333330000000005
1992-12-29,5.222222
1992-12-30,5.222222
1992-12-31,5.3333330000000005
1993-01-04,5.277778
1993-01-05,5.305555
1993-01-06,5.361111
1993-01-07,5.222222
1993-01-08,5.222222
1993-01-11,5.111111
1993-01-12,5.222222
1993-01-13,5.222222
1993-01-14,5.222222
1993-01-15,5.277778
1993-01-18,5.444445
1993-01-19,5.444445
1993-01-20,5.555555
1993-01-21,5.555555
1993-01-22,5.555555
1993-01-25,5.722222
1993-01-26,5.722222
1993-01-27,5.555555
1993-01-28,5.388889
1993-01-29,5.388889
1993-02-01,5.444445
1993-02-02,5.444445
1993-02-03,5.555555
1993-02-04,5.388889
1993-02-05,5.222222
1993-02-08,5.1666669999999995
1993-02-09,5.111111
1993-02-10,5.0
1993-02-11,5.111111
1993-02-12,5.055555
1993-02-16,4.888889
1993-02-17,4.555555
1993-02-18,4.611111
1993-02-19,4.611111
1993-02-22,4.611111
1993-02-23,4.6666669999999995
1993-02-24,4.8333330000000005
1993-02-25,4.888889
1993-02-26,5.1666669999999995
1993-03-01,5.055555
1993-03-02,5.111111
1993-03-03,5.277778
