Date,MA
2006-05-25,4.6
2006-05-26,4.493
2006-05-30,4.4
2006-05-31,4.494
2006-06-01,4.751
2006-06-02,4.699
2006-06-05,4.915
2006-06-06,4.83
2006-06-07,4.76
2006-06-08,4.772
2006-06-09,4.778
2006-06-12,4.695
2006-06-13,4.55
2006-06-14,4.512
2006-06-15,4.595
2006-06-16,4.502
2006-06-19,4.434
2006-06-20,4.402
2006-06-21,4.53
2006-06-22,4.66
2006-06-23,4.695
2006-06-26,4.75
2006-06-27,4.731
2006-06-28,4.696
2006-06-29,4.8
2006-06-30,4.8
2006-07-03,4.73
2006-07-05,4.76
2006-07-06,4.68
2006-07-07,4.612
2006-07-10,4.649
2006-07-11,4.635
2006-07-12,4.555
2006-07-13,4.472
2006-07-14,4.395
2006-07-17,4.399
2006-07-18,4.39
2006-07-19,4.528
2006-07-20,4.555
2006-07-21,4.528
2006-07-24,4.5
2006-07-25,4.608
2006-07-26,4.668
2006-07-27,4.652
2006-07-28,4.63
2006-07-31,4.587
2006-08-01,4.5
2006-08-02,5.002
2006-08-03,4.999
2006-08-04,5.005
2006-08-07,5.11
2006-08-08,5.257
2006-08-09,5.285
2006-08-10,5.356
2006-08-11,5.368
2006-08-14,5.423
2006-08-15,5.449
2006-08-16,5.427
2006-08-17,5.346
2006-08-18,5.345
2006-08-21,5.426
2006-08-22,5.523
2006-08-23,5.46
2006-08-24,5.565
2006-08-25,5.5
2006-08-28,5.502
2006-08-29,5.535
2006-08-30,5.525
2006-08-31,5.59
2006-09-01,5.655
2006-09-05,5.685
2006-09-06,5.888
2006-09-07,6.012
2006-09-08,5.975
2006-09-11,6.187
2006-09-12,6.21
2006-09-13,6.135
2006-09-14,6.279
2006-09-15,6.497
2006-09-18,6.512
2006-09-19,6.484
2006-09-20,6.655
2006-09-21,6.905
2006-09-22,6.593
2006-09-25,6.44
2006-09-26,6.6
2006-09-27,6.784
2006-09-28,6.865
2006-09-29,7.035
2006-10-02,6.996
2006-10-03,6.968
2006-10-04,6.962
2006-10-05,7.259
2006-10-06,7.515
2006-10-09,7.28
2006-10-10,7.191
2006-10-11,6.95
2006-10-12,7.041
2006-10-13,7.009
2006-10-16,7.13
2006-10-17,6.95
2006-10-18,7.045
2006-10-19,7.233
2006-10-20,7.122
2006-10-23,7.025
2006-10-24,7.12
2006-10-25,7.075
2006-10-26,7.22
2006-10-27,7.264
2006-10-30,7.254
2006-10-31,7.41
2006-11-01,8.507
2006-11-02,8.76
2006-11-03,8.951
2006-11-06,9.63
2006-11-07,9.25
2006-11-08,8.844
2006-11-09,8.82
2006-11-10,8.92
2006-11-13,9.655
2006-11-14,9.52
2006-11-15,9.53
2006-11-16,9.452
2006-11-17,9.479
2006-11-20,9.619
2006-11-21,10.06
2006-11-22,10.326
2006-11-24,10.548
2006-11-27,9.899
2006-11-28,10.075
2006-11-29,9.92
2006-11-30,10.175
2006-12-01,10.117
2006-12-04,10.008
2006-12-05,9.925
2006-12-06,9.913
2006-12-07,9.968
2006-12-08,10.01
2006-12-11,9.91
2006-12-12,9.575
2006-12-13,9.577
2006-12-14,9.56
2006-12-15,9.619
2006-12-18,9.29
2006-12-19,9.74
2006-12-20,9.751
2006-12-21,9.571
2006-12-22,9.635
2006-12-26,9.514
2006-12-27,9.937
2006-12-28,9.896
2006-12-29,9.849
2007-01-03,9.641
2007-01-04,10.114
2007-01-05,10.106
2007-01-08,10.108
2007-01-09,10.574
2007-01-10,10.474
2007-01-11,10.55
2007-01-12,10.525
2007-01-16,10.6
2007-01-17,10.904
2007-01-18,10.249
2007-01-19,10.503
2007-01-22,10.761
2007-01-23,10.841
2007-01-24,11.142
2007-01-25,10.787
2007-01-26,10.852
2007-01-29,10.974
2007-01-30,11.075
2007-01-31,11.155
2007-02-01,11.192
2007-02-02,11.096
2007-02-05,11.025
2007-02-06,11.055
2007-02-07,11.19
2007-02-08,11.474
2007-02-09,10.36
2007-02-12,10.208
2007-02-13,10.469
2007-02-14,10.802
2007-02-15,10.804
2007-02-16,10.832
2007-02-20,10.782
2007-02-21,10.729
2007-02-22,10.59
2007-02-23,10.457
2007-02-26,10.406
2007-02-27,10.3
2007-02-28,10.718
2007-03-01,10.629
2007-03-02,10.306
2007-03-05,10.094
2007-03-06,10.399
2007-03-07,9.972
2007-03-08,10.276
2007-03-09,10.236
2007-03-12,10.325
2007-03-13,10.386
2007-03-14,10.55
2007-03-15,10.526
2007-03-16,10.527
2007-03-19,10.689
2007-03-20,10.749
2007-03-21,11.07
2007-03-22,10.957
2007-03-23,10.986
2007-03-26,10.848
2007-03-27,10.725
2007-03-28,10.668
2007-03-29,10.719
2007-03-30,10.624
2007-04-02,10.696
2007-04-03,10.853
2007-04-04,10.721
2007-04-05,10.801
2007-04-09,10.834
2007-04-10,11.001
2007-04-11,10.981
2007-04-12,10.982
2007-04-13,10.94
2007-04-16,10.94
2007-04-17,10.965
2007-04-18,10.921
2007-04-19,10.933
2007-04-20,11.01
2007-04-23,11.004
2007-04-24,10.81
2007-04-25,10.934
2007-04-26,10.856
2007-04-27,11.41
2007-04-30,11.168
2007-05-01,11.485
2007-05-02,12.635
2007-05-03,13.482
2007-05-04,13.466
2007-05-07,13.411
2007-05-08,13.705
2007-05-09,13.955
2007-05-10,13.882
2007-05-11,13.883
2007-05-14,13.535
2007-05-15,13.544
2007-05-16,13.619
2007-05-17,13.609
2007-05-18,13.805
2007-05-21,13.951
2007-05-22,13.873
2007-05-23,14.013
2007-05-24,13.898
2007-05-25,13.907
2007-05-29,14.406
2007-05-30,14.713
2007-05-31,14.955
2007-06-01,15.11
2007-06-04,15.125
2007-06-05,14.92
2007-06-06,14.702
2007-06-07,13.941
2007-06-08,14.358
2007-06-11,14.16
2007-06-12,14.531
2007-06-13,15.03
2007-06-14,15.029
2007-06-15,15.765
2007-06-18,16.462
2007-06-19,16.527
2007-06-20,16.346001
2007-06-21,16.469
2007-06-22,16.843
2007-06-25,16.195
2007-06-26,16.181998999999998
2007-06-27,16.302999
2007-06-28,16.478001000000003
2007-06-29,16.587
2007-07-02,16.618
2007-07-03,16.221001
2007-07-05,16.171
2007-07-06,16.190001000000002
2007-07-09,16.122
2007-07-10,15.835
2007-07-11,15.635
2007-07-12,16.787001
2007-07-13,16.921
2007-07-16,16.971001
2007-07-17,16.924
2007-07-18,16.882998999999998
2007-07-19,16.743
2007-07-20,16.528
2007-07-23,16.76
2007-07-24,15.877
2007-07-25,16.110001
2007-07-26,15.872
2007-07-27,15.403
2007-07-30,16.459
2007-07-31,16.08
2007-08-01,15.0
2007-08-02,14.262
2007-08-03,13.126
2007-08-06,13.762
2007-08-07,14.427
2007-08-08,14.802
2007-08-09,14.128
2007-08-10,13.84
2007-08-13,13.659
2007-08-14,13.352
2007-08-15,12.904
2007-08-16,13.0
2007-08-17,13.7
2007-08-20,13.79
2007-08-21,14.016
2007-08-22,14.482
2007-08-23,14.229
2007-08-24,13.983
2007-08-27,13.825
2007-08-28,13.212
2007-08-29,13.342
2007-08-30,13.247
2007-08-31,13.699
2007-09-04,13.824
2007-09-05,13.556
2007-09-06,13.477
2007-09-07,13.021
2007-09-10,12.971
2007-09-11,13.217
2007-09-12,13.683
2007-09-13,13.95
2007-09-14,13.785
2007-09-17,13.672
2007-09-18,14.581
2007-09-19,14.95
2007-09-20,14.951
2007-09-21,14.656
2007-09-24,14.226
2007-09-25,14.299
2007-09-26,14.285
2007-09-27,14.8
2007-09-28,14.797
2007-10-01,15.337
2007-10-02,15.298
2007-10-03,15.694
2007-10-04,16.155001000000002
2007-10-05,16.246
2007-10-08,16.236
2007-10-09,16.268998999999997
2007-10-10,16.482
2007-10-11,16.184
2007-10-12,16.320999
2007-10-15,15.791
2007-10-16,15.56
2007-10-17,15.461
2007-10-18,15.372
2007-10-19,15.16
2007-10-22,14.659
2007-10-23,14.833
2007-10-24,14.73
2007-10-25,15.138
2007-10-26,15.703
2007-10-29,15.735
2007-10-30,15.715
2007-10-31,18.990999
2007-11-01,18.948
2007-11-02,19.004
2007-11-05,18.593
2007-11-06,19.940001000000002
2007-11-07,19.948
2007-11-08,19.143998999999997
2007-11-09,19.299999
2007-11-12,18.188
2007-11-13,18.881001
2007-11-14,18.677
2007-11-15,18.488001
2007-11-16,18.487
2007-11-19,18.190001000000002
2007-11-20,18.212
2007-11-21,18.091998999999998
2007-11-23,18.110001
2007-11-26,18.121
2007-11-27,18.386
2007-11-28,19.559998999999998
2007-11-29,19.774
2007-11-30,20.065001000000002
2007-12-03,20.188
2007-12-04,19.579
2007-12-05,20.007
2007-12-06,20.601999
2007-12-07,20.959999
2007-12-10,21.546
2007-12-11,21.75
2007-12-12,21.389999
2007-12-13,22.32
2007-12-14,21.656
2007-12-17,20.493
2007-12-18,20.177
2007-12-19,21.233999
2007-12-20,20.674999
2007-12-21,21.235001
2007-12-24,21.212
2007-12-26,20.948
2007-12-27,21.003
2007-12-28,21.0
2007-12-31,21.52
2008-01-02,21.468
2008-01-03,21.212
2008-01-04,20.118999
2008-01-07,20.051001
2008-01-08,19.799999
2008-01-09,19.658001000000002
2008-01-10,19.599001
2008-01-11,17.917
2008-01-14,17.822001
2008-01-15,17.5
2008-01-16,17.552999
2008-01-17,17.688
2008-01-18,17.462
2008-01-22,18.216998999999998
2008-01-23,19.259001
2008-01-24,19.177999
2008-01-25,19.343
2008-01-28,18.9
2008-01-29,19.146
2008-01-30,18.9
2008-01-31,20.700001
2008-02-01,21.542
2008-02-04,21.6
2008-02-05,20.677999
2008-02-06,20.495001000000002
2008-02-07,20.087999
2008-02-08,20.561001
2008-02-11,20.611
2008-02-12,20.4
2008-02-13,20.476
2008-02-14,20.223
2008-02-15,20.6
2008-02-19,20.42
2008-02-20,20.822001
2008-02-21,20.448
2008-02-22,20.348
2008-02-25,19.844998999999998
2008-02-26,19.587999
2008-02-27,19.118999
2008-02-28,19.469998999999998
2008-02-29,19.0
2008-03-03,18.856001000000003
2008-03-04,19.247
2008-03-05,19.1
2008-03-06,18.999001
2008-03-07,19.250999
2008-03-10,19.15
2008-03-11,19.584
2008-03-12,20.389999
2008-03-13,20.972
2008-03-14,20.865
2008-03-17,20.152
2008-03-18,21.025
2008-03-19,20.839001
2008-03-20,22.038
2008-03-24,21.65
2008-03-25,22.497999
2008-03-26,22.285
2008-03-27,22.07
2008-03-28,21.76
2008-03-31,22.299
2008-04-01,22.959999
2008-04-02,22.375
2008-04-03,23.125
2008-04-04,22.657
2008-04-07,22.625
2008-04-08,23.146998999999997
2008-04-09,22.875
2008-04-10,22.892
2008-04-11,22.860001
2008-04-14,22.709999
2008-04-15,22.468
2008-04-16,23.047001
2008-04-17,23.049999
2008-04-18,23.371
2008-04-21,23.6
2008-04-22,23.462
2008-04-23,23.393998999999997
2008-04-24,23.955
2008-04-25,23.739
2008-04-28,24.25
2008-04-29,27.398001
2008-04-30,27.816
2008-05-01,29.393998999999997
2008-05-02,28.504
2008-05-05,29.08
2008-05-06,29.601999
2008-05-07,29.101
2008-05-08,29.341
2008-05-09,28.684998999999998
2008-05-12,29.025999
2008-05-13,28.879998999999998
2008-05-14,28.646
2008-05-15,28.677
2008-05-16,28.34
2008-05-19,28.0
2008-05-20,27.764999
2008-05-21,27.865
2008-05-22,27.59
2008-05-23,27.322001
2008-05-27,27.875999
2008-05-28,28.688999
2008-05-29,30.9
2008-05-30,30.865
2008-06-02,32.0
2008-06-03,30.74
2008-06-04,29.74
2008-06-05,30.615999
2008-06-06,29.573
2008-06-09,29.139999
2008-06-10,28.605
2008-06-11,27.921
2008-06-12,28.440001000000002
2008-06-13,29.246
2008-06-16,29.447001
2008-06-17,29.221001
2008-06-18,29.309
2008-06-19,29.26
2008-06-20,28.400999
2008-06-23,28.252001
2008-06-24,28.037001
2008-06-25,28.979
2008-06-26,27.573
2008-06-27,27.172001
2008-06-30,26.552
2008-07-01,26.334999
2008-07-02,25.549
2008-07-03,25.374001
2008-07-07,24.610001
2008-07-08,26.424999
2008-07-09,25.125
2008-07-10,25.32
2008-07-11,25.735001
2008-07-14,25.75
2008-07-15,25.037001
2008-07-16,27.120001000000002
2008-07-17,28.6
2008-07-18,28.086
2008-07-21,26.790001
2008-07-22,27.385
2008-07-23,27.1
2008-07-24,25.848
2008-07-25,26.355
2008-07-28,25.370001000000002
2008-07-29,26.209999
2008-07-30,27.073
2008-07-31,24.415001
2008-08-01,23.726999
2008-08-04,23.091998999999998
2008-08-05,23.711
2008-08-06,23.200001
2008-08-07,22.5
2008-08-08,23.212999
2008-08-11,23.514999
2008-08-12,23.091998999999998
2008-08-13,23.35
2008-08-14,23.587999
2008-08-15,23.895
2008-08-18,23.791
2008-08-19,23.857
2008-08-20,24.332001
2008-08-21,24.125999
2008-08-22,24.164
2008-08-25,23.42
2008-08-26,23.674999
2008-08-27,23.697001
2008-08-28,24.247999
2008-08-29,24.254998999999998
2008-09-02,23.92
2008-09-03,22.962999
2008-09-04,21.603001000000003
2008-09-05,22.143998999999997
2008-09-08,21.941
2008-09-09,20.67
2008-09-10,21.332001
2008-09-11,22.559998999999998
2008-09-12,22.382
2008-09-15,21.177
2008-09-16,21.481001000000003
2008-09-17,19.6
2008-09-18,20.853001000000003
2008-09-19,22.518
2008-09-22,20.238001
2008-09-23,19.799999
2008-09-24,19.434998999999998
2008-09-25,19.035999
2008-09-26,18.507
2008-09-29,16.802999
2008-09-30,17.733
2008-10-01,17.134001
2008-10-02,16.013
2008-10-03,16.02
2008-10-06,16.740999
2008-10-07,15.87
2008-10-08,16.354
2008-10-09,15.57
2008-10-10,15.171
2008-10-13,17.360001
2008-10-14,17.407
2008-10-15,15.355
2008-10-16,15.668
2008-10-17,15.675
2008-10-20,15.014
2008-10-21,14.978
2008-10-22,14.093
2008-10-23,13.6
2008-10-24,13.062
2008-10-27,12.635
2008-10-28,13.601
2008-10-29,13.573
2008-10-30,14.006
2008-10-31,14.782
2008-11-03,14.389
2008-11-04,17.024
2008-11-05,15.587
2008-11-06,14.33
2008-11-07,14.773
2008-11-10,14.285
2008-11-11,14.15
2008-11-12,13.647
2008-11-13,14.699
2008-11-14,14.368
2008-11-17,13.574
2008-11-18,14.14
2008-11-19,12.954
2008-11-20,12.109
2008-11-21,12.654
2008-11-24,13.147
2008-11-25,13.906
2008-11-26,14.556
2008-11-28,14.53
2008-12-01,13.099
2008-12-02,13.397
2008-12-03,13.794
2008-12-04,13.327
2008-12-05,14.012
2008-12-08,14.73
2008-12-09,14.321
2008-12-10,14.5
2008-12-11,13.836
2008-12-12,13.881
2008-12-15,13.929
2008-12-16,14.81
2008-12-17,14.868
2008-12-18,14.881
2008-12-19,15.234
2008-12-22,14.52
2008-12-23,14.162
2008-12-24,14.223
2008-12-26,14.093
2008-12-29,13.934
2008-12-30,13.909
2008-12-31,14.293
2009-01-02,14.978
2009-01-05,15.326
2009-01-06,16.202
2009-01-07,15.207
2009-01-08,15.278
2009-01-09,15.004
2009-01-12,14.804
2009-01-13,15.044
2009-01-14,14.53
2009-01-15,13.03
2009-01-16,12.822
2009-01-20,11.918
2009-01-21,13.21
2009-01-22,12.885
2009-01-23,12.545
2009-01-26,12.312
2009-01-27,12.676
2009-01-28,13.366
2009-01-29,12.909
2009-01-30,13.578
2009-02-02,13.698
2009-02-03,13.97
2009-02-04,14.015
2009-02-05,15.984
2009-02-06,16.25
2009-02-09,16.202
2009-02-10,15.797
2009-02-11,16.398001
2009-02-12,16.18
2009-02-13,16.190001000000002
2009-02-17,15.509
2009-02-18,15.904
2009-02-19,15.455
2009-02-20,15.801
2009-02-23,15.258
2009-02-24,16.127001
2009-02-25,16.257
2009-02-26,15.57
2009-02-27,15.803
2009-03-02,15.063
2009-03-03,15.101
2009-03-04,15.048
2009-03-05,14.692
2009-03-06,14.244
2009-03-09,14.244
2009-03-10,14.848
2009-03-11,14.784
2009-03-12,15.707
2009-03-13,15.831
2009-03-16,15.369
2009-03-17,16.238001
2009-03-18,15.975
2009-03-19,15.41
2009-03-20,15.553
2009-03-23,16.289
2009-03-24,16.288
2009-03-25,16.452999
2009-03-26,16.988001
2009-03-27,16.747
2009-03-30,16.305
2009-03-31,16.747999
2009-04-01,16.007998999999998
2009-04-02,16.566
2009-04-03,17.405001000000002
2009-04-06,17.153
2009-04-07,16.576
2009-04-08,16.733
2009-04-09,17.246
2009-04-13,17.606001000000003
2009-04-14,16.610001
2009-04-15,16.546
2009-04-16,16.17
2009-04-17,16.306
2009-04-20,15.185
2009-04-21,16.437
2009-04-22,16.077
2009-04-23,16.525
2009-04-24,17.309
2009-04-27,16.555
2009-04-28,16.754
2009-04-29,17.820999
2009-04-30,18.344998999999998
2009-05-01,17.290001
2009-05-04,17.899
2009-05-05,18.341
2009-05-06,18.343
2009-05-07,18.077999
2009-05-08,18.507998999999998
2009-05-11,18.098
2009-05-12,17.82
2009-05-13,17.076
2009-05-14,17.334999
2009-05-15,17.313
2009-05-18,17.34
2009-05-19,16.673
2009-05-20,16.962999
2009-05-21,17.169001
2009-05-22,16.836
2009-05-26,16.861
2009-05-27,16.738001
2009-05-28,17.211
2009-05-29,17.632998999999998
2009-06-01,17.372999
2009-06-02,16.839001
2009-06-03,16.750999
2009-06-04,16.84
2009-06-05,16.768
2009-06-08,16.597
2009-06-09,16.818001000000002
2009-06-10,17.360001
2009-06-11,16.995001000000002
2009-06-12,16.705999
2009-06-15,16.646998999999997
2009-06-16,16.356001000000003
2009-06-17,16.426001
2009-06-18,16.339001
2009-06-19,16.135
2009-06-22,15.678
2009-06-23,16.013
2009-06-24,16.106001000000003
2009-06-25,16.427999
2009-06-26,16.891001
2009-06-29,16.815001000000002
2009-06-30,16.731001000000003
2009-07-01,16.584
2009-07-02,16.628
2009-07-06,16.681
2009-07-07,16.1
2009-07-08,16.07
2009-07-09,16.280001000000002
2009-07-10,16.056
2009-07-13,16.552
2009-07-14,16.593
2009-07-15,17.237
2009-07-16,17.827
2009-07-17,17.983999
2009-07-20,18.142
2009-07-21,18.094
2009-07-22,18.148001
2009-07-23,18.587
2009-07-24,18.547001
2009-07-27,18.913
2009-07-28,18.694
2009-07-29,18.855
2009-07-30,19.410999
2009-07-31,19.403
2009-08-03,20.066
2009-08-04,20.309998999999998
2009-08-05,20.298
2009-08-06,20.148001
2009-08-07,20.434
2009-08-10,20.233999
2009-08-11,20.268998999999997
2009-08-12,20.431998999999998
2009-08-13,20.396998999999997
2009-08-14,20.261
2009-08-17,19.594
2009-08-18,19.816999
2009-08-19,19.73
2009-08-20,20.302
2009-08-21,20.725
2009-08-24,20.423
2009-08-25,20.893
2009-08-26,20.669001
2009-08-27,20.66
2009-08-28,20.357
2009-08-31,20.263
2009-09-01,20.066999
2009-09-02,20.045
2009-09-03,20.34
2009-09-04,20.605
2009-09-08,20.745001000000002
2009-09-09,21.031
2009-09-10,21.16
2009-09-11,20.881001
2009-09-14,20.799
2009-09-15,21.403
2009-09-16,21.976
2009-09-17,22.02
2009-09-18,22.357
2009-09-21,22.261999
2009-09-22,22.458
2009-09-23,21.938999
2009-09-24,21.493999
2009-09-25,20.469998999999998
2009-09-28,20.813999
2009-09-29,20.674
2009-09-30,20.215
2009-10-01,19.941
2009-10-02,19.969
2009-10-05,20.052999
2009-10-06,20.075001
2009-10-07,21.09
2009-10-08,21.096001
2009-10-09,21.441999
2009-10-12,21.6
2009-10-13,21.736
2009-10-14,21.948
2009-10-15,22.535999
2009-10-16,22.386999
2009-10-19,22.559998999999998
2009-10-20,22.5
2009-10-21,22.566999
2009-10-22,22.927999
2009-10-23,22.996
2009-10-26,22.075001
2009-10-27,22.055
2009-10-28,22.049999
2009-10-29,22.792
2009-10-30,21.902
2009-11-02,22.264999
2009-11-03,21.92
2009-11-04,22.497999
2009-11-05,23.025
2009-11-06,23.690001000000002
2009-11-09,24.219
2009-11-10,23.867001000000002
2009-11-11,23.790001
2009-11-12,23.688999
2009-11-13,23.472
2009-11-16,23.08
2009-11-17,23.1
2009-11-18,22.728001000000003
2009-11-19,23.009001
2009-11-20,23.115999
2009-11-23,23.618999
2009-11-24,23.764999
2009-11-25,23.983999
2009-11-27,23.559
2009-11-30,24.086
2009-12-01,24.299
2009-12-02,24.242001000000002
2009-12-03,23.615999
2009-12-04,24.132998999999998
2009-12-07,23.893998999999997
2009-12-08,23.861
2009-12-09,24.294001
2009-12-10,24.412001
2009-12-11,24.393998999999997
2009-12-14,24.747999
2009-12-15,24.555
2009-12-16,24.639999
2009-12-17,24.775
2009-12-18,25.483999
2009-12-21,25.535999
2009-12-22,25.562
2009-12-23,25.532
2009-12-24,25.542
2009-12-28,25.698
2009-12-29,25.836
2009-12-30,25.798
2009-12-31,25.598
2010-01-04,25.684
2010-01-05,25.608
2010-01-06,25.556
2010-01-07,25.389
2010-01-08,25.398001
2010-01-11,24.98
2010-01-12,24.966
2010-01-13,25.615
2010-01-14,26.048
2010-01-15,26.264999
2010-01-19,26.475
2010-01-20,26.339001
2010-01-21,25.851
2010-01-22,25.181
2010-01-25,25.245001000000002
2010-01-26,24.861
2010-01-27,25.632998999999998
2010-01-28,24.945
2010-01-29,24.99
2010-02-01,25.341998999999998
2010-02-02,25.256001
2010-02-03,24.757998999999998
2010-02-04,22.211
2010-02-05,22.073999
2010-02-08,22.639999
2010-02-09,22.344998999999998
2010-02-10,22.690001000000002
2010-02-11,22.9
2010-02-12,22.548
2010-02-16,22.530001000000002
2010-02-17,22.483
2010-02-18,22.200001
2010-02-19,22.263
2010-02-22,22.424
2010-02-23,22.202
2010-02-24,22.174999
2010-02-25,22.149
2010-02-26,22.437
2010-03-01,23.274
2010-03-02,23.181
2010-03-03,23.215
2010-03-04,23.299999
2010-03-05,23.954
2010-03-08,24.561001
2010-03-09,24.648001
2010-03-10,24.959999
2010-03-11,25.018998999999997
2010-03-12,24.997
2010-03-15,25.007998999999998
2010-03-16,24.934
2010-03-17,24.865
2010-03-18,24.629998999999998
2010-03-19,24.436001
2010-03-22,24.708
2010-03-23,24.559
2010-03-24,24.468
2010-03-25,24.608999
2010-03-26,24.624001
2010-03-29,24.801001
2010-03-30,25.240999
2010-03-31,25.4
2010-04-01,25.393998999999997
2010-04-05,25.558001
2010-04-06,25.875
2010-04-07,25.566
2010-04-08,25.688
2010-04-09,25.888
2010-04-12,25.957001
2010-04-13,25.85
2010-04-14,26.313
2010-04-15,26.263
2010-04-16,25.950001
2010-04-19,25.73
2010-04-20,26.139
2010-04-21,26.059
2010-04-22,26.16
2010-04-23,26.722
2010-04-26,26.577999
2010-04-27,25.485001
2010-04-28,25.299999
2010-04-29,25.538
2010-04-30,24.804001
2010-05-03,25.073999
2010-05-04,25.125
2010-05-05,23.794001
2010-05-06,23.030001000000002
2010-05-07,22.309
2010-05-10,23.031
2010-05-11,22.323999
2010-05-12,23.261999
2010-05-13,23.231001000000003
2010-05-14,21.245001000000002
2010-05-17,21.080999
2010-05-18,20.281
2010-05-19,20.245001000000002
2010-05-20,20.549999
2010-05-21,21.385
2010-05-24,20.983999
2010-05-25,20.687
2010-05-26,20.5
2010-05-27,20.780001000000002
2010-05-28,20.177
2010-06-01,20.039
2010-06-02,20.101999
2010-06-03,20.200001
2010-06-04,19.667
2010-06-07,20.007
2010-06-08,19.754
2010-06-09,19.546
2010-06-10,20.511999
2010-06-11,20.488001
2010-06-14,20.417
2010-06-15,20.957001
2010-06-16,21.062
2010-06-17,21.4
2010-06-18,21.426001
2010-06-21,22.334
2010-06-22,22.094
2010-06-23,21.985001
2010-06-24,21.489
2010-06-25,21.839001
2010-06-28,21.152
2010-06-29,20.299
2010-06-30,19.952999
