Date,J
1980-03-17,0.583333
1980-03-18,0.578125
1980-03-19,0.578125
1980-03-20,0.567708
1980-03-21,0.5625
1980-03-24,0.541667
1980-03-25,0.520833
1980-03-26,0.5
1980-03-27,0.442708
1980-03-28,0.479167
1980-03-31,0.5
1980-04-01,0.489583
1980-04-02,0.489583
1980-04-03,0.484375
1980-04-07,0.473958
1980-04-08,0.46875
1980-04-09,0.463542
1980-04-10,0.473958
1980-04-11,0.484375
1980-04-14,0.484375
1980-04-15,0.484375
1980-04-16,0.520833
1980-04-17,0.510417
1980-04-18,0.5
1980-04-21,0.505208
1980-04-22,0.53125
1980-04-23,0.5625
1980-04-24,0.536458
1980-04-25,0.53125
1980-04-28,0.526042
1980-04-29,0.526042
1980-04-30,0.552083
1980-05-01,0.557292
1980-05-02,0.546875
1980-05-05,0.546875
1980-05-06,0.546875
1980-05-07,0.552083
1980-05-08,0.536458
1980-05-09,0.536458
1980-05-12,0.536458
1980-05-13,0.552083
1980-05-14,0.546875
1980-05-15,0.546875
1980-05-16,0.552083
1980-05-19,0.557292
1980-05-20,0.541667
1980-05-21,0.536458
1980-05-22,0.520833
1980-05-23,0.536458
1980-05-27,0.520833
1980-05-28,0.510417
1980-05-29,0.520833
1980-05-30,0.541667
1980-06-02,0.541667
1980-06-03,0.541667
1980-06-04,0.578125
1980-06-05,0.572917
1980-06-06,0.5625
1980-06-09,0.5625
1980-06-10,0.5625
1980-06-11,0.552083
1980-06-12,0.541667
1980-06-13,0.546875
1980-06-16,0.541667
1980-06-17,0.557292
1980-06-18,0.604167
1980-06-19,0.567708
1980-06-20,0.557292
1980-06-23,0.578125
1980-06-24,0.5625
1980-06-25,0.572917
1980-06-26,0.604167
1980-06-27,0.59375
1980-06-30,0.598958
1980-07-01,0.598958
1980-07-02,0.59375
1980-07-03,0.588542
1980-07-07,0.59375
1980-07-08,0.598958
1980-07-09,0.604167
1980-07-10,0.635417
1980-07-11,0.661458
1980-07-14,0.682292
1980-07-15,0.65625
1980-07-16,0.666667
1980-07-17,0.682292
1980-07-18,0.692708
1980-07-21,0.677083
1980-07-22,0.661458
1980-07-23,0.614583
1980-07-24,0.708333
1980-07-25,0.765625
1980-07-28,0.755208
1980-07-29,0.786458
1980-07-30,0.8125
1980-07-31,0.786458
1980-08-01,0.791667
1980-08-04,0.802083
1980-08-05,0.869792
1980-08-06,0.916667
1980-08-07,0.880208
1980-08-08,0.859375
1980-08-11,0.895833
1980-08-12,0.848958
1980-08-13,0.90625
1980-08-14,0.979167
1980-08-15,1.020833
1980-08-18,0.989583
1980-08-19,0.994792
1980-08-20,1.010417
1980-08-21,1.078125
1980-08-22,1.114583
1980-08-25,1.119792
1980-08-26,1.208333
1980-08-27,1.151042
1980-08-28,1.088542
1980-08-29,1.119792
1980-09-02,1.125
1980-09-03,1.098958
1980-09-04,1.09375
1980-09-05,1.098958
1980-09-08,1.125
1980-09-09,1.125
1980-09-10,1.161458
1980-09-11,1.145833
1980-09-12,1.140625
1980-09-15,1.166667
1980-09-16,1.15625
1980-09-17,1.145833
1980-09-18,1.109375
1980-09-19,1.104167
1980-09-22,1.114583
1980-09-23,1.15625
1980-09-24,1.171875
1980-09-25,1.15625
1980-09-26,1.072917
1980-09-29,1.03125
1980-09-30,1.041667
1980-10-01,1.09375
1980-10-02,1.078125
1980-10-03,1.09375
1980-10-06,1.15625
1980-10-07,1.135417
1980-10-08,1.145833
1980-10-09,1.145833
1980-10-10,1.15625
1980-10-13,1.151042
1980-10-14,1.109375
1980-10-15,1.151042
1980-10-16,1.109375
1980-10-17,1.125
1980-10-20,1.135417
1980-10-21,1.239583
1980-10-22,1.40625
1980-10-23,1.4375
1980-10-24,1.416667
1980-10-27,1.364583
1980-10-28,1.348958
1980-10-29,1.369792
1980-10-30,1.34375
1980-10-31,1.34375
1980-11-03,1.291667
1980-11-05,1.307292
1980-11-06,1.322917
1980-11-07,1.270833
1980-11-10,1.25
1980-11-11,1.302083
1980-11-12,1.302083
1980-11-13,1.416667
1980-11-14,1.401042
1980-11-17,1.427083
1980-11-18,1.390625
1980-11-19,1.3125
1980-11-20,1.333333
1980-11-21,1.333333
1980-11-24,1.28125
1980-11-25,1.348958
1980-11-26,1.40625
1980-11-28,1.317708
1980-12-01,1.333333
1980-12-02,1.333333
1980-12-03,1.338542
1980-12-04,1.338542
1980-12-05,1.296875
1980-12-08,1.25
1980-12-09,1.255208
1980-12-10,1.265625
1980-12-11,1.25
1980-12-12,1.25
1980-12-15,1.260417
1980-12-16,1.291667
1980-12-17,1.270833
1980-12-18,1.317708
1980-12-19,1.333333
1980-12-22,1.333333
1980-12-23,1.307292
1980-12-24,1.348958
1980-12-26,1.359375
1980-12-29,1.34375
1980-12-30,1.385417
1980-12-31,1.369792
1981-01-02,1.338542
1981-01-05,1.317708
1981-01-06,1.296875
1981-01-07,1.229167
1981-01-08,1.244792
1981-01-09,1.229167
1981-01-12,1.234375
1981-01-13,1.239583
1981-01-14,1.25
1981-01-15,1.244792
1981-01-16,1.229167
1981-01-19,1.223958
1981-01-20,1.177083
1981-01-21,1.171875
1981-01-22,1.166667
1981-01-23,1.171875
1981-01-26,1.177083
1981-01-27,1.177083
1981-01-28,1.15625
1981-01-29,1.161458
1981-01-30,1.114583
1981-02-02,1.015625
1981-02-03,1.036458
1981-02-04,1.041667
1981-02-05,1.083333
1981-02-06,1.09375
1981-02-09,1.041667
1981-02-10,1.041667
1981-02-11,1.104167
1981-02-12,1.145833
1981-02-13,1.151042
1981-02-17,1.177083
1981-02-18,1.161458
1981-02-19,1.161458
1981-02-20,1.125
1981-02-23,1.119792
1981-02-24,1.140625
1981-02-25,1.125
1981-02-26,1.151042
1981-02-27,1.270833
1981-03-02,1.255208
1981-03-03,1.223958
1981-03-04,1.21875
1981-03-05,1.234375
1981-03-06,1.239583
1981-03-09,1.229167
1981-03-10,1.1875
1981-03-11,1.177083
1981-03-12,1.161458
1981-03-13,1.192708
1981-03-16,1.182292
1981-03-17,1.2578129999999998
1981-03-18,1.265625
1981-03-19,1.265625
1981-03-20,1.265625
1981-03-23,1.3046879999999998
1981-03-24,1.375
1981-03-25,1.4921879999999998
1981-03-26,1.4375
1981-03-27,1.421875
1981-03-30,1.4296879999999998
1981-03-31,1.4375
1981-04-01,1.4375
1981-04-02,1.4375
1981-04-03,1.421875
1981-04-06,1.3984379999999998
1981-04-07,1.4140629999999998
1981-04-08,1.3984379999999998
1981-04-09,1.40625
1981-04-10,1.40625
1981-04-13,1.390625
1981-04-14,1.3984379999999998
1981-04-15,1.375
1981-04-16,1.390625
1981-04-20,1.4140629999999998
1981-04-21,1.375
1981-04-22,1.4140629999999998
1981-04-23,1.40625
1981-04-24,1.5234379999999998
1981-04-27,1.5078129999999998
1981-04-28,1.4296879999999998
1981-04-29,1.40625
1981-04-30,1.421875
1981-05-01,1.5390629999999998
1981-05-04,1.4921879999999998
1981-05-05,1.4609379999999998
1981-05-06,1.4453129999999998
1981-05-07,1.5
1981-05-08,1.484375
1981-05-11,1.4609379999999998
1981-05-12,1.4921879999999998
1981-05-13,1.4921879999999998
1981-05-14,1.53125
1981-05-15,1.578125
1981-05-18,1.5703129999999998
1981-05-19,1.53125
1981-05-20,1.46875
1981-05-21,1.4921879999999998
1981-05-22,1.4921879999999998
1981-05-26,1.46875
1981-05-27,1.4921879999999998
1981-05-28,1.4921879999999998
1981-05-29,1.453125
1981-06-01,1.4375
1981-06-02,1.375
1981-06-03,1.4375
1981-06-04,1.4296879999999998
1981-06-05,1.40625
1981-06-08,1.4140629999999998
1981-06-09,1.375
1981-06-10,1.4140629999999998
1981-06-11,1.453125
1981-06-12,1.4453129999999998
1981-06-15,1.421875
1981-06-16,1.3125
1981-06-17,1.4140629999999998
1981-06-18,1.4453129999999998
1981-06-19,1.4609379999999998
1981-06-22,1.4375
1981-06-23,1.4375
1981-06-24,1.3984379999999998
1981-06-25,1.359375
1981-06-26,1.34375
1981-06-29,1.3203129999999998
1981-06-30,1.3125
1981-07-01,1.21875
1981-07-02,1.25
1981-07-06,1.21875
1981-07-07,1.171875
1981-07-08,1.2421879999999998
1981-07-09,1.234375
1981-07-10,1.2734379999999998
1981-07-13,1.34375
1981-07-14,1.328125
1981-07-15,1.359375
1981-07-16,1.3359379999999998
1981-07-17,1.3671879999999998
1981-07-20,1.328125
1981-07-21,1.3515629999999998
1981-07-22,1.3125
1981-07-23,1.3671879999999998
1981-07-24,1.34375
1981-07-27,1.359375
1981-07-28,1.359375
1981-07-29,1.359375
1981-07-30,1.359375
1981-07-31,1.359375
1981-08-03,1.3359379999999998
