Date,CMS
1973-02-21,29.25
1973-02-22,29.125
1973-02-23,28.75
1973-02-26,28.625
1973-02-27,28.75
1973-02-28,28.625
1973-03-01,28.25
1973-03-02,28.625
1973-03-05,28.375
1973-03-06,28.5
1973-03-07,28.375
1973-03-08,28.75
1973-03-09,28.625
1973-03-12,28.5
1973-03-13,28.5
1973-03-14,28.625
1973-03-15,28.5
1973-03-16,28.625
1973-03-19,28.375
1973-03-20,28.25
1973-03-21,28.25
1973-03-22,28.125
1973-03-23,28.125
1973-03-26,28.25
1973-03-27,28.25
1973-03-28,28.625
1973-03-29,28.5
1973-03-30,28.5
1973-04-02,28.5
1973-04-03,28.375
1973-04-04,28.125
1973-04-05,28.25
1973-04-06,28.0
1973-04-09,27.625
1973-04-10,27.875
1973-04-11,28.375
1973-04-12,28.125
1973-04-13,28.0
1973-04-16,27.875
1973-04-17,27.75
1973-04-18,27.75
1973-04-19,27.75
1973-04-23,27.75
1973-04-24,27.625
1973-04-25,27.625
1973-04-26,27.75
1973-04-27,27.75
1973-04-30,27.625
1973-05-01,27.875
1973-05-02,27.875
1973-05-03,28.125
1973-05-04,27.875
1973-05-07,27.875
1973-05-08,28.125
1973-05-09,28.0
1973-05-10,27.875
1973-05-11,28.0
1973-05-14,27.875
1973-05-15,27.75
1973-05-16,27.875
1973-05-17,27.625
1973-05-18,27.75
1973-05-21,27.625
1973-05-22,27.625
1973-05-23,27.625
1973-05-24,27.75
1973-05-25,27.375
1973-05-29,27.375
1973-05-30,27.0
1973-05-31,26.875
1973-06-01,26.875
1973-06-04,26.75
1973-06-05,26.75
1973-06-06,26.875
1973-06-07,26.875
1973-06-08,27.0
1973-06-11,26.875
1973-06-12,27.0
1973-06-13,26.75
1973-06-14,27.125
1973-06-15,27.25
1973-06-18,27.0
1973-06-19,27.25
1973-06-20,27.0
1973-06-21,27.0
1973-06-22,27.25
1973-06-25,27.125
1973-06-26,27.0
1973-06-27,27.0
1973-06-28,27.375
1973-06-29,27.0
1973-07-02,27.25
1973-07-03,27.375
1973-07-05,27.625
1973-07-06,27.5
1973-07-09,27.875
1973-07-10,27.875
1973-07-11,28.0
1973-07-12,27.625
1973-07-13,27.625
1973-07-16,27.625
1973-07-17,26.875
1973-07-18,26.75
1973-07-19,26.5
1973-07-20,26.25
1973-07-23,26.375
1973-07-24,26.375
1973-07-25,26.0
1973-07-26,26.125
1973-07-27,25.875
1973-07-30,25.75
1973-07-31,25.75
1973-08-01,25.75
1973-08-02,25.25
1973-08-03,25.5
1973-08-06,25.5
1973-08-07,25.5
1973-08-08,25.125
1973-08-09,25.25
1973-08-10,25.25
1973-08-13,25.625
1973-08-14,25.125
1973-08-15,25.25
1973-08-16,25.25
1973-08-17,25.25
1973-08-20,25.5
1973-08-21,25.25
1973-08-22,25.625
1973-08-23,25.375
1973-08-24,25.5
1973-08-27,25.375
1973-08-28,25.5
1973-08-29,25.75
1973-08-30,26.125
1973-08-31,26.25
1973-09-04,26.125
1973-09-05,26.375
1973-09-06,26.0
1973-09-07,26.0
1973-09-10,26.125
1973-09-11,26.0
1973-09-12,25.75
1973-09-13,25.75
1973-09-14,25.375
1973-09-17,25.875
1973-09-18,25.875
1973-09-19,25.75
1973-09-20,26.25
1973-09-21,26.875
1973-09-24,26.75
1973-09-25,26.75
1973-09-26,26.375
1973-09-27,27.0
1973-09-28,27.0
1973-10-01,27.125
1973-10-02,27.125
1973-10-03,26.75
1973-10-04,26.5
1973-10-05,26.875
1973-10-08,27.0
1973-10-09,27.0
1973-10-10,26.75
1973-10-11,26.5
1973-10-12,26.625
1973-10-15,26.0
1973-10-16,25.75
1973-10-17,25.5
1973-10-18,25.375
1973-10-19,25.5
1973-10-22,25.75
1973-10-23,25.375
1973-10-24,25.25
1973-10-25,25.125
1973-10-26,25.125
1973-10-29,25.125
1973-10-30,25.125
1973-10-31,25.125
1973-11-01,25.125
1973-11-02,25.0
1973-11-05,25.0
1973-11-06,25.0
1973-11-07,25.0
1973-11-08,24.75
1973-11-09,24.875
1973-11-12,24.375
1973-11-13,24.25
1973-11-14,23.25
1973-11-15,23.5
1973-11-16,24.125
1973-11-19,24.375
1973-11-20,23.875
1973-11-21,23.75
1973-11-23,23.625
1973-11-26,23.25
1973-11-27,22.625
1973-11-28,22.375
1973-11-29,22.375
1973-11-30,22.25
1973-12-03,22.0
1973-12-04,22.0
1973-12-05,21.625
1973-12-06,21.875
1973-12-07,22.5
1973-12-10,23.0
1973-12-11,23.0
1973-12-12,22.5
1973-12-13,22.5
1973-12-14,22.125
1973-12-17,21.875
1973-12-18,21.875
1973-12-19,21.75
1973-12-20,21.0
1973-12-21,21.75
1973-12-24,21.625
1973-12-26,21.625
1973-12-27,22.0
1973-12-28,22.25
1973-12-31,22.75
1974-01-02,23.0
1974-01-03,23.375
1974-01-04,23.375
1974-01-07,23.375
1974-01-08,23.5
1974-01-09,23.375
1974-01-10,23.5
1974-01-11,23.625
1974-01-14,23.75
1974-01-15,23.375
1974-01-16,23.875
1974-01-17,24.875
1974-01-18,24.375
1974-01-21,24.5
1974-01-22,24.5
1974-01-23,24.625
1974-01-24,24.5
1974-01-25,24.25
1974-01-28,23.875
1974-01-29,23.75
1974-01-30,23.875
1974-01-31,23.75
1974-02-01,23.875
1974-02-04,24.0
1974-02-05,24.25
1974-02-06,24.0
1974-02-07,24.0
1974-02-08,23.75
1974-02-11,23.625
1974-02-12,23.875
1974-02-13,23.625
1974-02-14,23.625
1974-02-15,23.75
1974-02-19,23.5
1974-02-20,23.625
1974-02-21,23.75
1974-02-22,24.0
1974-02-25,24.0
1974-02-26,24.625
1974-02-27,24.25
1974-02-28,24.375
1974-03-01,24.5
1974-03-04,24.25
1974-03-05,23.875
1974-03-06,23.75
1974-03-07,24.0
1974-03-08,23.75
1974-03-11,23.875
1974-03-12,23.625
1974-03-13,23.75
1974-03-14,23.875
1974-03-15,23.625
1974-03-18,23.5
1974-03-19,23.5
1974-03-20,23.375
1974-03-21,22.75
1974-03-22,22.875
1974-03-25,23.0
1974-03-26,22.875
1974-03-27,22.875
1974-03-28,22.75
1974-03-29,22.75
1974-04-01,22.75
1974-04-02,22.875
1974-04-03,22.875
1974-04-04,22.875
1974-04-05,22.625
1974-04-08,22.375
1974-04-09,22.375
1974-04-10,22.625
1974-04-11,22.75
1974-04-15,22.375
1974-04-16,22.125
1974-04-17,22.0
1974-04-18,21.75
1974-04-19,21.75
1974-04-22,21.625
1974-04-23,20.375
1974-04-24,19.75
1974-04-25,19.75
1974-04-26,19.75
1974-04-29,19.0
1974-04-30,18.625
1974-05-01,18.0
1974-05-02,18.25
1974-05-03,17.875
1974-05-06,17.375
1974-05-07,17.0
1974-05-08,16.625
1974-05-09,18.0
1974-05-10,17.875
1974-05-13,17.75
1974-05-14,17.75
1974-05-15,17.625
1974-05-16,17.875
1974-05-17,17.625
1974-05-20,17.625
1974-05-21,17.5
1974-05-22,17.375
1974-05-23,17.125
1974-05-24,17.0
1974-05-28,16.875
1974-05-29,16.625
1974-05-30,16.875
1974-05-31,16.625
1974-06-03,16.75
1974-06-04,16.625
1974-06-05,16.5
1974-06-06,16.625
1974-06-07,16.5
1974-06-10,16.5
1974-06-11,16.5
1974-06-12,15.875
1974-06-13,15.375
1974-06-14,14.125
1974-06-17,13.5
1974-06-18,13.375
1974-06-19,13.375
1974-06-20,12.375
1974-06-21,11.25
1974-06-24,11.25
1974-06-25,11.75
1974-06-26,12.625
1974-06-27,12.25
1974-06-28,12.5
1974-07-01,12.375
1974-07-02,12.625
1974-07-03,12.625
1974-07-05,12.875
1974-07-08,12.875
1974-07-09,13.125
1974-07-10,13.75
1974-07-11,13.625
1974-07-12,13.75
1974-07-15,13.125
1974-07-16,12.625
1974-07-17,12.125
1974-07-18,12.125
1974-07-19,11.5
1974-07-22,11.625
1974-07-23,11.625
1974-07-24,11.625
1974-07-25,11.25
1974-07-26,11.125
1974-07-29,11.5
1974-07-30,11.5
1974-07-31,11.25
1974-08-01,11.125
