Date,LW
2016-11-10,30.33
2016-11-11,29.889999
2016-11-14,30.190001000000002
2016-11-15,30.43
2016-11-16,31.700001
2016-11-17,32.509997999999996
2016-11-18,32.68
2016-11-21,31.74
2016-11-22,32.700001
2016-11-23,33.02
2016-11-25,32.59
2016-11-28,32.740002000000004
2016-11-29,33.189999
2016-11-30,33.48
2016-12-01,32.509997999999996
2016-12-02,32.990002000000004
2016-12-05,33.650002
2016-12-06,33.82
2016-12-07,34.75
2016-12-08,35.93
2016-12-09,36.380001
2016-12-12,36.73
2016-12-13,36.580002
2016-12-14,35.150002
2016-12-15,34.380001
2016-12-16,35.259997999999996
2016-12-19,34.48
2016-12-20,34.950001
2016-12-21,35.02
2016-12-22,36.330002
2016-12-23,36.849998
2016-12-27,37.34
2016-12-28,37.23
2016-12-29,37.77
2016-12-30,37.849998
2017-01-03,37.490002000000004
2017-01-04,36.98
2017-01-05,36.619999
2017-01-06,36.830002
2017-01-09,36.889998999999996
2017-01-10,36.84
2017-01-11,36.889998999999996
2017-01-12,36.959998999999996
2017-01-13,37.220001
2017-01-17,36.889998999999996
2017-01-18,36.639998999999996
2017-01-19,36.959998999999996
2017-01-20,37.110001000000004
2017-01-23,36.77
2017-01-24,37.490002000000004
2017-01-25,36.669998
2017-01-26,36.330002
2017-01-27,36.439999
2017-01-30,36.779999
2017-01-31,37.360001000000004
2017-02-01,37.77
2017-02-02,38.419998
2017-02-03,38.900002
2017-02-06,39.240002000000004
2017-02-07,39.41
2017-02-08,39.16
2017-02-09,39.080002
2017-02-10,39.27
2017-02-13,39.43
2017-02-14,39.650002
2017-02-15,39.630001
2017-02-16,39.900002
2017-02-17,39.619999
2017-02-21,39.619999
2017-02-22,39.849998
2017-02-23,39.5
2017-02-24,39.580002
2017-02-27,39.48
2017-02-28,39.189999
2017-03-01,39.950001
2017-03-02,40.220001
2017-03-03,40.400002
2017-03-06,40.419998
2017-03-07,40.740002000000004
2017-03-08,40.720001
2017-03-09,40.98
2017-03-10,41.400002
2017-03-13,41.529999
2017-03-14,42.209998999999996
2017-03-15,42.360001000000004
2017-03-16,41.990002000000004
2017-03-17,42.25
2017-03-20,42.48
2017-03-21,42.869999
2017-03-22,42.439999
2017-03-23,43.009997999999996
2017-03-24,42.669998
2017-03-27,42.959998999999996
2017-03-28,42.919998
2017-03-29,42.639998999999996
2017-03-30,42.09
2017-03-31,42.060001
2017-04-03,42.0
2017-04-04,42.189999
2017-04-05,41.740002000000004
2017-04-06,43.139998999999996
2017-04-07,42.990002000000004
2017-04-10,42.759997999999996
2017-04-11,42.880001
2017-04-12,42.16
2017-04-13,41.869999
2017-04-17,42.23
2017-04-18,42.380001
2017-04-19,42.200001
2017-04-20,42.599998
2017-04-21,42.259997999999996
2017-04-24,42.669998
2017-04-25,42.459998999999996
2017-04-26,42.240002000000004
2017-04-27,42.639998999999996
2017-04-28,41.75
2017-05-01,41.799999
2017-05-02,41.389998999999996
2017-05-03,40.900002
2017-05-04,41.259997999999996
2017-05-05,41.57
2017-05-08,41.580002
2017-05-09,41.75
2017-05-10,42.470001
2017-05-11,42.200001
2017-05-12,42.200001
2017-05-15,42.93
2017-05-16,44.470001
2017-05-17,44.169998
2017-05-18,43.939999
2017-05-19,44.380001
2017-05-22,44.580002
2017-05-23,44.220001
2017-05-24,45.490002000000004
2017-05-25,45.630001
2017-05-26,45.66
2017-05-30,46.169998
2017-05-31,46.41
2017-06-01,47.32
2017-06-02,47.380001
2017-06-05,46.709998999999996
2017-06-06,46.669998
2017-06-07,46.91
2017-06-08,46.5
2017-06-09,46.029999
2017-06-12,45.43
2017-06-13,45.98
2017-06-14,45.59
2017-06-15,45.32
2017-06-16,45.07
2017-06-19,45.549999
2017-06-20,45.73
2017-06-21,45.82
2017-06-22,45.59
2017-06-23,45.560001
2017-06-26,45.34
2017-06-27,44.689999
2017-06-28,45.369999
2017-06-29,44.130001
2017-06-30,44.040001000000004
2017-07-03,43.860001000000004
2017-07-05,43.27
2017-07-06,42.900002
2017-07-07,43.099998
2017-07-10,42.740002000000004
2017-07-11,43.790001000000004
2017-07-12,44.0
2017-07-13,43.77
2017-07-14,43.650002
2017-07-17,43.990002000000004
2017-07-18,44.130001
2017-07-19,44.380001
2017-07-20,44.279999
2017-07-21,45.0
2017-07-24,44.75
2017-07-25,45.68
2017-07-26,44.279999
2017-07-27,43.860001000000004
2017-07-28,43.82
2017-07-31,43.98
2017-08-01,44.040001000000004
2017-08-02,43.759997999999996
2017-08-03,43.220001
2017-08-04,43.619999
2017-08-07,43.860001000000004
2017-08-08,43.560001
2017-08-09,43.509997999999996
2017-08-10,44.34
2017-08-11,44.810001
2017-08-14,44.810001
2017-08-15,45.02
2017-08-16,45.360001000000004
2017-08-17,45.369999
2017-08-18,45.27
2017-08-21,45.450001
2017-08-22,45.66
2017-08-23,45.59
2017-08-24,45.0
2017-08-25,45.040001000000004
2017-08-28,44.880001
2017-08-29,45.07
2017-08-30,45.169998
2017-08-31,45.48
2017-09-01,45.990002000000004
2017-09-05,45.740002000000004
2017-09-06,45.32
2017-09-07,45.279999
2017-09-08,45.439999
2017-09-11,45.630001
2017-09-12,46.0
2017-09-13,46.549999
2017-09-14,46.07
2017-09-15,46.389998999999996
2017-09-18,46.279999
2017-09-19,46.389998999999996
2017-09-20,46.650002
2017-09-21,45.860001000000004
2017-09-22,45.380001
2017-09-25,45.169998
2017-09-26,45.529999
2017-09-27,46.040001000000004
2017-09-28,46.580002
2017-09-29,46.889998999999996
2017-10-02,47.540001000000004
2017-10-03,47.169998
2017-10-04,48.41
2017-10-05,48.59
2017-10-06,49.130001
2017-10-09,48.830002
2017-10-10,49.040001000000004
2017-10-11,49.369999
2017-10-12,49.700001
2017-10-13,50.0
2017-10-16,50.689999
2017-10-17,50.220001
2017-10-18,50.560001
2017-10-19,50.299999
2017-10-20,50.630001
2017-10-23,50.900002
2017-10-24,50.720001
2017-10-25,50.619999
2017-10-26,50.599998
2017-10-27,50.82
2017-10-30,50.380001
2017-10-31,50.990002000000004
2017-11-01,51.349998
2017-11-02,51.799999
2017-11-03,52.119999
2017-11-06,52.060001
2017-11-07,51.66
2017-11-08,52.389998999999996
2017-11-09,51.619999
2017-11-10,51.959998999999996
2017-11-13,52.779999
2017-11-14,53.389998999999996
2017-11-15,52.740002000000004
2017-11-16,53.450001
2017-11-17,53.209998999999996
2017-11-20,53.689999
2017-11-21,53.740002000000004
2017-11-22,54.25
2017-11-24,54.439999
2017-11-27,54.029999
2017-11-28,54.029999
2017-11-29,53.950001
2017-11-30,54.369999
2017-12-01,54.860001000000004
2017-12-04,54.950001
2017-12-05,54.450001
2017-12-06,54.450001
2017-12-07,54.98
2017-12-08,56.200001
2017-12-11,56.880001
2017-12-12,55.75
2017-12-13,55.799999
2017-12-14,55.450001
2017-12-15,55.5
2017-12-18,56.119999
2017-12-19,55.849998
2017-12-20,55.98
2017-12-21,55.43
2017-12-22,55.82
2017-12-26,55.18
2017-12-27,55.459998999999996
2017-12-28,55.860001000000004
2017-12-29,56.450001
2018-01-02,55.369999
2018-01-03,56.060001
2018-01-04,57.220001
2018-01-05,57.700001
2018-01-08,58.560001
2018-01-09,58.040001000000004
2018-01-10,57.869999
2018-01-11,58.0
2018-01-12,58.279999
2018-01-16,58.52
2018-01-17,59.34
2018-01-18,59.029999
2018-01-19,60.040001000000004
2018-01-22,60.299999
2018-01-23,60.32
2018-01-24,59.869999
2018-01-25,59.240002000000004
2018-01-26,59.799999
2018-01-29,59.09
2018-01-30,58.25
2018-01-31,58.599998
2018-02-01,57.400002
2018-02-02,56.790001000000004
2018-02-05,56.34
2018-02-06,55.799999
2018-02-07,56.93
2018-02-08,54.73
2018-02-09,54.459998999999996
2018-02-12,55.080002
2018-02-13,54.540001000000004
2018-02-14,54.240002000000004
2018-02-15,55.400002
2018-02-16,55.580002
2018-02-20,54.290001000000004
2018-02-21,53.509997999999996
2018-02-22,53.75
2018-02-23,54.709998999999996
2018-02-26,54.619999
2018-02-27,54.389998999999996
2018-02-28,54.09
2018-03-01,54.459998999999996
