Date,LLY
1972-06-01,4.046875
1972-06-02,4.09375
1972-06-05,4.039063
1972-06-06,4.0
1972-06-07,4.046875
1972-06-08,4.0
1972-06-09,4.046875
1972-06-12,4.039063
1972-06-13,4.078125
1972-06-14,4.164063
1972-06-15,4.1875
1972-06-16,4.140625
1972-06-19,4.109375
1972-06-20,4.164063
1972-06-21,4.125
1972-06-22,4.15625
1972-06-23,4.171875
1972-06-26,4.21875
1972-06-27,4.195313
1972-06-28,4.125
1972-06-29,4.101563
1972-06-30,4.15625
1972-07-03,4.203125
1972-07-05,4.25
1972-07-06,4.328125
1972-07-07,4.429688
1972-07-10,4.382813
1972-07-11,4.398438
1972-07-12,4.4375
1972-07-13,4.4375
1972-07-14,4.515625
1972-07-17,4.4375
1972-07-18,4.40625
1972-07-19,4.453125
1972-07-20,4.5
1972-07-21,4.570313
1972-07-24,4.648438
1972-07-25,4.609375
1972-07-26,4.726563
1972-07-27,4.726563
1972-07-28,4.71875
1972-07-31,4.664063
1972-08-01,4.71875
1972-08-02,4.703125
1972-08-03,4.71875
1972-08-04,4.6875
1972-08-07,4.6875
1972-08-08,4.703125
1972-08-09,4.6875
1972-08-10,4.710938
1972-08-11,4.71875
1972-08-14,4.804688
1972-08-15,4.734375
1972-08-16,4.664063
1972-08-17,4.648438
1972-08-18,4.726563
1972-08-21,4.828125
1972-08-22,4.851563
1972-08-23,4.8125
1972-08-24,4.757813
1972-08-25,4.664063
1972-08-28,4.648438
1972-08-29,4.6875
1972-08-30,4.671875
1972-08-31,4.671875
1972-09-01,4.6875
1972-09-05,4.65625
1972-09-06,4.632813
1972-09-07,4.640625
1972-09-08,4.59375
1972-09-11,4.523438
1972-09-12,4.453125
1972-09-13,4.421875
1972-09-14,4.53125
1972-09-15,4.507813
1972-09-18,4.492188
1972-09-19,4.554688
1972-09-20,4.554688
1972-09-21,4.507813
1972-09-22,4.5
1972-09-25,4.484375
1972-09-26,4.46875
1972-09-27,4.476563
1972-09-28,4.492188
1972-09-29,4.515625
1972-10-02,4.453125
1972-10-03,4.46875
1972-10-04,4.4375
1972-10-05,4.359375
1972-10-06,4.367188
1972-10-09,4.414063
1972-10-10,4.421875
1972-10-11,4.390625
1972-10-12,4.398438
1972-10-13,4.375
1972-10-16,4.34375
1972-10-17,4.390625
1972-10-18,4.5
1972-10-19,4.59375
1972-10-20,4.648438
1972-10-23,4.648438
1972-10-24,4.796875
1972-10-25,4.8125
1972-10-26,4.921875
1972-10-27,4.835938
1972-10-30,4.851563
1972-10-31,4.9375
1972-11-01,4.953125
1972-11-02,4.953125
1972-11-03,4.921875
1972-11-06,4.929688
1972-11-08,4.875
1972-11-09,4.84375
1972-11-10,4.78125
1972-11-13,4.734375
1972-11-14,4.8125
1972-11-15,4.867188
1972-11-16,4.867188
1972-11-17,4.828125
1972-11-20,4.773438
1972-11-21,4.765625
1972-11-22,4.757813
1972-11-24,4.796875
1972-11-27,4.773438
1972-11-28,4.710938
1972-11-29,4.726563
