Date,EA
1990-08-21,0.617188
1990-08-22,0.648438
1990-08-23,0.632813
1990-08-24,0.648438
1990-08-27,0.695313
1990-08-28,0.742188
1990-08-29,0.75
1990-08-30,0.75
1990-08-31,0.773438
1990-09-04,0.734375
1990-09-05,0.71875
1990-09-06,0.648438
1990-09-07,0.601563
1990-09-10,0.59375
1990-09-11,0.554688
1990-09-12,0.554688
1990-09-13,0.546875
1990-09-14,0.53125
1990-09-17,0.5
1990-09-18,0.492188
1990-09-19,0.5625
1990-09-20,0.554688
1990-09-21,0.53125
1990-09-24,0.492188
1990-09-25,0.53125
1990-09-26,0.53125
1990-09-27,0.5
1990-09-28,0.523438
1990-10-01,0.5625
1990-10-02,0.554688
1990-10-03,0.515625
1990-10-04,0.507813
1990-10-05,0.515625
1990-10-08,0.507813
1990-10-09,0.5
1990-10-10,0.5
1990-10-11,0.398438
1990-10-12,0.484375
1990-10-15,0.476563
1990-10-16,0.507813
1990-10-17,0.507813
1990-10-18,0.523438
1990-10-19,0.546875
1990-10-22,0.554688
1990-10-23,0.585938
1990-10-24,0.59375
1990-10-25,0.585938
1990-10-26,0.53125
1990-10-29,0.492188
1990-10-30,0.492188
1990-10-31,0.476563
1990-11-01,0.515625
1990-11-02,0.515625
1990-11-05,0.539063
1990-11-06,0.546875
1990-11-07,0.523438
1990-11-08,0.523438
1990-11-09,0.53125
1990-11-12,0.578125
1990-11-13,0.59375
1990-11-14,0.601563
1990-11-15,0.59375
1990-11-16,0.585938
1990-11-19,0.578125
1990-11-20,0.5625
1990-11-21,0.5
1990-11-23,0.523438
1990-11-26,0.445313
1990-11-27,0.476563
1990-11-28,0.5
1990-11-29,0.5
1990-11-30,0.515625
1990-12-03,0.515625
1990-12-04,0.523438
1990-12-05,0.53125
1990-12-06,0.5625
1990-12-07,0.546875
1990-12-10,0.5625
1990-12-11,0.578125
1990-12-12,0.601563
1990-12-13,0.578125
1990-12-14,0.570313
1990-12-17,0.546875
1990-12-18,0.546875
1990-12-19,0.554688
1990-12-20,0.5625
1990-12-21,0.570313
1990-12-24,0.570313
1990-12-26,0.585938
1990-12-27,0.570313
1990-12-28,0.578125
1990-12-31,0.585938
1991-01-02,0.59375
1991-01-03,0.585938
1991-01-04,0.570313
1991-01-07,0.5625
1991-01-08,0.570313
1991-01-09,0.585938
1991-01-10,0.585938
1991-01-11,0.609375
1991-01-14,0.5625
1991-01-15,0.5625
1991-01-16,0.601563
1991-01-17,0.65625
1991-01-18,0.6875
1991-01-21,0.75
1991-01-22,0.734375
1991-01-23,0.703125
1991-01-24,0.75
1991-01-25,0.804688
1991-01-28,0.828125
1991-01-29,0.796875
1991-01-30,0.835938
1991-01-31,0.804688
1991-02-01,0.820313
1991-02-04,0.820313
1991-02-05,0.875
1991-02-06,0.9375
1991-02-07,0.96875
1991-02-08,0.960938
1991-02-11,1.015625
1991-02-12,1.0390629999999998
1991-02-13,1.0546879999999998
1991-02-14,1.0234379999999998
1991-02-15,1.0234379999999998
