Date,BRK-B
1997-04-09,24.799999
1997-04-10,24.959999
1997-04-11,24.459999
1997-04-14,24.76
1997-04-15,25.139999
1997-04-16,25.200001
1997-04-17,25.280001000000002
1997-04-18,25.299999
1997-04-21,25.18
1997-04-22,25.24
1997-04-23,25.200001
1997-04-24,25.139999
1997-04-25,25.200001
1997-04-28,25.360001
1997-04-29,25.459999
1997-04-30,25.42
1997-05-01,25.200001
1997-05-02,25.4
1997-05-05,26.1
1997-05-06,26.42
1997-05-07,26.040001
1997-05-08,26.4
1997-05-09,26.32
1997-05-12,26.440001000000002
1997-05-13,26.620001000000002
1997-05-14,26.74
1997-05-15,26.620001000000002
1997-05-16,26.719998999999998
1997-05-19,26.76
1997-05-20,26.98
1997-05-21,27.74
1997-05-22,28.26
1997-05-23,28.639999
1997-05-27,28.68
1997-05-28,28.4
1997-05-29,28.379998999999998
1997-05-30,28.9
1997-06-02,28.92
1997-06-03,28.6
1997-06-04,29.1
1997-06-05,29.799999
1997-06-06,30.32
1997-06-09,30.76
1997-06-10,31.379998999999998
1997-06-11,31.360001
1997-06-12,31.780001000000002
1997-06-13,32.459998999999996
1997-06-16,30.860001
1997-06-17,31.1
1997-06-18,31.66
1997-06-19,32.060001
1997-06-20,31.639999
1997-06-23,31.5
1997-06-24,32.0
1997-06-25,31.9
1997-06-26,31.719998999999998
1997-06-27,31.9
1997-06-30,31.6
1997-07-01,31.66
1997-07-02,31.780001000000002
1997-07-03,31.5
1997-07-07,31.780001000000002
1997-07-08,31.799999
1997-07-09,31.6
1997-07-10,31.299999
1997-07-11,31.48
1997-07-14,31.02
1997-07-15,31.040001
1997-07-16,31.82
1997-07-17,31.540001
1997-07-18,30.940001000000002
1997-07-21,31.5
1997-07-22,31.9
1997-07-23,31.959999
1997-07-24,31.84
1997-07-25,32.040001000000004
1997-07-28,31.940001000000002
1997-07-29,31.860001
1997-07-30,31.959999
1997-07-31,31.620001000000002
1997-08-01,31.780001000000002
1997-08-04,31.68
1997-08-05,31.5
1997-08-06,31.6
1997-08-07,31.219998999999998
1997-08-08,30.639999
1997-08-11,29.959999
1997-08-12,29.74
1997-08-13,29.620001000000002
1997-08-14,29.52
1997-08-15,29.139999
1997-08-18,29.360001
1997-08-19,30.200001
1997-08-20,30.0
1997-08-21,29.48
1997-08-22,28.98
1997-08-25,29.26
1997-08-26,29.040001
1997-08-27,28.76
1997-08-28,28.059998999999998
1997-08-29,27.84
1997-09-02,28.24
1997-09-03,29.139999
1997-09-04,28.940001000000002
1997-09-05,29.059998999999998
1997-09-08,28.719998999999998
1997-09-09,28.940001000000002
1997-09-10,28.559998999999998
1997-09-11,28.219998999999998
