Date,TSCO
1994-02-17,0.4375
1994-02-18,1.421875
1994-02-22,1.421875
1994-02-23,1.375
1994-02-24,1.3125
1994-02-25,1.359375
1994-02-28,1.34375
1994-03-01,1.359375
1994-03-02,1.34375
1994-03-03,1.359375
1994-03-04,1.484375
1994-03-07,1.515625
1994-03-08,1.5
1994-03-09,1.515625
1994-03-10,1.453125
1994-03-11,1.484375
1994-03-14,1.4765629999999998
1994-03-15,1.390625
1994-03-16,1.421875
1994-03-17,1.46875
1994-03-18,1.484375
1994-03-21,1.546875
1994-03-22,1.5625
1994-03-23,1.578125
1994-03-24,1.546875
1994-03-25,1.484375
1994-03-28,1.453125
1994-03-29,1.4375
1994-03-30,1.46875
1994-03-31,1.4375
1994-04-04,1.375
1994-04-05,1.453125
1994-04-06,1.46875
1994-04-07,1.46875
1994-04-08,1.421875
1994-04-11,1.46875
1994-04-12,1.4375
1994-04-13,1.421875
1994-04-14,1.453125
1994-04-15,1.453125
1994-04-18,1.421875
1994-04-19,1.40625
1994-04-20,1.4375
1994-04-21,1.453125
1994-04-22,1.421875
1994-04-25,1.375
1994-04-26,1.3671879999999998
1994-04-28,1.40625
1994-04-29,1.515625
1994-05-02,1.515625
1994-05-03,1.484375
1994-05-04,1.4765629999999998
1994-05-05,1.4765629999999998
1994-05-06,1.4765629999999998
1994-05-09,1.453125
1994-05-10,1.4375
1994-05-11,1.421875
1994-05-12,1.46875
1994-05-13,1.4375
1994-05-16,1.4375
1994-05-17,1.484375
1994-05-18,1.4296879999999998
1994-05-19,1.421875
1994-05-20,1.453125
1994-05-23,1.4375
1994-05-24,1.453125
1994-05-25,1.421875
1994-05-26,1.4609379999999998
1994-05-27,1.453125
1994-05-31,1.5
1994-06-01,1.5
1994-06-02,1.5625
1994-06-03,1.5625
1994-06-06,1.6328129999999998
1994-06-07,1.5859379999999998
1994-06-08,1.53125
1994-06-09,1.5234379999999998
1994-06-10,1.515625
1994-06-13,1.5625
1994-06-14,1.578125
1994-06-15,1.5625
1994-06-16,1.53125
1994-06-17,1.5625
1994-06-20,1.546875
1994-06-21,1.515625
1994-06-22,1.515625
1994-06-23,1.5
1994-06-24,1.515625
1994-06-27,1.515625
1994-06-28,1.5625
1994-06-29,1.5625
1994-06-30,1.578125
1994-07-01,1.578125
1994-07-05,1.5625
1994-07-06,1.53125
1994-07-07,1.546875
1994-07-08,1.578125
1994-07-11,1.578125
1994-07-12,1.578125
1994-07-13,1.6328129999999998
1994-07-14,1.640625
1994-07-15,1.664063
1994-07-18,1.71875
1994-07-19,1.765625
1994-07-20,1.6875
1994-07-21,1.671875
1994-07-22,1.6875
1994-07-25,1.6875
1994-07-26,1.679688
1994-07-27,1.6875
1994-07-28,1.640625
1994-07-29,1.671875
1994-08-01,1.671875
1994-08-02,1.6875
1994-08-03,1.625
1994-08-04,1.59375
1994-08-05,1.5625
1994-08-08,1.625
1994-08-09,1.578125
1994-08-10,1.59375
1994-08-11,1.578125
1994-08-12,1.625
1994-08-15,1.59375
1994-08-16,1.609375
1994-08-17,1.609375
1994-08-18,1.609375
1994-08-19,1.578125
1994-08-22,1.5625
1994-08-23,1.59375
1994-08-24,1.609375
1994-08-25,1.578125
1994-08-26,1.6328129999999998
1994-08-29,1.648438
1994-08-30,1.671875
1994-08-31,1.6875
1994-09-01,1.703125
1994-09-02,1.671875
1994-09-06,1.65625
1994-09-07,1.65625
1994-09-08,1.65625
1994-09-09,1.65625
1994-09-12,1.6875
1994-09-13,1.679688
1994-09-14,1.671875
1994-09-15,1.71875
1994-09-16,1.671875
1994-09-19,1.6875
1994-09-20,1.664063
1994-09-21,1.65625
1994-09-22,1.6875
1994-09-23,1.65625
1994-09-26,1.703125
1994-09-27,1.65625
1994-09-28,1.695313
1994-09-29,1.6875
1994-09-30,1.7460939999999998
1994-10-03,1.734375
1994-10-04,1.742188
1994-10-05,1.664063
1994-10-06,1.640625
1994-10-07,1.65625
1994-10-10,1.65625
1994-10-11,1.6875
1994-10-12,1.671875
1994-10-13,1.640625
1994-10-14,1.640625
1994-10-17,1.640625
1994-10-18,1.703125
1994-10-19,1.664063
1994-10-20,1.6875
1994-10-21,1.59375
1994-10-24,1.4921879999999998
1994-10-25,1.546875
1994-10-26,1.609375
1994-10-27,1.625
1994-10-28,1.6328129999999998
1994-10-31,1.65625
1994-11-01,1.59375
1994-11-02,1.640625
1994-11-03,1.640625
1994-11-04,1.5625
1994-11-07,1.5625
1994-11-08,1.5234379999999998
1994-11-09,1.5
1994-11-10,1.5
1994-11-11,1.5
1994-11-14,1.53125
1994-11-15,1.5625
1994-11-16,1.53125
1994-11-17,1.5
1994-11-18,1.5
1994-11-21,1.515625
1994-11-22,1.484375
1994-11-23,1.4765629999999998
1994-11-25,1.4921879999999998
1994-11-28,1.4921879999999998
1994-11-29,1.453125
1994-11-30,1.515625
1994-12-01,1.488281
1994-12-02,1.46875
1994-12-05,1.515625
1994-12-06,1.515625
1994-12-07,1.484375
1994-12-08,1.34375
1994-12-09,1.3984379999999998
1994-12-12,1.34375
1994-12-13,1.324219
1994-12-14,1.296875
