Date,EMR
1972-06-01,3.552083
1972-06-02,3.552083
1972-06-05,3.536458
1972-06-06,3.541667
1972-06-07,3.479167
1972-06-08,3.489583
1972-06-09,3.5
1972-06-12,3.5
1972-06-13,3.5
1972-06-14,3.489583
1972-06-15,3.510417
1972-06-16,3.463542
1972-06-19,3.515625
1972-06-20,3.526042
1972-06-21,3.572917
1972-06-22,3.5625
1972-06-23,3.536458
1972-06-26,3.520833
1972-06-27,3.546875
1972-06-28,3.53125
1972-06-29,3.5625
1972-06-30,3.546875
1972-07-03,3.541667
1972-07-05,3.635417
1972-07-06,3.677083
1972-07-07,3.645833
1972-07-10,3.614583
1972-07-11,3.578125
1972-07-12,3.572917
1972-07-13,3.572917
1972-07-14,3.578125
1972-07-17,3.583333
1972-07-18,3.604167
1972-07-19,3.614583
1972-07-20,3.666667
1972-07-21,3.677083
1972-07-24,3.755208
1972-07-25,3.739583
1972-07-26,3.734375
1972-07-27,3.75
1972-07-28,3.71875
1972-07-31,3.71875
1972-08-01,3.739583
1972-08-02,3.729167
1972-08-03,3.744792
1972-08-04,3.739583
1972-08-07,3.713542
1972-08-08,3.744792
1972-08-09,3.770833
1972-08-10,3.78125
1972-08-11,3.791667
1972-08-14,3.796875
1972-08-15,3.802083
1972-08-16,3.78125
1972-08-17,3.729167
1972-08-18,3.734375
1972-08-21,3.739583
1972-08-22,3.744792
1972-08-23,3.697917
1972-08-24,3.6875
1972-08-25,3.671875
1972-08-28,3.677083
1972-08-29,3.6875
1972-08-30,3.6875
1972-08-31,3.734375
1972-09-01,3.723958
1972-09-05,3.729167
1972-09-06,3.729167
1972-09-07,3.71875
1972-09-08,3.708333
1972-09-11,3.635417
1972-09-12,3.645833
1972-09-13,3.666667
1972-09-14,3.65625
1972-09-15,3.572917
1972-09-18,3.572917
1972-09-19,3.5625
1972-09-20,3.557292
1972-09-21,3.557292
1972-09-22,3.541667
1972-09-25,3.552083
1972-09-26,3.541667
1972-09-27,3.588542
1972-09-28,3.692708
1972-09-29,3.739583
1972-10-02,3.677083
1972-10-03,3.671875
1972-10-04,3.65625
1972-10-05,3.65625
1972-10-06,3.729167
1972-10-09,3.708333
1972-10-10,3.6875
1972-10-11,3.682292
1972-10-12,3.635417
1972-10-13,3.604167
1972-10-16,3.614583
1972-10-17,3.6875
1972-10-18,3.703125
1972-10-19,3.697917
1972-10-20,3.708333
1972-10-23,3.692708
1972-10-24,3.697917
1972-10-25,3.713542
1972-10-26,3.75
1972-10-27,3.734375
1972-10-30,3.713542
1972-10-31,3.75
1972-11-01,3.760417
1972-11-02,3.791667
1972-11-03,3.828125
1972-11-06,3.822917
1972-11-08,3.885417
1972-11-09,3.927083
1972-11-10,3.953125
1972-11-13,3.932292
1972-11-14,3.921875
1972-11-15,3.901042
1972-11-16,3.895833
1972-11-17,3.916667
1972-11-20,3.875
1972-11-21,3.875
1972-11-22,3.833333
1972-11-24,3.776042
1972-11-27,3.770833
1972-11-28,3.770833
1972-11-29,3.697917
1972-11-30,3.708333
1972-12-01,3.729167
1972-12-04,3.697917
1972-12-05,3.697917
1972-12-06,3.729167
1972-12-07,3.765625
1972-12-08,3.791667
1972-12-11,3.822917
1972-12-12,3.854167
1972-12-13,3.854167
1972-12-14,3.869792
1972-12-15,3.895833
1972-12-18,3.84375
1972-12-19,3.802083
1972-12-20,3.807292
1972-12-21,3.776042
1972-12-22,3.78125
1972-12-26,3.770833
1972-12-27,3.770833
1972-12-29,3.802083
1973-01-02,3.770833
1973-01-03,3.75
1973-01-04,3.75
1973-01-05,3.770833
1973-01-08,3.833333
1973-01-09,3.854167
1973-01-10,3.854167
1973-01-11,3.932292
1973-01-12,3.927083
1973-01-15,3.875
1973-01-16,3.895833
1973-01-17,3.84375
1973-01-18,3.901042
1973-01-19,3.916667
1973-01-22,3.963542
1973-01-23,3.947917
1973-01-24,3.9375
1973-01-26,3.916667
1973-01-29,3.875
1973-01-30,3.875
1973-01-31,3.864583
1973-02-01,3.833333
1973-02-02,3.833333
1973-02-05,3.8125
1973-02-06,3.802083
1973-02-07,3.864583
1973-02-08,3.869792
1973-02-09,3.895833
1973-02-12,3.901042
1973-02-13,3.932292
1973-02-14,3.890625
1973-02-15,3.895833
1973-02-16,3.916667
1973-02-20,3.947917
1973-02-21,3.942708
1973-02-22,3.9375
1973-02-23,3.927083
1973-02-26,3.90625
1973-02-27,3.885417
1973-02-28,3.833333
1973-03-01,3.729167
1973-03-02,3.770833
1973-03-05,3.75
1973-03-06,3.817708
1973-03-07,3.8125
1973-03-08,3.864583
1973-03-09,3.885417
1973-03-12,3.901042
1973-03-13,3.958333
1973-03-14,3.875
1973-03-15,3.760417
1973-03-16,3.78125
1973-03-19,3.729167
1973-03-20,3.6875
1973-03-21,3.604167
1973-03-22,3.6875
1973-03-23,3.697917
1973-03-26,3.677083
1973-03-27,3.6875
1973-03-28,3.677083
1973-03-29,3.65625
1973-03-30,3.630208
1973-04-02,3.588542
1973-04-03,3.598958
1973-04-04,3.604167
1973-04-05,3.625
1973-04-06,3.645833
1973-04-09,3.697917
1973-04-10,3.692708
1973-04-11,3.708333
1973-04-12,3.708333
1973-04-13,3.739583
1973-04-16,3.697917
1973-04-17,3.6875
1973-04-18,3.677083
1973-04-19,3.708333
1973-04-23,3.71875
1973-04-24,3.635417
1973-04-25,3.59375
1973-04-26,3.59375
1973-04-27,3.526042
1973-04-30,3.416667
1973-05-01,3.364583
1973-05-02,3.395833
